,index,Unnamed: 0,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sentenceNumber,sentence,reviewNumber
10,159,159,gp:AOqpTOH9J8ypjPM4ywyKUpz4pvhI8G0m9yABKnG-9DDFdsCfIw_QPsIIh5urzA6UU4nxYfg7lejD9JjZrQznpQ,Ann Snowgren,https://play-lh.googleusercontent.com/a-/AOh14Gj9xN8XJLj0OtC4V9TYwGdsJ0JTBSzIFta-X1TU,can't sign in.,1,0,nan,2022-03-17 09:29:02,nan,nan,1,cannot sign in.,87
11,169,169,gp:AOqpTOHliQrJU19X1VTm7pKHJCVSai7S-HTGkn6lmG59fh9yxMza9nXwYDYZrGT3EEQKjH-iOcGaNvIlho3_mQ,Cheryl Hills,https://play-lh.googleusercontent.com/a/AATXAJwIdAADTzW5pBVqkkRK2z_xyh4qsXFA-UeUrrzw=mo,i've been trying to order my prescriptions. i've put in my pharmacy and i cant order them on here. app stinks!!,1,0,8.6,2022-03-11 17:44:13,nan,nan,1,it is been trying to order my prescriptions.,92
12,170,170,gp:AOqpTOHliQrJU19X1VTm7pKHJCVSai7S-HTGkn6lmG59fh9yxMza9nXwYDYZrGT3EEQKjH-iOcGaNvIlho3_mQ,Cheryl Hills,https://play-lh.googleusercontent.com/a/AATXAJwIdAADTzW5pBVqkkRK2z_xyh4qsXFA-UeUrrzw=mo,i've been trying to order my prescriptions. i've put in my pharmacy and i cant order them on here. app stinks!!,1,0,8.6,2022-03-11 17:44:13,nan,nan,2,it is put in my pharmacy and i cant order them on here.,92
13,171,171,gp:AOqpTOHliQrJU19X1VTm7pKHJCVSai7S-HTGkn6lmG59fh9yxMza9nXwYDYZrGT3EEQKjH-iOcGaNvIlho3_mQ,Cheryl Hills,https://play-lh.googleusercontent.com/a/AATXAJwIdAADTzW5pBVqkkRK2z_xyh4qsXFA-UeUrrzw=mo,i've been trying to order my prescriptions. i've put in my pharmacy and i cant order them on here. app stinks!!,1,0,8.6,2022-03-11 17:44:13,nan,nan,3,app stinks!!,92
14,173,173,gp:AOqpTOE2z5bad6O9aI3LDxxVL-Zi0v-4OY_oEApc6QvYzcen7C4B6_cch4C9y3f6bS-bVN1-kRZl-cvXdMa5IQ,Bobby Severson,https://play-lh.googleusercontent.com/a-/AOh14Gj2sUUc5bKKFhJZ3x_w0Otk9nTlF8S0ucrK-eSq7VI,great app.& wonderful hospital,5,0,8.6,2022-03-07 13:09:45,nan,nan,1,great app.  ,94
15,174,174,gp:AOqpTOE2z5bad6O9aI3LDxxVL-Zi0v-4OY_oEApc6QvYzcen7C4B6_cch4C9y3f6bS-bVN1-kRZl-cvXdMa5IQ,Bobby Severson,https://play-lh.googleusercontent.com/a-/AOh14Gj2sUUc5bKKFhJZ3x_w0Otk9nTlF8S0ucrK-eSq7VI,great app.& wonderful hospital,5,0,8.6,2022-03-07 13:09:45,nan,nan,2,and  wonderful hospital,94
16,175,175,gp:AOqpTOFGI20eJQagPaGhGrmBxytaIxX4DDCvqnYD1AU-4N6iEkwTAxywL7MiF_-ixl88ydaRtImiwR_TgmOJ_w,Daniel Schian,https://play-lh.googleusercontent.com/a/AATXAJwmVsEZNdjUuBOEf-hVhwhF4ECgEZdx8FzA_eT_=mo,sometimes it is difficult to use.,4,0,8.6,2022-03-05 05:46:28,nan,nan,1,sometimes it is difficult to use.,95
17,198,198,gp:AOqpTOEKnbgeq8mOlvpGyoUMzYASC2KlqT7IyoJCvEOmU9p5ehENfw69N3pmZE1nidoIWIlkyPTPAsCAhcHNxg,Kim Keefe,https://play-lh.googleusercontent.com/a/AATXAJzc-4fSotHGxfmErdRIrbJC0pbs5Nd8NsmjWjgL=mo,doesn't work,1,0,nan,2022-03-02 16:38:10,nan,nan,1,does not work,100
18,232,232,gp:AOqpTOF0lIa8OT1YH3FHnW_CuFi9FII0LKKjTgjUK0WlmXqFH5NfJ0CuCdnbpoC8xT5evdKs1bbQD0RX1pilVQ,John Ross,https://play-lh.googleusercontent.com/a/AATXAJyaVlS2glDnCc6XO7SSeXWM3YzB885ytQv28pkF=mo,does not recognize my email address,1,0,8.6,2022-02-15 13:43:39,nan,nan,1,does not recognize my email address,113
19,253,253,gp:AOqpTOGxrAwUvW0aXkox24ePttm8AiQN36hrfpKbsy8YFWixqm8PQTULTPkLBCLRKN355MZTUAGSln5f_QKqFA,Cindy Ramsay,https://play-lh.googleusercontent.com/a/AATXAJxhmW22Gz0lOvhqvXsfUg8Kj8-l-qiDNIksjk9d=mo,it's great.,5,0,8.5,2022-02-06 21:43:43,nan,nan,1,it has great.,127
20,258,258,gp:AOqpTOHQ_edrEpm50q17QndIo6z_p6QlySa4cMkRXEd82zxYA-5yxORjuLF77nhb55Hh4SccWAB_u3mDCrcc4A,thefirecat1000,https://play-lh.googleusercontent.com/a/AATXAJz9B_IbwmziZ57zma4RHsgQzZEXIOT78WPXaDEO=mo,"any and all appointments sould be able to be scheduled though the portal. the app is unnecessarily locked down and limited. the only way to schedule with new care providers is through the phone system, very outdated for such a large establishment.",1,9,8.5,2022-02-04 16:32:59,nan,nan,1,any and all appointments would be able to be scheduled though the portal.,131
21,259,259,gp:AOqpTOHQ_edrEpm50q17QndIo6z_p6QlySa4cMkRXEd82zxYA-5yxORjuLF77nhb55Hh4SccWAB_u3mDCrcc4A,thefirecat1000,https://play-lh.googleusercontent.com/a/AATXAJz9B_IbwmziZ57zma4RHsgQzZEXIOT78WPXaDEO=mo,"any and all appointments sould be able to be scheduled though the portal. the app is unnecessarily locked down and limited. the only way to schedule with new care providers is through the phone system, very outdated for such a large establishment.",1,9,8.5,2022-02-04 16:32:59,nan,nan,2,the app is unnecessarily locked down and limited.,131
22,260,260,gp:AOqpTOHQ_edrEpm50q17QndIo6z_p6QlySa4cMkRXEd82zxYA-5yxORjuLF77nhb55Hh4SccWAB_u3mDCrcc4A,thefirecat1000,https://play-lh.googleusercontent.com/a/AATXAJz9B_IbwmziZ57zma4RHsgQzZEXIOT78WPXaDEO=mo,"any and all appointments sould be able to be scheduled though the portal. the app is unnecessarily locked down and limited. the only way to schedule with new care providers is through the phone system, very outdated for such a large establishment.",1,9,8.5,2022-02-04 16:32:59,nan,nan,3,"the only way to schedule with new care providers is through the phone system, very outdated for such a large establishment.",131
23,269,269,gp:AOqpTOFXhlNajZub4XIVLiRqdF3VR9qENp6ghD-1fl_lk7AAmNW0SljRha3h7avJFj8xhEpm3uWAjLniNQF-gA,Joe Hendrix,https://play-lh.googleusercontent.com/a-/AOh14Gi4fH73wDIQe3SVseIUQNHb7tOsc1Tw30I3oKShCQ,great app,5,0,8.5,2022-01-31 14:44:37,nan,nan,1,great app,137
24,283,283,gp:AOqpTOFBT9p9EKtdD2vW4GwJAEVTW_Em-ZqbGCKGz2oKJ1vae1tirWtM-1JlvVgU4QllkpYcxyVnOjbAQ8lDEg,Baron Robert William R Scheiner,https://play-lh.googleusercontent.com/a-/AOh14GgbNgk2lwbEWhX9iVkBTBHBuK0ss_C2VZDJ8Pc,"very glitchy but workable . it will tell you have new messages when they are old, and page you for nothing. it's great for appointments and getting test results. my other complaint is it will only list some religions so if it's not a church that donates to the mayo or other well known faith..well your out of luck. it would be a 4 once these issues are fixed.",3,23,8.5,2022-01-22 23:45:26,nan,nan,1,very glitchy but workable.,147
25,284,284,gp:AOqpTOFBT9p9EKtdD2vW4GwJAEVTW_Em-ZqbGCKGz2oKJ1vae1tirWtM-1JlvVgU4QllkpYcxyVnOjbAQ8lDEg,Baron Robert William R Scheiner,https://play-lh.googleusercontent.com/a-/AOh14GgbNgk2lwbEWhX9iVkBTBHBuK0ss_C2VZDJ8Pc,"very glitchy but workable . it will tell you have new messages when they are old, and page you for nothing. it's great for appointments and getting test results. my other complaint is it will only list some religions so if it's not a church that donates to the mayo or other well known faith..well your out of luck. it would be a 4 once these issues are fixed.",3,23,8.5,2022-01-22 23:45:26,nan,nan,2,"it will tell you have new messages when they are old, and page you for nothing.",147
26,285,285,gp:AOqpTOFBT9p9EKtdD2vW4GwJAEVTW_Em-ZqbGCKGz2oKJ1vae1tirWtM-1JlvVgU4QllkpYcxyVnOjbAQ8lDEg,Baron Robert William R Scheiner,https://play-lh.googleusercontent.com/a-/AOh14GgbNgk2lwbEWhX9iVkBTBHBuK0ss_C2VZDJ8Pc,"very glitchy but workable . it will tell you have new messages when they are old, and page you for nothing. it's great for appointments and getting test results. my other complaint is it will only list some religions so if it's not a church that donates to the mayo or other well known faith..well your out of luck. it would be a 4 once these issues are fixed.",3,23,8.5,2022-01-22 23:45:26,nan,nan,3,it has great for appointments and getting test results.,147
27,286,286,gp:AOqpTOFBT9p9EKtdD2vW4GwJAEVTW_Em-ZqbGCKGz2oKJ1vae1tirWtM-1JlvVgU4QllkpYcxyVnOjbAQ8lDEg,Baron Robert William R Scheiner,https://play-lh.googleusercontent.com/a-/AOh14GgbNgk2lwbEWhX9iVkBTBHBuK0ss_C2VZDJ8Pc,"very glitchy but workable . it will tell you have new messages when they are old, and page you for nothing. it's great for appointments and getting test results. my other complaint is it will only list some religions so if it's not a church that donates to the mayo or other well known faith..well your out of luck. it would be a 4 once these issues are fixed.",3,23,8.5,2022-01-22 23:45:26,nan,nan,4,my other complaint is it will only list some religions so if it has not a church that donates to the mayo or other well known faith..,147
28,287,287,gp:AOqpTOFBT9p9EKtdD2vW4GwJAEVTW_Em-ZqbGCKGz2oKJ1vae1tirWtM-1JlvVgU4QllkpYcxyVnOjbAQ8lDEg,Baron Robert William R Scheiner,https://play-lh.googleusercontent.com/a-/AOh14GgbNgk2lwbEWhX9iVkBTBHBuK0ss_C2VZDJ8Pc,"very glitchy but workable . it will tell you have new messages when they are old, and page you for nothing. it's great for appointments and getting test results. my other complaint is it will only list some religions so if it's not a church that donates to the mayo or other well known faith..well your out of luck. it would be a 4 once these issues are fixed.",3,23,8.5,2022-01-22 23:45:26,nan,nan,5,well your out of luck.,147
29,288,288,gp:AOqpTOFBT9p9EKtdD2vW4GwJAEVTW_Em-ZqbGCKGz2oKJ1vae1tirWtM-1JlvVgU4QllkpYcxyVnOjbAQ8lDEg,Baron Robert William R Scheiner,https://play-lh.googleusercontent.com/a-/AOh14GgbNgk2lwbEWhX9iVkBTBHBuK0ss_C2VZDJ8Pc,"very glitchy but workable . it will tell you have new messages when they are old, and page you for nothing. it's great for appointments and getting test results. my other complaint is it will only list some religions so if it's not a church that donates to the mayo or other well known faith..well your out of luck. it would be a 4 once these issues are fixed.",3,23,8.5,2022-01-22 23:45:26,nan,nan,6,it would be a 4 once these issues are fixed.,147
30,298,298,gp:AOqpTOHj6jAfqdjn_4NvmhwFISIp3xmzcUmKVXL0qsn1lvSnGwVQ_9jd2ZFzqKkBSADtPfkojgm24iw5fzwTiA,Thomas Bonnema,https://play-lh.googleusercontent.com/a/AATXAJw1udSMReQsNtKvRpk7lW2MEEEGrTCYmohuQuhK=mo,for communication it works fine,5,0,8.5,2022-01-21 07:31:56,nan,nan,1,for communication it works fine,152
31,300,300,gp:AOqpTOF6RMou474MrV6SlyTOyZTzAXc5LjSOWm7XaPUuWdruXfNfW2y61Jx0deZKaQpQrWlVdWLRPCPV2_pQEg,Marc Levinson,https://play-lh.googleusercontent.com/a/AATXAJwpz1fPESXYBG1vaS0W4rr1cROZrFg_6lCAtVsE=mo,"newest release is so bloated it either will not load or will not connect. devices samsung galaxy s5a & s7a running android 6 & 8. making a critical app that barely functions on anything but the latest fastest bleeding edge technology makes it useless for 80% of intended audience. 1 release prior was unable to see what i was typing because keyboard covered the available dialog box. prior to that, app was great. now, useless. same problem on my new 10in samsung tablet and a21 phone",1,24,8.5,2022-01-20 20:23:32,nan,nan,1,newest release is so bloated it either will not load or will not connect.,154
32,301,301,gp:AOqpTOF6RMou474MrV6SlyTOyZTzAXc5LjSOWm7XaPUuWdruXfNfW2y61Jx0deZKaQpQrWlVdWLRPCPV2_pQEg,Marc Levinson,https://play-lh.googleusercontent.com/a/AATXAJwpz1fPESXYBG1vaS0W4rr1cROZrFg_6lCAtVsE=mo,"newest release is so bloated it either will not load or will not connect. devices samsung galaxy s5a & s7a running android 6 & 8. making a critical app that barely functions on anything but the latest fastest bleeding edge technology makes it useless for 80% of intended audience. 1 release prior was unable to see what i was typing because keyboard covered the available dialog box. prior to that, app was great. now, useless. same problem on my new 10in samsung tablet and a21 phone",1,24,8.5,2022-01-20 20:23:32,nan,nan,2,devices samsung galaxy sea  and  sea running android 6  and  8.,154
33,302,302,gp:AOqpTOF6RMou474MrV6SlyTOyZTzAXc5LjSOWm7XaPUuWdruXfNfW2y61Jx0deZKaQpQrWlVdWLRPCPV2_pQEg,Marc Levinson,https://play-lh.googleusercontent.com/a/AATXAJwpz1fPESXYBG1vaS0W4rr1cROZrFg_6lCAtVsE=mo,"newest release is so bloated it either will not load or will not connect. devices samsung galaxy s5a & s7a running android 6 & 8. making a critical app that barely functions on anything but the latest fastest bleeding edge technology makes it useless for 80% of intended audience. 1 release prior was unable to see what i was typing because keyboard covered the available dialog box. prior to that, app was great. now, useless. same problem on my new 10in samsung tablet and a21 phone",1,24,8.5,2022-01-20 20:23:32,nan,nan,3,making a critical app that barely functions on anything but the latest fastest bleeding edge technology makes it useless for 80  percent  of intended audience.,154
34,303,303,gp:AOqpTOF6RMou474MrV6SlyTOyZTzAXc5LjSOWm7XaPUuWdruXfNfW2y61Jx0deZKaQpQrWlVdWLRPCPV2_pQEg,Marc Levinson,https://play-lh.googleusercontent.com/a/AATXAJwpz1fPESXYBG1vaS0W4rr1cROZrFg_6lCAtVsE=mo,"newest release is so bloated it either will not load or will not connect. devices samsung galaxy s5a & s7a running android 6 & 8. making a critical app that barely functions on anything but the latest fastest bleeding edge technology makes it useless for 80% of intended audience. 1 release prior was unable to see what i was typing because keyboard covered the available dialog box. prior to that, app was great. now, useless. same problem on my new 10in samsung tablet and a21 phone",1,24,8.5,2022-01-20 20:23:32,nan,nan,4,1 release prior was unable to see what i was typing because keyboard covered the available dialog box.,154
35,304,304,gp:AOqpTOF6RMou474MrV6SlyTOyZTzAXc5LjSOWm7XaPUuWdruXfNfW2y61Jx0deZKaQpQrWlVdWLRPCPV2_pQEg,Marc Levinson,https://play-lh.googleusercontent.com/a/AATXAJwpz1fPESXYBG1vaS0W4rr1cROZrFg_6lCAtVsE=mo,"newest release is so bloated it either will not load or will not connect. devices samsung galaxy s5a & s7a running android 6 & 8. making a critical app that barely functions on anything but the latest fastest bleeding edge technology makes it useless for 80% of intended audience. 1 release prior was unable to see what i was typing because keyboard covered the available dialog box. prior to that, app was great. now, useless. same problem on my new 10in samsung tablet and a21 phone",1,24,8.5,2022-01-20 20:23:32,nan,nan,5,"prior to that, app was great.",154
36,305,305,gp:AOqpTOF6RMou474MrV6SlyTOyZTzAXc5LjSOWm7XaPUuWdruXfNfW2y61Jx0deZKaQpQrWlVdWLRPCPV2_pQEg,Marc Levinson,https://play-lh.googleusercontent.com/a/AATXAJwpz1fPESXYBG1vaS0W4rr1cROZrFg_6lCAtVsE=mo,"newest release is so bloated it either will not load or will not connect. devices samsung galaxy s5a & s7a running android 6 & 8. making a critical app that barely functions on anything but the latest fastest bleeding edge technology makes it useless for 80% of intended audience. 1 release prior was unable to see what i was typing because keyboard covered the available dialog box. prior to that, app was great. now, useless. same problem on my new 10in samsung tablet and a21 phone",1,24,8.5,2022-01-20 20:23:32,nan,nan,6,"now, useless.",154
37,306,306,gp:AOqpTOF6RMou474MrV6SlyTOyZTzAXc5LjSOWm7XaPUuWdruXfNfW2y61Jx0deZKaQpQrWlVdWLRPCPV2_pQEg,Marc Levinson,https://play-lh.googleusercontent.com/a/AATXAJwpz1fPESXYBG1vaS0W4rr1cROZrFg_6lCAtVsE=mo,"newest release is so bloated it either will not load or will not connect. devices samsung galaxy s5a & s7a running android 6 & 8. making a critical app that barely functions on anything but the latest fastest bleeding edge technology makes it useless for 80% of intended audience. 1 release prior was unable to see what i was typing because keyboard covered the available dialog box. prior to that, app was great. now, useless. same problem on my new 10in samsung tablet and a21 phone",1,24,8.5,2022-01-20 20:23:32,nan,nan,7,same problem on my new 10in samsung tablet and a21 phone,154
38,315,315,gp:AOqpTOHgg-2NQQdB47Yq1Etetjnx-bbRBwqgU30FGsUrSdVvvDyAEB3Dcm5b_YCEnIpJLjmBSeylX53WbhcwaA,Connie Wocelka,https://play-lh.googleusercontent.com/a/AATXAJx6dtUEhiVmIXAiVIFqHYU2Mq_L_X_bv1baWf7C=mo,it is hard to get into,2,0,8.5,2022-01-18 09:30:40,nan,nan,1,it is hard to get into,161
39,321,321,gp:AOqpTOFfxtK8JnXOkDKnTOqNsuddYVQqbpnPPG6CnL3I7pHzk9Wl7ejUuP5e5IEGfVnln3RCFVY3X0L_fZcKcw,wendy hartman,https://play-lh.googleusercontent.com/a/AATXAJyo_IJ-rhFVptj-cve9pQ_im2-nnnF2FPb6HNyc=mo,i have never seen an app take this long to download,5,0,8.5,2022-01-16 14:22:36,nan,nan,1,i have never seen an app take this long to download,164
40,322,322,gp:AOqpTOEOCfG-xZ5X6Wlu5XMTgFDIWl1dj537HKxPm6Qkn1mJs_N1p2uwLa-R6yXy3Kb2-VUOvCBTnAbRnFt1Jg,Betty Hill,https://play-lh.googleusercontent.com/a/AATXAJyRS0miLX0Dt8IfuUvkvRbYUq6I3ybR0SWS31o1=mo,it is terrible to navigate and this seems to be the only way mayo communicates.,1,0,8.5,2022-01-14 16:00:21,nan,nan,1,it is terrible to navigate and this seems to be the only way mayo communicates.,165
41,329,329,gp:AOqpTOHQw9guqke7IPKsqnZw6UeABKjM41ajTWcMIAJR_yXmIW7FgNr8JRfoL5iyT4k1BF13vQsjZ-Y9h-iVdQ,Valerie Owens,https://play-lh.googleusercontent.com/a/AATXAJxAJcOBVxmVpMQV8A4wTQ2doU7eDixvDlkR5NyG=mo,great,5,0,8.5,2022-01-11 10:17:17,nan,nan,1,great,167
42,331,331,gp:AOqpTOHmGLRMFT0STuVElF5oIvQ6FC_ZKon6-QPg2E58KWrTL1sGasfO3w4xnYM4KfvSId0v9-4jOiIvYnmabQ,JoAnn Becker,https://play-lh.googleusercontent.com/a-/AOh14Gjjc4b3ttiYX1xR_dlkeJo2LsiRE6V1so7_CX5n,i had a lot of trouble getting into this app,1,0,8.5,2022-01-10 14:00:16,nan,nan,1,i had a lot of trouble getting into this app,169
43,342,342,gp:AOqpTOGNR3UKZqnzR8lNYTHcSNjW7V7MmRvgKDlKi6knj3cZn2rCXcxQ1hTZrdlNgB6LG86CQH-87a7H9YvujQ,christina vasquez,https://play-lh.googleusercontent.com/a-/AOh14Gh9TQuLHu7TzULkEEt2ymFzqqw9IbNl-oQ0B4Hz9A,what happened last update??? when i send or receive a message it is cut in half????,1,0,8.5,2022-01-06 23:04:00,nan,nan,1,what happened last update???,177
44,343,343,gp:AOqpTOGNR3UKZqnzR8lNYTHcSNjW7V7MmRvgKDlKi6knj3cZn2rCXcxQ1hTZrdlNgB6LG86CQH-87a7H9YvujQ,christina vasquez,https://play-lh.googleusercontent.com/a-/AOh14Gh9TQuLHu7TzULkEEt2ymFzqqw9IbNl-oQ0B4Hz9A,what happened last update??? when i send or receive a message it is cut in half????,1,0,8.5,2022-01-06 23:04:00,nan,nan,2,when i send or receive a message it is cut in half????,177
45,347,347,gp:AOqpTOHcqu_kiiq4cwLqBQrv4QU1XzXVbX-aX8vFTPaIu__ajBucjwwn7UsqMfG1jvkhm1eq-CNJUAGrxKLscg,Wendell Ogrosky,https://play-lh.googleusercontent.com/a/AATXAJxmNeFUXTd5Xjj7g95cJeqgktXOgbGsJsL4gSP0=mo,"app has been re-oriented for phone use. i, for one, use my phone as a phone. healthcare apps should be designed for broader community use.",1,1,8.4,2022-01-05 12:43:34,nan,nan,1,app has been re - oriented for phone use.,181
46,348,348,gp:AOqpTOHcqu_kiiq4cwLqBQrv4QU1XzXVbX-aX8vFTPaIu__ajBucjwwn7UsqMfG1jvkhm1eq-CNJUAGrxKLscg,Wendell Ogrosky,https://play-lh.googleusercontent.com/a/AATXAJxmNeFUXTd5Xjj7g95cJeqgktXOgbGsJsL4gSP0=mo,"app has been re-oriented for phone use. i, for one, use my phone as a phone. healthcare apps should be designed for broader community use.",1,1,8.4,2022-01-05 12:43:34,nan,nan,2,"i, for one, use my phone as a phone.",181
47,349,349,gp:AOqpTOHcqu_kiiq4cwLqBQrv4QU1XzXVbX-aX8vFTPaIu__ajBucjwwn7UsqMfG1jvkhm1eq-CNJUAGrxKLscg,Wendell Ogrosky,https://play-lh.googleusercontent.com/a/AATXAJxmNeFUXTd5Xjj7g95cJeqgktXOgbGsJsL4gSP0=mo,"app has been re-oriented for phone use. i, for one, use my phone as a phone. healthcare apps should be designed for broader community use.",1,1,8.4,2022-01-05 12:43:34,nan,nan,3,healthcare apps should be designed for broader community use.,181
48,385,385,gp:AOqpTOH3sFkO7IxtoY4y3UezTRBP09Vqo2DTRT9wpZT72Ko9zf_kA7wbXXjv0xLmM-YlQmQdDB3rTuduR7W8Sw,Paul Howard,https://play-lh.googleusercontent.com/a/AATXAJwuaVX8o94CFBMYQO9Dt-5ybG_qtgRRHJWyF7zE=mo,"easy access, up to the minute info from mayo!",5,0,8.3,2021-12-17 07:19:28,nan,nan,1,"easy access, up to the minute info from mayo!",198
49,391,391,gp:AOqpTOHGrR2yDBWR_U47O2bzZsa_dopQKO54NTY33w3ic_HA_1UhnvIpbKbZE2M2pWU1TY8zgKd2hHm0T7DmcQ,Steve Langland,https://play-lh.googleusercontent.com/a/AATXAJyNcPnq9MI1CXITXVmxEUcYavAa68w2aSuOFnqf=mo,good so far,5,0,8.4,2021-12-16 09:34:05,nan,nan,1,good so far,200
50,394,394,gp:AOqpTOE8Pbd8SOhjTrnVaVhc3Dd3isNOT4ussM-orE2dutkaGt2B9gAf7l6a31-XIzQkx9955Qw3F7HN4bmXyg,Ali Uzun,https://play-lh.googleusercontent.com/a-/AOh14GgO_MA_dJmFe_7bYHa0qf89pFCkoHenx-hNhen18w,i benefit a lot from mayo clinic's health advice.,5,0,8.4,2021-12-14 08:04:36,nan,nan,1,i benefit a lot from mayo clinic's health advice.,202
51,404,404,gp:AOqpTOG-gbDXtte-aJeIvsHcbCxIHqWNyvvWzkqi7a7D3hJn1qImw1WXWnOeN3UHKosLsetwXMwLZ5zGUfEi8w,Douglas Grant,https://play-lh.googleusercontent.com/a-/AOh14GjPZ1ebFCK_x3VFvAdiCowUFO9tE1W5cZGXs4y3,e4,4,0,8.3,2021-12-10 11:15:18,nan,nan,1,e4,208
