isEdited,review,title,date,rating,userName,body,id,modified
False,"I used the UHC APP to check on my claims. I have been to the hospital due to COVID19 and was very ill so I just want to make sure that all the Dr’s (heroes for me) that took care of me get paid. When checking the claims see the pulmonologist & ambulance didn’t get paid. Right on the app have choices to take care the claims , for me I like to speak with someone not a machine so you can request a call right away or you have the choice for UHC to call you back. That is a nice figure to have I tried out, requested a representative spoke with then and got both of the claims fix. I recommend the UHC app. 

Thanks you",First time user,2020-07-10 20:25:26,5,Coolgirl1324281,,,
False,"This is a great app. It makes things so much easier. You can access your is card. The app provides you your recent EOB’s as well as your deductible amount and how much money has been applied toward it based on your medical visits.

The best thing about this app is you can search for a specific procedure. This allows you to view the doctors in the area you live or nearby. You see the doctors name as well as reviews. It will show you what the doctor charges and gives a detailed breakdown of what you will pay out of pocket with explanations. You can use this to “shop” different doctors for a lower cost.
Excellent app.",Great App,2019-02-02 00:38:01,5,M.Shimala,,,
False,"Wow! This app actually gives a clear representation of my insurance plan, deductibles, co-pays, and what has already been charged to those areas. Don't expect another low-tech, non functioning med insurance app. My experience is that I have direct information, updated within a few days to a week of service. Also like the in-network doctor near me finder. I have three children, ages 5 and younger, and we like to travel. Knowing that I can find a close-by in-network provider for the inevitable sniffles, bug bites, and upset stomachs that come with traveling with children, is peace of mind!",Clarity in medical insurance? It’s true!!,2018-05-03 13:09:17,5,Indyboswell,,,
False,"(This is his wife writing this review)

So we just used the call a nurse 24hrs and I couldn’t be happier with how it turned out. She was so nice, helpful, answered all of our questions and even the ones we didn’t ask. She also told us about another option that they offer and where to look for it on the website to see if that will help us as well. 

Oh.. and when we put in to talk to a nurse I don’t think we even closed the app fully before my cell phone was ringing. Great turnaround and awesome nurse. I will definitely use this again whenever someone is sick again.",Sick 6 months old,2018-11-02 06:48:33,5,mannyd84,,,
False,"Submitting a claim has never been easier! However, after I took photos of the required documents and submitted the claim I realized I entered the incorrect date and I couldn’t find a way to go back to make this change after submitting the claim. Now I need to make a phone call during normal business hours.  It would be nice if I could go back to see what I submitted and make that simple correction but I don’t think that’s possible.  Complications resulted from user error. Aside from that it gets 5 stars.","So Easy To Submit A Claim, but...",2021-01-24 21:38:11,5,Hoosier Mom of 4,,,
False,"I have had issues with some of the providers you have on your site under this plan.  I have found addresses and phone numbers to not only be incorrect but also belonging to completely different businesses.  I have provided this information to your representatives but have seen no changes.  I have been looking for a counselor and not a single one on your site has returned my calls, or the phone/address on your site is completely wrong.  You need to fix this.  It makes looking for a provider super difficult.  I am considering switching plans at the end of this year.",You need to update your site,2022-02-24 17:17:13,3,1 unhappy client,,,
False,"I’m very thankful to be one of the few that are covered with dual insurance is having this has made my life and choosing to go to the doctor much easier! Are used to fear about not having money to pay for all the bills to find out that you have kidney disease, carpal tunnel in both wrists, And sleep apnea. There a Tonna test they have to be done from watching your blood pressure and checking your cholesterol to seeing how many white blood cell count you have. Thank you for being with me in the beginning of this progress!",My primary insurance! Secondary insurance is through mail handler‘s benefit plan,2019-09-18 01:13:28,5,redwing518,,,
False,"This app is so easy to use. It shows all you need to know about those providers around you. It has ratings by them, how close they are, what services they render, on top of that how much you will be spending! It’s awesome because then for those that are out you can know what to expect when you get there.

Reviews on the app are weird because it shows the ratings per provider but they don’t show what their patients are saying. However, I am unsure if it’s for HIPAA compliance. I mean I would like to see what people are saying to really know whether to go there or not.",Simple,2020-02-28 06:02:49,5,_Zolo22,,,
False,"I like this app. It helps me keep up with my billing. The only one thing I’ve noticed is going from my desktop to the app my paid items that I checked do not change over when I mark them. Kind of a problem if your trying to remember and can’t get to your desktop. Other than that, I was able to update my primary care doctor and check in on my claims against my insurance. I noticed Labcorp doesn’t comply with the payment feature so I’ll have to contact them directly.",Very helpful and easy to navigate,2020-01-03 21:09:24,5,r@zznJ@zz315,,,
False,"I downloaded the app and had my two college children download it as well. Since neither really carry wallets, I thought it would be a good way for them to have quick access to the insurance cards if needed. The problem is there are six people in our plan so one child is printed on a separate card that is not visible on the app. I called in to UHC to see if there was a way to view all persons covered via the app. The agent that I spoke to was less than helpful and sarcastic. I will not name her in this review, but if someone cares enough to reach out to me, I will certainly share the name and details about the encounter. You all should consider an update that makes all details assessable on the app. If not then what’s the point? It’s not convenient or helpful if it’s missing important information.",Poor design,2020-01-10 15:32:07,1,norate123,Hi! We value your feedback and are sorry to hear about your experience. Please reach out to us at uhcmobile@uhc.com so we can better assist you.,12888968.0,2020-01-13T15:48:03Z
False,"Most of the app works very well technically but has a fundamental flaw for families. The app will only allow the primary to see information related to the dependents or the HSA balance. In our case, my wife handles most of our children’s healthcare needs but because she is not the primary she can’t see any information related to them through the app nor can she see the HSA balance when she is the one primarily using the account. We understand the need for privacy but there should be a way to join the accounts after giving permissions (there’s not - we called). So this app is great for single people but useless for administration of family plans.",Good App but not Great for Families,2019-03-16 15:08:28,3,Jmboffey,,,
False,"I can view claims, show my insurance card, look up doctors in my area by name or by condition of health ailments! If I’m unsure of a doctor to see due to a new condition the app can show me in 2 seconds all my options for my area, used to take me 10 minutes at least or I’d have to schedule with a mystery doctor based off their practice alone. It also has a health checklist so that I know what I’m staying on top of and what I’m not, so I don’t have to guess or try to figure out via the clinic if I need a immunization or a test/screening done. This is great!",Amazing!,2018-11-27 14:00:06,5,Jhgdavhinfdtjhcs,,,
False,"I recently downloaded the app and was very pleased with it at first sight, until I started to download other similar apps for different insurance types and realized that all the other apps allow me to save my ID cards to my “wallet” fiction on apple iPhone except for this one . I really like the idea of having all my yards on my phone at all times but this app simply doesn’t have that feature. I hope they add it soon it’s a great feature to have . Other than that I have no complaints !",Really like it but is missing a feature,2021-09-11 17:10:25,4,Mr.bûnnÿ{original},,,
False,This app is so easy to use. I love that I can check which doctors and facilities are in or out of network. I’m very happy with how fast claims show up and all the information that accompanies each claim. I would definitely get this app if you have UH. Of course you cannot see everything such as your deductible/OOP/copays but I know what they are anyway so it’s not a big deal to me. Having your card available all the time is a big bonus especially if your traveling or have a last minute emergency.,Love the ease,2019-11-20 06:33:10,5,Bookworm Mima,,,
False,"If you need help or have questions that need to be answer you have your nurse and a doctor just a phone/app call away... instead of waiting close to a month for an appointment or having to wait for hours or pay high cost for ER visits and have to make runs to your local pharmacy, everything is done by a click and best part at your privacy of your own home/space.... Have been using it twice so far and I well recommend this... please give it a try",Very convenient,2019-12-14 21:29:56,5,909looptyloop,,,
False,"I love this app! Never have I been able to do so much with an app. I love that I can find doctors quickly, seek out information about providers, find all the contact info and even speak to someone at United Healthcare via phone or video chat outside of my doctors regular office hours if I have a concern. I love the accurate, to the minute information about the funds in my accounts and what I’ve spent/ what is left. This app makes finding the help I need very easy.",Super easy to access my healthcare info!,2018-12-05 03:46:18,5,K8zilla,,,
False,"I walk 7 to 10,000 steps about 20 days a month. Because of a programming glitch and being unable to update my step count within the app I lost three months worth of rewards from United healthcare. Even though my history is plainly with in my health section on my Apple phone this app will not allow me to go back to prior months to correct the issue that was caused by their programming error. I called support several times and was told tough luck on you.  

If I go into an area on their app where it says update step count, and it does not work, I should not be penalized. #RipOff",I lost $30 because of this ap,2021-08-09 10:31:01,2,Anitajrt,,,
False,Every time I call United Healthcare I get representatives that don’t know how to answer my questions. They Go round and round about with their generic answers without even addressing my question because it’s clear they don’t know what they’re. They Put me on hold for a long amount of time. My most recent call I was on for an hour and 40 minutes with three different representatives; the third one put me in the same department as the 1st. It’s just unacceptable and unprofessional. It’s horrible having United Health as an insurance company and I’m currently speaking up our companies HR since UH can’t help. If there was a negative star option I would choose that.,Frustrating and clueless representatives,2022-02-11 17:38:23,1,EKomoMai2021,,,
False,"Have had Cigna insurance forever. My husbands employer decided to change to UnitedHealthcare. This app falls way short compared to Cigna. You can not view an EOB on the app. Really? If you have a health reimbursement account the only person who can view this is the person that carries the insurance. You can’t view from any other family members app. On Cigna you could view all family members info. in one place , EOBs , HRA balance, everything. Y’all need to follow Cigna’s lead on this one. This is the most annoying app on my phone. You need to get some IT people in there to streamline all accounts in one place . It should be a choice if you want account info. together or separately.",Not as good as Cigna,2021-01-26 04:24:32,1,Sunflower Chica,,,
False,"Helpful but could be better.  If there are incorrectly filed claims that have been reprocessed the old claims still populate your list.  There doesn’t seem to be a way to hide them or move or remove them.  Also, I have requested that the note field in the app be fixed with no response.  You can enter a note but due to the keyboard covering the save button there isn’t any way to finish the note.",Still can’t write a note,2021-07-20 14:24:46,5,LazMom,,,
False,This is the best medical benefits app I’ve ever used. It is easy to use and provides pretty much what I need for medical benefits support. Suggestions for improvements to go from best to stellar - the dental and vision support is not nearly as strong as the medical side of things but I think that’s reflective of UHC being a superstar on the medical side and being less than that on the dental and vision side of things. Always room to get even better than the best!,Easy to use and useful,2020-09-02 22:38:41,5,Zen the Ducky,,,
False,"I downloaded the app so I could easily pull up my ID cards.  I can login just fine on my computer, but the app repeatedly tells me it can’t find my credentials, or my password is wrong.  I’ve reset my password, again I can successfully login on my computer, but the app continues to fail.  Absolutely awful.  In addition, when doing a verification, it won’t send me a text, it fails every time as well.  Ridiculous for a healthcare company to not offer a convenient way to get your own healthcare information that you pay them for!  Fix the app or lose my business - tired of paying for you to make my life more complicated!",App login fails repeatedly,2021-09-02 20:52:51,1,sick-of-your-app,,,
False,"This app works wonderfully and is a great resource to me. I use it to when looking for a specific condition to be treated or for care near me. I like that everything from claims, preventive suggestions (health checklist), a copy of my insurance card, and prescriptions are all in one place. The app also allows you to shop around for prescription prices but will redirect you to another website for actual purchase. I recommend it!",Great resource,2021-05-19 17:12:31,5,Erica7890,,,
False,This app is awful when it comes to searching for a provider. There is little to know information about the provider. The website for the provider isn’t even attached. Most of the time when I search the provider online I can’t find them or they have 3 different addresses for their practice. The app should provide links to the provider website and keep the addresses up to date. I shouldn’t have to spend hours going back and forth trying to research the provider and getting no where. I’m trying to get help but can barely find a provider that actually matches the lists they provide. It’s ridiculous.,A joke,2021-06-13 18:15:16,1,DigitalChoclat,,,
False,"UHC made $11 billion in net income last year yet their new iPhone app doesn’t include the basic ability to read your own messages! I got an email saying they finally replied to one of my many questions and decided to download the app, hoping it would be easier the horrid site. The app is fine but where are my messages?? It doesn’t include the ability to even read them. Also it asks for your location and then immediately sends it to Foursquare. What about my HIPPA rights? More reprehensible service. Everyone working at this company “making the trains run on time” should be ashamed at their participation in profiting off the death and misery foisted upon Americans for profit.","Horrible, to the surprise of no one",2019-11-01 23:57:25,1,podcastlistener4800,,,
False,"There is no online appointment scheduling; so I personally have to call my provider while usually speaking to 3 different rude nurses and 6 phone calls just to schedule an appointment. The nurses are very immature and don’t look to deeply within medical records. I cannot change my pcp when hospitals and doctors make my appointment experience unacceptable. If I wanted to speak with a nurse then I would call the nurses hotline. Otherwise, just schedule the appointment so that we can move on with our own personal lives. The system is making it seem like healthcare workers are unreliable.",There is no online appointment scheduling,2022-05-12 05:20:54,2,Mar Foster,,,
False,"Someone wrote a 3 star review a year ago saying they were deleting the app because it wasn’t going to carry Medicare advantage UHC patient info. 
Not so. I have that coverage and the app on my iPad mini works great. I can see my I.d. card and print it up. Of course if you are new to this coverage this year, there isn’t going to be a lot of info right away but enough info to let you know UHC has you covered. 
Thank you!",Really Good And Updated,2021-01-08 05:57:43,5,karldobermann,,,
False,Great app! Able to access the things I need regarding my insurance without having to worry. Fast access to my insurance card with the ability to email. Able to view my HSA balance. Able to see exactly how much has been paid toward or if I met my deductible. Each claim filed and broken down right in front of you. I doubt there’s a better health insurance app! Keep it up UHC! Glad to be one of your clients!,Accessibility,2020-06-02 00:37:58,5,Adam Hagensieker,,,
False,"I think the UHC app is one of the best. I like having my medical plan details at my fingertips. I LOVE the Renew Active program, and the only comment is: please bring back the calendar for the entire month instead of turning it off, or ‘hiding’ it after 10 days are completed - it’s fun to see at a glance the progress made throughout the month and compare with other months.
Thank you!",Renew Rewards Step Program,2022-02-16 21:33:43,5,kittsy56,,,
False,"Okay, so although United States healthcare is a joke, this app really does help. I was completely clueless having to go back and forth on a claim, but now that I can get a rough estimate easier through chat or their option makes it a lot easier to navigate. The app is really self explanatory and makes navigating your plan really easy. Take it from someone who does have to go frequently!",Best app for understanding,2020-12-10 04:26:24,5,Samantha Rosenow,,,
False,"I downloaded this app some time ago and never really used it until recently. I am extremely satisfied with the ease of access and all of the information available. Once I acquainted myself with the website I was able to see my labs, find an allergist’s with maps and co-pay information.I’m not one to write a review but I felt compelled to convey my satisfaction. I Keep up the good work",My review,2022-01-29 17:04:06,5,I'mBrono,,,
False,"This app is really great. Has all the information you need and it’s very easy to navigate. The main page shows your claims, ID card, account balance, among other bits of info. I also love the chat feature, or the request for a phone call. I’ve used both multiple times and haven’t ever had more than a two minute hold time.",Incredibly easy & convenient,2020-12-11 13:32:28,5,ccrohan,,,
False,"I hate this insurance now. I had a referral for medical treatment and it’s being denied wrongfully.  
If your doctor says they want you to see a neurologist and you get a test and it is with the referral unit we assume that that is what you’re supposed to do. 
I will like that has nothing to do with this website but it is hard to find everything and with both of those things going on I may make sure that I don’t get United Healthcare next time I sign up for insurance because not only is the website messed up the insurance is messed up",Not good insurance or website,2022-04-20 00:47:35,2,Eorozco2720,,,
False,"In July was tracking my steps with this app, successfully. Beginning August 5, the app wouldn’t recognize my phone. Called tech support 4 times (not very knowledgeable) and each time the person did not know how to resolve the problem and had to put me on hold to read a manual or ask for help. One of those times was put on hold for 45 minutes then call dropped then another time for 10 minutes and I had to hang up. They had an upgrade 6 days ago and I wonder if the upgrade is not recognizing iPhone 12 or visa versa. Right her way, I’m not getting my 7500 step recognition and UHC should consult with Apple.",Shoddy Tech,2021-08-10 10:05:43,1,Jerzeygirl0007,,,
False,"I really like this app; it is user-friendly, organized, and has tons of information. I would love to see a video chat feature added to the nurse connect capability..would be great to be able to SHOW a nurse something rather than try to describe it! I think United has come a long way with their technology, and I really appreciate having all of my coverage info right at my fingertips!",Great app!,2020-02-27 04:15:31,5,lilmongoose,,,
False,"Every single time I try to log in I get this message. When I try to create a HealthSafe ID it says one already exists. Okay fine then let me reset my password. I try to reset it and use the password I have written down as my HealthSafe ID (same one I tried to log in with)... it says please don’t reuse an old password. Okay I will use a different one. Log in and it works. Close app and this exact process needs to be repeated when I open it again every time.  

So apparently I don’t have a HealthSafe ID, except that I do, and the password is wrong, except that it isn’t.

Seriously disappointed that such a simple process has been made mind numbingly painful.",UHC now uses HealthSafe ID™,2020-03-03 02:57:16,1,DavidKilmour,,,
False,"The ‘new’ design of the “UnitedHealthcare” app (a replacement of United’s previous “Health4Me” app) is AWFUL!  It does the opposite of what the release notes claim.  The design change actually offers a MUCH WORSE overview as compared to the previous design.  United seems to have succumb to the bad advice of some digital guro, drank the digital kool-aid, embraced this obnoxious trend within website and app design, and wrongly concluded that consumers want oversized pictures and excessive white space!  The size of pics and use of white space in the previous design was much preferable.  Making more efficient use of vertical screen space, resulting in a nice balance between list efficiency and visual appeal.",‘New’ UnitedHealthcare Design = FAIL,2019-10-13 12:00:15,1,Honest John's Reviews,,,
False,I am not able to log into this new app. I can still log into the health for me app but it just tell me to use the new app but when I try to as advertised use my current log on information it won’t let me in. I have also changed my password and even immediately after changing my password and trying to enter I still can’t gain access. Why do you guys close down a completely fine app to tell me to use one that doesn’t work correctly. I wish you would have at least still allowed me the option to view my information in the old app.,Not working for me.,2021-11-02 15:52:54,1,@facevalue,Hi! We value your feedback and are sorry to hear about your experience. Please reach out to us at uhcmobile@uhc.com so we can better assist you.,26325518.0,2021-11-17T15:42:43Z
False,"I desperately need to create account so I can reach the “health benefits card” site, we hv No cell service 9/2/21, cannot register for UHC app. I need medicine that I order, supplies ect., this appears to be very good app, is without cell service are hitting dead-ends many places to receive service when we need it most~ 
Please add a “chat line”...I scanned card which came back w all correct info., but still said cld not locate. We are having sporadic issues with internet but not WiFi normally. It is a big mess, but it is a mess. Thank you!",Need chat/Catastrophic areas no cell service,2020-09-21 22:21:30,2,Tessa1011,,,
False,"My experience with the the customer service department has been less than stellar.  Agents are friendly, but don’t seem to know what they’re doing.  3 calls, 2 transfers to wrong extensions.  One lovely gal from Texas finally got me to someone to help.  He was great, but getting there was a nightmare.   Just now got a response about the issue via voicemail, but message didn’t answer all my questions. Tried to call back automated system wanted an extension that wasn’t left.  When I tried to explain that, it didn’t understand.  Got to leave a message.   I guess they’re a work in progress!",Automated nightmare,2022-02-14 22:51:08,1,Jimbow57,,,
False,"When you try to submit a claim, you cannot hyphenate your provider’s last name (this happens on the UHC website when you submit a claim online). I cannot switch profiles from the primary insured to dependent even though there is only one log in per family. If I am mistaken, someone let me know. I am surprised this app has as many stars as it does. Also, I don’t like how call-friendly everything is. Why isn’t email or text or online contact more visible and accessible if it is available?",I can’t quite stand it.,2022-04-30 06:31:16,2,J. Do,,,
False,I would really like to understand how my doctor is listed as In-Network but get billed as out of network? I pick another doctor that says in network be he is also out of network! I should not have to call to find a doctor when it’s clearly listed on the web page. P.S. can it be more confusing than calling the doctor’s office and they state that they do Not know if they are in Network.,In-Network?,2022-02-05 15:11:48,4,Snole88,,,
False,"I’m really frustrated because I’m trying to look for mental health care providers specifically black female providers and it’s so annoying because the app allows me to filter by gender, language, and distance, but not by race. Just as a patient who identifies as a woman might be more comfortable speaking to a female physician, because of a belief that they may be more familiar with the way they move through the world and experiences specific to women, I as a black person would like to speak to a therapist who understands trauma and experiences specific to black patients.",Filters by gender but not by race,2020-08-27 13:27:12,2,hdjdhrvrj,,,
False,"I was in a serious accident and ended in the emergency room and today had a follow up and had to schedule an MRI. I called united healthcare to see how much it would cost and if it was in my network. 
She let me know it wasn’t and helped me find one near me and gave me a cost of what it would cost out of pocket for me. 

I am so thankful and she was human she wished me well and told me to stay in good spirits. Her humility was greatly appreciated.",Insurance Rep was amazing.,2020-02-26 19:57:28,5,"IM NOT CRAZY, JUST BANANAS :-)",,,
False,Every United Healthcare customer should download the app. It was obviously designed with the user experience in mind. I had a question about benefit coverage and had the answer within 5 minutes — that’s finding the spot to request a call in the app to the conversation w the agent and having my question answered. Incredible!,A must-have app!,2020-05-14 20:43:12,5,On Jewel,,,
False,"The concept is good, but there are a few hangups. The good kind my concept is that it has all your information on your phone. You usually can download a PDF file to store on your phone. However there are a few glitches. Right now I can’t see anything that I’m saying into this phone. When I type I don’t see anything either. I tried to generate a PDF of my records and it didn’t work so nice try but it’s not there yet.",Usually works,2022-03-29 21:01:09,3,Revfiddle2,,,
False,This app keeps everything right where you need it even down to virtual cards! You can keep track of your HRA as well as how much you’ve paid per person into towards your deductible which is so nice when you have seven kids on it! Easy to locate doctors and care by provider type or location too,Easy to use and track all in one app,2020-03-30 16:06:37,5,MCiop95,,,
False,I use this regularly to check on claims or find a Dr near me. This app shows me who’s in my network and who’s available. I can go check my claims to see what’s been processed and what I owe. If you have UHC i highly recommend this app because it will make everything so much easier. You don’t have to worry about having a current card on hand because it’s in the app!,So convenient!,2019-03-06 18:31:19,5,Ph03nix26,,,
