userName,rating,title,isEdited,date,review,id,body,modified
VFW Life Mbr - Post 6902,4,Vets Must have!!!,False,2022-01-16 18:54:57,"Don’t get the other VA apps they are a waste! 4of5 because lacks notification option under settings for disability claims!! Must have app to monitor claims & upload your evidence but easy to miss your window due to lack or notifications & snail mail delays.  Also you can revoke & designate new claims reps.

Can manage your appointments & clinics but not your medications so do get the VA Rx Refill app.   Needs the Rx management & bill pay feature added.",,,
Mojo2nyte,5,Getting my needs met!,False,2022-02-25 09:31:53,"For years I have struggled with the VA to get all of my needs met and (although it’s only slight) I have noticed a change since I have been able to access my documents and message my provider.  Don’t get me wrong, I still have to fight to get my needs met but at least now I have a vehicle to fight with. I mean it’s progress, ya know?",,,
GoodGirl_Edition,5,Awesomeness,False,2022-01-28 21:22:51,"To think of the many outdated programs used by the government, this app has been by far the BEST thing the VA could have created for veterans.  Whatever team decided to come up with this app, in addition to the programming team that designed it needs more than a raise, praise and accolades!! I make it my duty to recommend this app to EVERY vet that I know!! Thank you!!",28072550.0,Thank you so very much for your kind words. Reviews like this mean the world to our team. ,2022-02-16T00:39:04Z
Randal A,4,Disabled Vet,False,2022-03-31 14:27:07,"The VA need to allow access to letters being sent out. Also, seeing that the VA has so many entities when you update in the app it should update all entities. I miss so many letter due to a diffent entities are not getting the update causing you to have bills go into collections & you never know until it's getting garnished years later & you would have taken care of it years ago. Bad flaw VA",,,
Sup8rM8,5,Wow!,False,2022-04-11 04:49:10,"I honestly wish I new about this app months if not years ago! All basics of what I would need in the app and the ability to change basic info life address and phone number. Wow! Beyond pleased. Saves me time from calling or logging in on a laptop or waiting for a letter in the mail. Again, basic info and letters.",,,
Foshmc,5,Does not work,False,2022-02-01 19:19:13,"I am using version 1.13.0. with Apple iPhone 11 and iOS 15.3. Some of the app works and other part don’t. I have called the help desk but no help there.  They keep saying it will be corrected soon. I am unable to pull up my appointments, any military records, nor messages. It would be great and helpful to Vets if it only worked.",28072507.0,"Thanks for letting us know. We may have better luck if you email us directly at vaflagshipmobile@va.gov with screenshots. Then we can work together to figure it out. I'm sorry it's not working well, I hope you'll give us a chance to fix it!",2022-02-16T00:32:56Z
z prof,5,I am impressed,False,2021-08-15 15:07:28,I have used the web-based system for a few years. This app was easy to setup and worked flawlessly to check my appointments and send a message to my primary care provider. Efficient and easy to navigate app. So convenient to just grab phone and take care of business. Thanks!,24585371.0,"This makes me so happy! Thank you for providing feedback, I'm glad it's working well for you. I hope you'll keep using it. We're adding new features and improving it with every release. ",2021-08-18T18:42:01Z
pjert,5,FINALLY!!!!,False,2021-10-13 03:15:45,"I signed into this app with my DS login and so far it works amazingly! Whomever designed it did a great job so far. Just downloaded it and all the features work great. The ability to make appointments, and add them to my phones calendar is amazing. Not to mention I can message my provider too. 

Great job so far with this product VA!!",,,
Jim C. AIRBORNE,5,VA. Care And Treatments,False,2022-04-28 15:41:55,"I can’t say enough about all of the things,  that VA has done for me .   From staffing to treatments , a first class operation.  RXs sent in a timely manner, also some of the top quality Doctors in our area ..  As a Vietnam veteran with service connected disabilities, they have always been there for me!  Thanks to all that served !    JBC.  Airborne 173rd Vet 66/69",,,
TITOOOO!!!!,5,Great app,False,2022-02-16 03:52:33,"This app is great for all the essentials. Like letters, checking status, sending messages, keeping track of your appointments. I tried logging in to my healthevet, so I can send messages. It would keep asking me to log in. This app is easy to use I can even upload all my medical evidence. All Vets need this app.",,,
NC JR,4,VA App,False,2021-12-10 14:07:34,"With eBenefits going away, would be nice to see more details transferred from there, and/or easily accessible in one place verses split between App and the main VA Website.

Would also be a huge benefit to have access (all in one place) a segmented view of “some” of the myhealthevet info, e.g., appts, meds, a quick-link of phone numbers associated to that individuals PCM, CBOC, VA Hospital they are tied - along with their VA card for ID purposes.  Safeguard it - But use the technology!  Stop issuing if you can - place on your hand-held for free.

Good start, applaud the efforts to making things easily accessible!  

In light of our ever-aging elderly veterans, I have mentioned much of this for “their” User Experience/Friendliness!",,,
Anjoesco,5,Best App ever,False,2021-10-08 00:18:31,"With this application that the United States Veterans Affairs has created, it allows the end-user almost seamless access to their rating, letters, claim status, and many more.I wish they had this five years ago. But better late than never.

 I am truly thankful and grateful for the VA. Family first, mission always. God bless America.",,,
i giveupwithnickname,5,Mobile app,False,2022-04-05 18:21:33,I am very happy with this new mobile app application it’s so so much easier and easy access I haven’t tried it yet but I’m assuming I could make appointments and cancel appointments and even do travel vouchers on this so thanks whoever worked out this new system,,,
Flexoman123,1,Human User Interface,True,2022-02-05 17:40:47,"If you have not done so, you need to use an 80 year old and a 25 year old who are not computer savvy to use your apps and then see their reactions. You should also consider that some of the Veterans most affected by PTSD do not have access to the internet or smart phones. Given the VA’s apparent reputation, I have both victorious and failure stories, you need to offer more in terms of cyber interactions. And please do not use Holiday Inn wonders, vis-à-vis “certified professionals”, to fix the issues… use experienced professionals like UX developers.",26838037.0,Thank you so much for taking the time to give us feedback. I'm sorry we didn't meet your expectations. I would love to hear more specifics about what we can do to improve the app. We can be reached at vaflagshipmobile@va.gov. ,2022-02-05T17:40:48Z
sueckhardt,5,Supporting Families,False,2021-10-18 02:37:09,The MyHealthVet software allows my husband and I a convenient and accurate way to notify our daughters of all tests and results. Our oldest daughter is a physician in another state and has appreciated the access to her father’s medical records without us trying to translate everything. Thank you!,,,
100% D,5,Completely Surprised,False,2022-04-12 01:49:37,Hearing all the negativity about the VA experiences is further from the truth . I started my VA services 3.6 years ago. Within that time they’ve attended all my needs one first phone calls . I hope eveelse can get the same service I’ve experienced,,,
50andHolding,4,Add pay information,True,2021-09-22 15:13:33,"The app is good and if you could access you payment information that would complete the picture and the app would be GREAT!

By payments I mean the function that shows upcoming and  retro payments being processed. That is EXTREMELY beneficial and makes Veterans aware of their VA payment projections. Veterans love that feature.",25237369.0,"Thanks for responding. If by payment information, you mean direct deposit, you can access that via the app! You'd need to create a login that has two factor authentication. You can do that today via ID.me. We add extra security to that feature to make sure no one tries to steal your benefits payments! Thank you again for your feedback and for using the app. ",2021-09-22T15:13:33Z
Armynse,5,Quick Access,False,2022-01-26 16:02:35,"I have found this app to be easy to navigate, and it contains some of the most important information that a veteran needs at a moment’s notice. Just wish it had the option of pharmacy refills.",28072597.0,Thank you for the feedback and the suggestion! We're working on prescriptions now and hope to have something out for you in 2022. ,2022-02-16T00:43:00Z
Kid Die-no-mite,3,Lack of updated info,False,2021-11-28 15:23:29,"I would like to see more detailed information about my claim status on the website. My status has been showing the same number for 3 months now and it would help a lot to have more detail on where exactly the claim is in the process. Evidence gathering, review, and decision is a really broad and unspecific description of the claim status.",26612219.0,"Thank you so much for this feedback. I've passed it along to the folks who give us that information to display on the app. In the meantime, please email us at vaflagshipmobile@va.gov and I'll see if we can find someone to get you more information. Again, thanks for taking the time to give us a review. ",2021-12-02T23:23:54Z
225mark,5,Extremely professional,False,2022-02-03 20:27:24,"I’ve been involved with VA for many decades. I must say the communication between VA and myself has been excellent. I receive the medical information promptly along with receiving articles needed for my Dissability. 
I am thankful for your continuous help and concern.",28072467.0,I am so glad that your experience with VA has been so positive for so many years. Thank you very much for taking the time to share your feedback. ,2022-02-16T00:28:27Z
CSF Teresa,5,My Healthe vet changes,False,2022-06-03 21:33:38,Oh my gosh!! Once we found out about the App it was a breeze to log in and send secure messages! It’s been months since we could successfully log in at all and missed the means by which to communicate. Thanks for the App!,,,
Zsazsa70,5,Grateful!!!!!,False,2022-03-05 14:22:08,"We love this access to everything we need for my husband & his well-being. Thank you for everything you do for us!!!!! Chris Shirley, wife of James Shirley 1065. 💞💞💞 Also, my healthcare through ChampVA!!!!!! We couldn’t ask for better health care & we are so thankful!!! 🇺🇸💜",,,
k9 usaf lafb,5,Awesome tool to use,False,2022-01-21 06:32:31,Very easy to use all your info is in one place. Highly recommend this app to all Veterans. Work smarter not harder. Why wait for results when you can just log in and see everything immediately. A++++,28072572.0,This is great feedback! Thank you for your kind words. ,2022-02-16T00:41:28Z
aa43x,5,Excellent Start!!!,False,2021-09-03 01:33:10,"This app really surprised me with how well it is put together. The feature so far is the ability to biometric logon, after initial setup. No more having to authenticate each login session. The easy access to my info, is also, a welcomed relief. Bravo Zulu!",24961630.0,"Yay! We are so glad you like it. We're adding new features all the time, and we love your feedback. Thanks for reviewing us. ",2021-09-07T13:49:23Z
keepitReal777,5,Great App,False,2022-03-25 22:40:53,I love this app but I wish there was a way you could print out your combined disability ratings the same way you could print out your award letter. Great job though on having access by smart phone. Grateful for the makers of this app.,,,
Intel007,5,Outstanding app!!!,False,2022-03-27 18:34:06,I have had such a wonderful experience with the VA as a whole and have always loved their web site. BUT this VA iPad/iPhone app is the truly outstanding and is so intuitive and easy to use!!! Thank you VA for all you do for us retired serviceman !!!,,,
timmyalvin1965,4,Works good but login is inconsistent,False,2021-11-08 08:23:46,"Had trouble logging in and once I did kept getting error stating app wasn’t working. That was when I logged in with MyHealthvet.
I then logged out and logged in using ID me and now the app is working great. 
Would like to see VA RX refill app consolidated with this. Then it would be worthy of a five star rating for me.

Also, would like to see VHA travel claims added to this, now that would really nice because the BTSSS can be iffy logging in and using at times. 

Might also add advance directives in case needed in an urgent situation and they can’t always be obtained quickly by non va hospitals,",26174858.0,"Thank you for taking the time to give us feedback. We know login is an issue and we're working hard to get it to work more smoothly. I'm glad you were ultimately able to get into the app. And we agree with you on prescription refill and BTSSS! Those are features we're exploring. I hope the app continues to be useful to you, and we really appreciate any feedback you give us, here or at our email vaflagshipmobile@va.gov",2021-11-09T17:12:30Z
Conchaga,3,Interfacing with the pharmacy continues to be snafu,False,2022-04-28 20:30:27,Why does the VA consistently neglect our need to interface with the pharmacy? This app does everything but pharmacy. Wonderful for claims and talking to your doc. No complaints there. BUT we NEED a better way to interface with the pharmacy. Using the web portal from a pc is still nightmarish and this does absolutely nothing to help.,,,
JuddlyDoRight,5,So much faster than website,False,2021-11-02 16:41:13,Well done VA!!! This app saves so much time.  Letters and documents can be requested.  Claim status can be checked.  It literally has everything I need and is so much faster than the website.  Very pleased!!! Thank you!!!,26175087.0,I am so glad to hear that this app is working well for you! Thank you for taking the time to reach out. ,2021-11-09T17:22:04Z
Granny Sharon,5,Always timely,False,2022-04-26 05:26:27,"The VA messaging system is a great bonus for any veteran seeking to contact his/her healthcare provider. I have used this system since 2993, and have always been amazed at the speed of transmission and the attention of the providers.",,,
Windycitykid13,1,"Login issues, “app isn’t working please refresh”",False,2021-10-06 14:08:35,"About 50% of the time I use the myhealthevet option to login I get an “error 60: SAML” message. Very frustrating. After finally logging in I check my appointments only to get “this app is not working please refresh”. So I refresh it but get the same message over and over. Log out and back in, same thing. It seems every experience I have (including the app) with the VA is difficult and frustrating.",,,
FlyNavy69,5,The VA app is awesome!,False,2021-12-16 22:19:28,Everything you need and nothing you don’t!  Being able to pull up your various letters from your phone is great.  I find this much easier to navigate compared to the website.,,,
TN River Cruise,4,Not user friendly anymore,True,2022-01-20 23:18:57,You keep changing and adding to this app making it harder to go to section you need each time. Please revamp for easier use. Tried 3 different Apps trying to find main one that used to use. It was Healthy Vets app now it’s gone.,27540645.0,This is really interesting feedback. I'd love to hear more -- could you email us at vaflagshipmobile@va.gov? Thanks for taking the time!,2022-01-20T23:18:57Z
Mikeyrarri,5,The VA App,False,2022-01-11 23:25:53,This app was a great way for the VA to enter the 21st century.  This app is far from perfect where it does have its issue and is missing some things.  As of right now the app does have great claim tracking.  The app also has the letter generator which is very helpful.,,,
lkjhgffdsa0987654321:-,5,VA smartphone app,False,2022-04-26 20:11:12,"I love using the smartphone app. I can contact my doctors, clinicians, and nurses anytime I need too ask them a question, or have them resubmit a prescription that has run out. I can also keep better track of my appointments.",,,
Alex8467688,1,App Is Trash Just Like The Ebenefits Site,False,2022-02-09 23:30:31,I’ve been using Ebenefits for over a decade and if lucky one time out of every few months I’m able to actually access the site and now this app is doing the same garbage!. I get it the VA wants us to quit fighting for the air promises we were given by our crony government but this is ridiculous!. I have tried every latest updated web browser and everything I can do. Not satisfied in the slightest.,28072410.0,I'm sorry that the web experience and the app experience have not lived up to your expectations. We take your feedback seriously and want to make it right. Could you please email us at vaflagshipmobile@va.gov and describe the issues with the app with more detail? ,2022-02-16T00:21:28Z
papahopkins,5,Professional service,False,2021-12-09 20:19:01,"I had heard the horror stories, but every appointment has gone smooth.  Nearly everyone has been very kind and professional.  Yes there are waits, but no more so than any other medical facility. I am pleased with my VA!",,,
Bestman66,4,Great App,False,2022-02-26 10:22:32,"Although this is my first using this App, so far I find it very easy to navigate, it a lot easier than using web browser. It’s like having my info at my fingertips at all times. I can check my appointments on the fly. I’m loving it this far. The Bestman",,,
Chuck Marley88907,5,Finally!!!,False,2022-04-29 01:02:20,I can’t be happier with this app. It’s so easy to do what I need to do now. I’ve been a disabled veteran for quite some time now. Communication with VA used to be my biggest issue. Well that’s not a thing anymore. T,,,
AllenT5325,5,Love this app,False,2022-02-04 13:57:29,I love this app. It’s a lot faster and easier than logging in to my health e vet. Thank you for building this app. 5 out of 5. Thank you for helping me with my mental health too. You guys are getting better every second.,28072453.0,Reviews like this mean the world to us! We are so happy that the app works well for you. Thank you very much for taking the time to share your feedback. ,2022-02-16T00:26:25Z
Misskathryn35,5,Surprisingly helpful!,False,2021-11-17 14:43:17,"I did not have high expectations for this app, I’m going to be honest.  However, I have found it to be extremely helpful!!  Every letter you could need is here at your fingertips.  Pleasantly surprised.",26612339.0,"I can understand why you wouldn't have high expectations! Thanks for your honesty. I am so glad the app has been helpful. The letters feature is really popular, it's good to hear it's been useful to you. We hope to keep pleasantly surprising you with new features and continuing to improve the app. Thanks again for this feedback. ",2021-12-02T23:35:40Z
Esedontwork,2,Half of the time works,False,2022-03-29 12:09:54,"It is convenient to use the app , when it works! Half of the time is not working. I get a message saying “safari cannot open…” then an error message from the app. Just now I updated the app and after 5x trying to login I gave up because I kept getting the same message and app never worked.",,,
jermoses,5,Good idea VA!,False,2021-12-14 00:16:36,I really like this app! It’s so much easier to get online to this VA app on my smartphone then trying to connect to the VA on my pc! Good job VA for coming up with a quicker way for us disabled veterans to keep in better contact with you!,27083980.0,I am so glad it's working well! Thanks for taking the time to give us feedback. It means a lot. Have a happy new year!,2021-12-27T18:58:03Z
Niambee,5,Easier,False,2021-10-19 11:44:26,"This app makes it much faster to sign in to get my claims information.  Before I would go though ID Me and since it was always glitchy, then I would have to use DS Logon.",,,
اميد شيرازي,5,Improvement,False,2022-03-28 15:41:02,"This app is very convenience as far as generating letter, sending and receiving messages, and see scheduled appt. Still it would be great if I could order medicine, and see my lab results.",,,
TechAlxF,5,Absolutely a Winner,False,2022-03-24 13:58:56,This needs to go out on all the emails and captive TVs.  This app is a winner.  So easy to pull the letters  occasionally needed to show for disability and award to our next appointment and uploading it to your iPhone calendar.,,,
HillzStone,5,Great app but needs more,False,2021-12-14 14:21:06,"This is a great app! You can see all your medical appointments, download your benefits letters, and see you vaccinations. I wish we could request travel pay though.",27083986.0,We have it on the roadmap! Keep checking back in 2022!,2021-12-27T18:58:32Z
saa as mt,5,Review,False,2022-03-19 20:16:23,Site has been improved and is totally user friendly and easy to navigate. Thank you for improving and for your help to us!!!,,,
mc mick313,5,Surprisingly useful,False,2021-07-15 15:37:47,"This app is pretty good and gives you the ability to quickly review claims, appointments and secure messaging in a way that’s much easier than using the computer. Bravo VA",23972248.0,"Thank you for this review! I'm so glad the app useful to you. Keep checking back, we plan to make significant improvements and add more features based on your feedback. 

Best,
Leanna and the VA's mobile app team
",2021-07-16T18:07:03Z
Stump$$1212,4,Smooth,False,2022-04-24 02:42:15,"This is a great app, I really enjoy how smooth and easy it is to use. The only thing I’d really like to see is a medication tab. As to where I can go in and click to refill. That would make this a 5 star app.",,,
jumpthestock,5,Navigation,False,2022-01-21 02:04:04,Easy to navigate.  Much improved in last several months.,28072570.0,Yes! Our goal is to make it extremely easy to use. Thanks for letting us know we're moving in the right direction. ,2022-02-16T00:41:07Z
stormls200,4,"Great app, just missing one thing!",False,2022-02-14 14:22:36,I love this app!! Makes the things I need to constantly review very easy. The only things it’s missing is the ability to see my medication and re order when needed.,28072351.0,I am so glad you love the app! We are actually working on medications and refills and should have something out sometime in 2022. Thanks for the feedback.,2022-02-16T00:15:38Z
