review,userName,rating,date,title,isEdited,body,id,modified
"I’m not impressed. Account creation was difficult. Fields don’t auto populate. It would be nice to have a log in with Apple or similar option. 

My real complaint is with the payment. It was difficult to use the credit card form, again didn’t auto populate correctly. And when I clicked submit, it crashed and reported a system error. So did I pay or not? I’ll have to wait and see. You should add in Apple
Pay to make it dead simple.",bjgreenbucknell,2,2020-07-20 22:26:47,"Account creation issues, payment issues",False,,,
Dr. Sizar is a wonderful upcoming doctor. He is a great listener and tries very hard to make you feel comfortable. He also shows respect towards your opinions. He is also handsome and clean cut. I am happy that he is my doctor. No stress when I see him. May God continues to bless him in his practice and he doesn’t let the love of money change him.,fadhjdjdjd,5,2020-06-27 11:44:34,Dr Sizar,False,,,
"app is pretty well made. You can message you doctors, see clinical results and a number of other helpful things. The app is used by a whole network of healthcare service providers so it’s a one stop shop to see results from family doctor visits or ER visits, etc.  which is soooo helpful.",Bachelor526274848,5,2020-06-12 14:00:34,Very cool,False,,,
I love this app. It makes accessing my health records so much easier. I really appreciate having the ability to compare results of my lab tests from one visit to the next in an easy to follow format—it makes tracking my health progress simple. 👍🏼,RudyHyg,5,2020-06-03 22:16:45,Great App - Easy to use!,False,,,
"I go regularly for lab work. Every time I go generates a new account number so I have to enter each one to discover whether I owe anything. Why can’t it simply show me everything with dates of service, even if my balance is $0. At least then I could rest assured I did not owe. As it now stands, I’ll only discover I owe $5 when some collection company sends me a bill for $5 plus $100 in penalties and fees. This is one of the less user friendly systems I’ve had to use.",I'm Sorry I Have to Say This,1,2020-09-17 18:11:46,Not user friendly or helpful,False,,,
The app was working just great and provided a lot of information up until today. I downloaded the newest version and it still isn’t working correctly. It kicks me out or says it doesn’t recognize me. Sometimes it finally logs in and the results don’t load. Just give an error message. Please fix it as it used to work just fine. Never had any issues until today. Not able to look at anything whatsoever.,dee.5,1,2021-06-19 20:31:09,No longer works,False,"Hi, thank you for your feedback. We sincerely apologize, but upon investigation it appears the issues you've described were likely the result of a scheduled maintenance window. If you can, please try logging in again and if you still encounter issues with logging in, we'd love if you could report back. Thank you. ",23506016.0,2021-06-21T17:00:44Z
I recently misplaced my insurance card and didn’t realize that until a doctors appointment earlier this week . Thankfully I remembered I uploaded my insurance card into the app and was able to share that information with the front office. So helpful!,Dmarley1006,5,2021-06-17 16:36:56,So helpful for my dr appointment,False,,,
"Able to check my results and get it in a timely manner, do not have to wait on phone if you want this press 1 or if you want that press 3 and the leave a message, much faster and secure.",Snow man timber,5,2021-07-12 15:29:34,Easy to navigate,False,,,
I have so many health issues that it is ridiculous. This app helps me keep track of lab results surgeries (32) and medications. I wish it was not limited to the few hospitals it supports and I could link with TX medical center hospitals.  Maybe I can?,HOTAMGMB,5,2020-06-26 22:16:51,Great app,False,,,
"Let’s do this by the numbers:
1. Updates to appointments infrequently
2. No ability to send or receive correspondence with care providers 
3. App gets stuck trying to update profile and won’t proceed beyond that.
4. When I think of an app that is meant to be helpful-it should eliminate the need to call in for basic information. It should show up coming appointments and the have ability to send a message to providers all concerns before coming in for an appointment. 

By all mean download this app, if all you need to see are some of your records( yes, some). Don’t expect it to be useful though.",Dawoodsman,3,2020-07-07 14:54:23,What a piece of crap!,False,,,
This app is super easy to use and navigate through your records and being able to select and share/send records with additional doctors or clinics is such a great option to have right at your hand.,BC@boro,5,2020-11-28 12:32:09,Amazing Health Records App!,False,,,
"I went through and completed the entire and lengthy pre-registration form . at the end it would not ket me submit and asked that  i try again. My wife went back through It and the same thing happened.
If Parkridge wants me to take my time to pre-register to save their staff time then they had better get a better program.

No way will I go back through this crappy app again. 
I rate it a  big fat 00.",urcrazierthanbedbugs,1,2021-10-14 14:39:21,Pre-registration,False,"We apologize for the issues you experienced when trying to complete your pre-registration. Currently, the system times out after 15 minutes, so that may be what you experienced. However, we are about to release an enhancement to the process that will eliminate this negative user experience and save your progress as you go. Until then, if you are still needing to pre-register and could use assistance, please give us a call at (855) 422-6625. Thank you. ",25746864.0,2021-10-18T12:48:52Z
"This is great. Love being able to see my health day from my hospital and urgent care. I’d really love to see my primary care doctor data here too. Is that possible? All in all, this is great!",Life drummer duder,5,2021-05-05 18:23:47,Health made easy,False,,,
"It really  instantly connects with  all my medical records in one place.I  can see my results from tests sometimes even before before my 
I use it all the time!",FLANCRIDD16,5,2020-12-10 18:52:04,Love this ALL in one medical  app,False,,,
"This app is ridiculously useless. It contains basic info that is wrong, yet it can't be corrected.  Also, results shown only for the last 23 months. This is useless if you are trying to determine trends: are xyz values going up? Or down? Can't determine with less than 2 years of viewing history. 
 
Who is this app serving? Certainly not the patient!",retired at 50 !,1,2022-02-14 20:22:04,Incorrect info canNOT be corrected,False,,,
"It won’t let you slide the “remember me” switch so you have to type everything in every time.

The bill pay system does not work in the app but the exact same bill pay system works on the website. Very weird. Each time I tried in app it said “error has been logged”. 

Almost forgot but if you use the message system and select medical question you get a canned response saying you cannot ask medical questions. Why have the option?

Other than that, the results and records are good.",Puppy_Sariel,3,2020-11-08 17:18:52,Some Bugs...,False,,,
This is so convenient and easy access. I like to see the results of my test when I could. Thank you very much!,Dotelyn,5,2020-11-11 13:04:55,User friendly,False,,,
I been trying to get past what state and what hospital/ It won’t let me past that/ what’s going on with that? Please explain it to me / thank you n Stay Well Everyone/,Shelleana,5,2020-07-07 16:04:42,Hospital,False,"Hi, thank you so much for taking the time to provide feedback. We're sorry to hear the app froze after selecting your preferred facility. A fix has since been deployed that corrects this issue. If you can, please try accessing the app again. If you have any additional need for support, please contact our Portal Support team at 855-422-6625.",16514603.0,2020-07-09T15:37:21Z
What a great experience. I love being able to see my urgent care data too! I wish I had my physician information in here too.,jmh42988,5,2021-03-14 01:23:38,Love the app!!!,False,,,
"The app worked great for a week back in August, but it’s been at “provider reports are temporarily unavailable” for at least a month and a half. And yes, I know I can call and get the provider reports but that’s literally the whole point of the app because the hospital will end up being aggressively unhelpful in obtaining actual records.",oatmeal_is_literally great,1,2021-12-01 19:10:34,Updates that don’t fix a thing.,False,"Thank you for your feedback. We understand the difficulty it has caused to not have immediate access to provider reports, and appreciate your patience as our teams are working constantly to ensure the data is accurate and able to be viewed again within the app and website. We do anticipate having them available here shortly. If we can assist with any other matters, please call us at (855) 422-6625. Thank you. ",26626637.0,2021-12-03T13:14:24Z
I think it’s great ! cause you can read and educate your self about your condition. And ask questions about it to your doctor .,Jesus Marquez SR,5,2021-11-17 14:47:03,Liver transplant patient,False,,,
Having the ability to connect my 1 by one machine to Bluetooth saves me time by putting my readings into my phone. I like that a lot.,M7JW,5,2020-10-31 14:59:20,Review,False,,,
Still haven't been able to pay bill frozen screen.,Jo-Jo M.,4,2021-03-06 23:50:01,Doesn't allow to pay bill,False,"Hi, we're sorry to hear you've not been able to access your bill. We'd love to assist and better understand your experience. Please contact us at (855) 422-6625. Thank you. ",21590615.0,2021-03-11T13:26:52Z
Patient friendly sight that compares lab reports to past.  I find it easy to use and understand.,Teacherforever,5,2022-03-21 20:11:34,Easy to follow,False,,,
"The Provider Reports have been unavailable since I’ve started using this app 3 weeks ago. They provide no updates on when it will be fixed. It’s an enormous inconvenience to find a fax machine, which is the only way you can get access to provider reports.",JamesW141414,2,2021-11-02 22:17:00,Faulty App,False,"Thank you for taking the time to provide feedback. We are sorry that not all features of the portal are currently available. For access to a particular record, please call the Medical Records department of the hospital you visited. If you need help finding the phone number, feel free to call our Portal Support Team at (855) 422-6625. Thank you.",26078958.0,2021-11-04T12:38:17Z
It was working great until yesterday now it asks for my preferred hospital and stays stuck on that screen. We were really enjoying this app. Hopefully it’s fixed soon so we can keep up with my husbands lab work.,Blackhondagrl,3,2020-07-03 21:00:37,Not working anymore,False,"Hi, thank you for reaching out. We're sorry to hear the app froze after selecting your preferred facility. A fix has since been deployed that corrects this issue. If you can, please try accessing the app again. If you have any additional need for support, please contact our Portal Support team at 855-422-6625.",16514646.0,2020-07-09T15:39:58Z
This app was working perfectly until two days ago. Now it asks for your preferred hospital and gets stuck on that screen. Now why would they add a feature that makes this app non-functional? Why not test the feature before adding it? Very poor implementation and failure of what used to be a great app.,k123456a,1,2020-07-07 11:55:46,Stopped working,False,"Hi, thank you for reaching out. We're sorry to hear the app froze after selecting your preferred facility. A fix has since been deployed that corrects this issue. If you can, please try accessing the app again. If you have any additional need for support, please contact our Portal Support team at 855-422-6625.",16514632.0,2020-07-09T15:39:17Z
"I found the APP very useful, easy, after it kicked me out, and they had to reset my password!  Thanks",Seasoned midwestern,5,2020-11-22 22:23:35,First time user,False,,,
While feeling the worst I’ve get all year I tried to download the app to schedule an appointment. When trying to schedule one the UI is so terrible that you can’t even see the location of the clinic…. Literally just go to any other doctor in your area than deal with the hassle of this app,wza5012015,1,2021-12-06 22:21:37,Joke of an App,False,,,
There two accounts linked and I cannot access my records even though my demographic data is correct. The accounts should be allowed to merge,jutabrex,3,2022-04-29 03:13:06,Access to Medical records,False,,,
"I am able to look at all of my husbands records and results of tests with just a click.
Awesome tool.",Yeshuasway,5,2021-06-25 16:19:05,Excellent coverage,False,,,
Very easy to use and everything is available,jaray37,5,2021-11-24 17:01:40,Great app,False,,,
Tried signing up for an account.  My password was too long and generated an error message.  It is 2020 and we need long password support to secure our data!  Not comfortable trusting this app with my data if I cannot use a secure password.  Let us know when this is fixed.,ShortCircuited5,1,2020-06-25 18:41:28,Does not secure our data,False,,,
This was very helpful however it would be nice if we just just send a message to the Dr rather then booking an appointment.,Cawilliams1009,4,2021-05-03 19:07:05,Question,False,,,
To register for an upcoming visit I am required to fill in all the information for insurance card. Where that can just be taken care of by a simple photo of the front and off the back of the card then I don’t have to do all the filling in. easy fix,MBtomates,1,2022-01-25 13:20:58,Registration,False,,,
Love the easy access to all of my healthcare needs and information,daymosel,5,2020-06-02 16:40:24,Healthcare consumer,False,,,
I absolutely hate this app.  I tried to pay on my phone and then I am told they are having problems and to go to a computer.  What’s the point of this mobile app?   MyHealthONE is horrible mobile or computer.  Just going to pay by check,Colorado Heath,1,2020-11-25 17:30:35,Worst app to pay a bill,False,,,
Any Apple Card transaction I attempt fails in the app regardless of what card I use. Extremely unfair to offer a payment app that does not work and then penalize your users for late payments.,Uwueusjsj,1,2022-03-23 02:03:14,Terrible app. Buggy software will not accept payment and will make your payments “late”,False,,,
It’s really nice to know when you have a test and really want to know the results. It’s great!!,sandyp1417,5,2022-02-11 00:12:53,Nice to know,False,,,
"I’m still waiting for my Drs Office to call me back about my Report.
Going on Day 2! ☹️",Lake Time is the Beat Time,5,2022-03-10 12:47:44,Fast Teat Results!,False,,,
"Too many features do not work.
The address field does allow numbers or spaces. Cut and paste does not work. 
It looks like it was prematurely released with no testing. The only capability that works is to check results. Forget any feedback or interaction, is a waste of time.",Nedmath,1,2021-05-03 18:45:43,This app is a joke,True,"Hi, thank you for your feedback. We'd love the opportunity to learn more about your experience as we're always working to improve upon the app and user experience. At your convenience, please give us a call at (855) 422-6625. Thank you. ",22591407.0,2021-05-03T18:45:43Z
Good service and wonderful,WP Watson P,5,2020-12-11 00:10:53,Very fast and easy to register,False,,,
"Three separate dates and attempts to be efficient and check in online. 

No text or callback at all.

Patients go elsewhere with this kind of frustration. Either turn off this capability or fix it to appropriately prompt online patients.",BuffieLuv,1,2022-02-02 22:13:52,Web Check In,False,,,
This App is the most garbage thing in my life at the moment. So is the “team” that told me to download it because I’d get my results faster. I used the message feature two days ago to ask when I can realistically expect my test results. Still no answer.,dueuwijs,1,2020-11-30 13:49:38,This App,False,,,
Went through whole process. Some pages had go back to previous page and refill the information.  Got to the end and App would not accept information. Said try again.,tedburne,1,2021-01-13 05:01:12,Pre registration,False,"Hi, thank you for letting us know of your experience when using the pre-registration feature. We apologize for the inconvenience and have escalated your feedback to our team for further investigation.  If you are still needing to pre-register, please contact our Portal Support Team for any needed assistance at (855) 422-6625. Thank you. ",20404508.0,2021-01-14T13:54:34Z
I’ve been trying to pre register for surgery and the pre-registration screen won’t let me click next. The next icon is on top of a phone number so when I click next it tries to dial the number. App needs to be fixed!,Tunafishernie,1,2021-08-12 16:40:39,App doesn’t work,False,,,
"Thanks for making this simple situation to be seen in this hospital and my health information and medicine and all of my health history unable to merge with the other hospitals in the area 

It truly truly is crazy stuff",1959Bearz,2,2021-09-17 01:42:18,stupid stuff,False,"Hi, thank you for your feedback. The  MyHealthONE portal makes available clinical records from across HCA facilities. If there are records missing that should be included, please give us a call at (855) 422-6625 and we'll be happy to assist. Thank you. ",25229738.0,2021-09-21T12:20:53Z
Easy to read my results,Bu&6592,5,2021-10-08 23:25:05,Health one,False,,,
"This app did nothing that it supposed to do. It wasted my time on every button that was available to me. All of them said ‘TRY AGAIN LATER.’
This is a worthless app. Doesn’t do any good for me. If I could rate with no stars that’s what it would be.",Fream69,1,2022-01-03 01:27:52,First and Worst App ever used,False,"Hi, we're sorry to hear of your experience with the app. We'd love the opportunity to assist and ensure you have access to what you're seeking, but will need a bit more information in order to do so. At your convenience, please give us a call at (855) 422-6625. Thank you. ",27232381.0,2022-01-04T13:49:35Z
I’ve have never had so much trouble getting into a health app. My chart by epic is so much better. I get nothing but error messages all the time when trying to use this app to obtain any information.,tracelement21,1,2022-02-07 02:39:17,Worse health care app available,False,,,
Excellent maneuvering through the app. How do I forward to individual?,Ginetteasselin,5,2022-03-15 22:04:37,Review,False,,,
Great app so far!  Hoping it keeps getting better,rokeefe816,5,2022-01-01 22:46:52,App is great!,False,,,
I filled out ALL of the pages of information for the patient pre-registration snd then when I hit submit it gave me an error message so now I have to fill all that information over again on my desktop. Thanks a lot,spetrounov,1,2021-01-22 15:58:45,Crap,False,,,
For the last few weeks the reports are constantly unavailable I have downloaded this app and unloaded it and also put it on my computer and I can’t get the things I need,lala75702,1,2021-11-29 03:56:43,Reports,False,"Thank you for taking the time to provide feedback. We are sorry that not all features of the portal are currently available. For access to a particular record, please call the Medical Records department of the hospital you visited. If you need help finding the phone number, feel free to call our Portal Support Team at (855) 422-6625. Thank you.",26560413.0,2021-11-30T13:30:44Z
"The app
Needs a lot of work. I’m typing right now and can’t even see the the fon. Also app saves your cc info but you can’t even make a payment without having to add the same card again.",Jennieh224,1,2021-01-07 15:34:15,App needs work!!,False,"Hi, thank you for sharing your experience with us. We value your feedback and have escalated the comments to our team. If we can provide any further assistance, please contact us at (855) 422-6625. Thank you. ",20405176.0,2021-01-14T14:22:45Z
"I have 3 notifications but can’t check them. I get signed on enter  my password, then confirmation text then says unable to do something been doing it for a bit. Thank you",Jamiecmontes,1,2020-12-07 13:50:47,3 notifications,False,"Hi, thank you for your feedback. We're sorry to hear you're unable to access your notifications. Our Support Team is available and happy to assist. Please contact us at 
(855) 422-6625. Thank you. ",19839297.0,2020-12-17T22:38:50Z
"Accessing records is adequate, but no mechanism to save records to mobile device, nor to share to personal doctor.",cogrndma,4,2022-03-28 18:36:03,Medical records share to Dr.,False,,,
I have been trying to pay my $11 bill for two months. The stupid app won’t let me use my credit card—it keeps crashing. This is the worst website I’ve ever used.,CatDocMomWife,1,2020-11-10 20:01:48,Can’t Pay My Bill,False,"Hi, thank you for your feedback. We're sorry to hear of your difficulties when trying to pay a bill. Our Portal Support Team is available and would be happy to assist. At your convenience, please contact us at (855) 422-6625. Thank you.",19140837.0,2020-11-16T14:44:47Z
"If all you want to do is review your visit and maybe find a phone number, it serves.  Trying to get records forwarded or find/pay your bill, it is horrid. Whomever programmed it has never actually used it.",Fred4Ever2,1,2022-01-31 19:26:21,Semi-functional,False,,,
time ever using this system and it’s great,moclay4,5,2021-05-09 03:11:01,Moclay4,False,,,
I have tried several times today to preregister for a CT and surgery. I am still not registered. I give up.,Wifemazz,3,2021-07-09 18:05:40,System Error,False,"Hi, we're very sorry to hear of your troubles when trying to pre-register. If still needing to, please give us a call and we'll be happy to assist and ensure you can complete your registration. Our number is (855) 422- 6625. Thank you. ",23880881.0,2021-07-12T11:57:31Z
You cannot figure out where and when medication was given to you while in hospital. Cannot pull up records. Medication list is wrong! I hate this site.,makeaguess,1,2020-10-09 13:18:56,Nothing but problems,False,"Hi, thank you for sharing your experience with us. To better support you, we'll need to learn a few more details about what you're seeing inside the app and/or website. Please contact us at (855) 422 - 6625 and our Portal Support Team will be happy to assist. Thank you. ",18671533.0,2020-10-23T20:22:08Z
"You literally cannot do a single thing with this app except sign in.  

Once you sign in for the first time, the very first thing it asks you to do next, is choose a preferred hospital

However, when you make your selection and press continue, it does nothing. You literally cannot do a single thing further in the app. 

If it’s not worth your time to test your own software, it’s not worth my time to use it.",mrjasonmorris,1,2020-07-03 16:23:44,Unusable,False,"Hi, thank you for reaching out. We're sorry to hear the app froze after selecting your preferred facility. A fix has since been deployed that corrects this issue. If you can, please try accessing the app again. If you have any additional need for support, please contact our Portal Support team at 855-422-6625.",16514667.0,2020-07-09T15:41:25Z
I have been trying all morning to finish filling out the e-documents…only to get to the end of the process for the app and website to say bad URL,Summoeofyobidness,1,2021-09-12 12:21:49,App and website crash,False,"Hi, we're sorry to hear that you've had trouble completing your online registration. Currently, the system will time out if forms are not completed within 15 minutes. We understand this is not a pleasant user experience and a new update is being released within the month to allow you to save and continue as you work through the forms. This should eliminate the issue you've experienced, but for now please accept our apologies for the inconvenience. If you find you need assistance with completing your registration, please reach out at (855) 422-6625. Thank you. ",25094306.0,2021-09-14T12:36:08Z
Every single month I attempt to pay my bill through this application. Every single month there is a “system error.” Fed up is an understatement!,nikkipurser,1,2021-03-26 00:13:14,This App is a joke,False,"Hi, thank you for your feedback. We're sorry to hear you've experienced trouble when trying to utilize the bill pay feature. We take user feedback seriously and your comments have been shared with our team for further investigation. If you are continuing to experience issues and are needing to make a payment, you may contact us at (855) 422-6625 and we'll be happy to assist. Thank you. ",21934199.0,2021-03-29T20:16:59Z
"Tries to use FACE ID and then says session expired, and keeps looping these steps.",Lenox Village,5,2020-06-27 21:34:39,Stuck in Logon loop,False,"Hi, thank you for your feedback. Our team is actively working on a fix that will correct this, which should be updated very soon. If you continue to experience this loop when trying to log in, please force close and reopen the app. You should then be able to complete the login process. If you find you need additional support, we'd love to help. Please feel free to contact our Portal Support Team at 855-422-6625. ",16290563.0,2020-06-29T15:23:53Z
They sent me a text message tell me I had lab results available I loaded this app to get to it can’t find it anywhere on the app so just wondering where my test results are?,ddy56,1,2021-03-16 15:26:26,Lab results,False,"Hi, we're sorry to hear you've had trouble accessing your lab results. Results can be located under Health Records, both within the app or via desktop. If your results are still not visible for any reason, please contact us at (855) 422-6625 and we'll be happy to assist. Thank you. ",21756300.0,2021-03-19T12:48:46Z
Can’t pay off one bill if you have multiple bills. Need an “Other” for another payment amount.,5500M,1,2022-04-01 02:00:57,Payments,False,,,
This is a poorly designed app and needs work to help with user interaction and navigating the app. I am surprised that such a large health care corporation would accept this as their app.,very low quality app,1,2020-12-11 20:47:03,Terrible user interface,False,,,
"There is no appointment on this app. You send tons of email reminders the appointment date, but there is no time and location. The app doesn’t has any information about upcoming appointment.",Balehan,1,2021-04-17 00:19:33,Appointment,False,"Hi, thank you for your feedback. You are correct that you will not see upcoming appointments inside of the mobile app today. However, please know we are always working to enhance and improve upon helpful features and take comments like yours seriously. In the meantime, you may utilize the app (and website) to view available clinical data following your appointments or procedures. If we can assist with anything else, please contact us at (855) 422-6625. Thank you. ",22352860.0,2021-04-20T12:45:57Z
It was a great experience to work with your representatives,carriecarrots,5,2020-07-21 17:39:04,Great,False,,,
"My health records and reports have not been available
for the last four days.   I have been trying to review them
concerning a recent visit.   It is very frustrating!!!!",Linmuse,1,2021-11-14 04:35:19,Health Records,False,"Thank you for taking the time to provide feedback. We are sorry that not all features of the portal are currently available. For access to a particular record, please call the Medical Records department of the hospital you visited. If you need help finding the phone number, feel free to call our Portal Support Team at (855) 422-6625. Thank you.",26301094.0,2021-11-16T13:23:59Z
I really do want to pay my bill!  I log in — correctly! — and your system says it doesn’t recognize me.  I know that I’m me.  Fix your system.,frustrated-tom,1,2021-06-12 20:06:39,Frustrating…,False,"Hi, thank you for your feedback. We're sorry to hear you're having trouble logging in when trying to pay a bill. At your convenience, please give us a call at (855) 422-6625 and we'll be happy to assist. Thank you. ",23375259.0,2021-06-14T15:22:50Z
Very easy to use,timbo4635,5,2021-06-28 18:16:24,Easy,False,,,
"After I fill out 20 mins lot of info twice, in the end told me it can’t be processing. Let me try again and again…..",Yvonne0829,1,2021-09-20 15:51:20,Pre register Can’t be processing,False,"Hi, we're sorry to hear that you've had trouble completing your online registration. Currently, the system will time out if forms are not completed within 15 minutes. We understand this is not a pleasant user experience and a new update is being released within the month to allow you to save and continue as you work through the forms. This should eliminate the issue you've experienced, but for now please accept our apologies for the inconvenience. If you find you need assistance with completing your registration, please reach out at (855) 422-6625. Thank you.",25253168.0,2021-09-22T12:46:03Z
They are very nice people,Babygirl#86,5,2022-04-05 08:59:27,We,False,,,
I loaded all my info and it said it couldn’t process.  Then it deleted all the info I had added.,nforlenza,1,2021-10-02 20:02:16,Terrible website,False,,,
I need to forward my records onto my auto insurance company. App states able to “share” records but then doesn’t allow it.,kbshaw44,1,2022-03-08 21:32:35,App not helpful,False,,,
"Site keeps saying try back, records not currently available.
This site works about 25% of the time.",kl$j,1,2022-02-23 18:32:06,Records not available,False,,,
Confusing and hard to understand linkage of parts,prefer My Chart,2,2021-11-29 21:10:09,"Healow, etc",False,,,
I have been waiting on update on my test results for three days,Ajet08,1,2021-10-25 16:19:04,No information,False,"Hi, we're sorry to hear you're not seeing expected results. Test results should be available as soon as they're signed off by your physician. If you believe they should be available to view now, please feel free to give us a call at (855) 422-6625 and we'll be happy to assist. Thank you. ",25926752.0,2021-10-27T12:45:34Z
This app is easy and amazing,GGREQUEJO74,5,2022-01-08 03:34:55,My healthone app,False,,,
"You can’t forward, share or email files to anyone.  I need to forward files and info to my work.   
  This stinks",anahaib,1,2021-05-17 19:45:53,Records,False,"Hi, thank you for your feedback. There is the ability to share your records via the My Documents feature within the app. You can download your files or email them directly. If you'd like assistance, please give us a call at (855) 422-6625. Thank you. ",22896244.0,2021-05-19T12:36:40Z
Hard to filter needed information,nurse1964,1,2021-02-04 14:38:14,Not user friendly,False,,,
Keeps telling me nothing is available and to call someone about it. What a waste!,kmcgrath1488,1,2022-03-21 18:14:53,Records not available?,False,,,
Don’t waste your time on this app it is worthless and doesn’t work. Good luck getting help with customer service it is non exsistant,RomanGoddess1992,1,2021-02-20 16:09:31,Worst app,False,"Hi, thank you for your feedback. We're sorry to hear your experience was not a positive one.  We'd like to speak with you to better understand the problem you encountered. At your convenience, please call us at (855) 422-6625. Thank you. ",21239609.0,2021-02-23T13:22:57Z
