,title,isEdited,rating,userName,content,date
10,Good but messaging needs improvement,False,4,GP-1970,"good but messaging needs improvement. this app is a well done application that provides good medical record keeping and communication between patient and doctors.   the one issue that is a problem for this application is the messaging. when constructing a message addressed to a doctor, many times an error appears when attempting to send a message, “only valid characters are allowed (a-z, a-z, 0-9), including all special characters“. yet the message does not include any invalid characters or even special characters beyond “)” and “(“ according to the error message.  to work around this error, i have to construct my message in the ios “note” app and then copy/paste the message to the healow app. this is very inconvenient. but i still use this application to communicate with my doctors.",2022-04-11 16:37:37
11,App is not accessible to blind users,False,1,labishop123,"app is not accessible to blind users. i rely on voiceover, a screen reader on apple iphones to use my phone and apps that i download onto it. furthermore, i rely on my doctors health applications so that i can independently review my health information and make informed decisions in my healthcare. with this app, i am having problems accessing my health information, the app refreshes while i am trying to navigate using voice over gestures, and i cannot utilize the messaging feature. in many situations, it has taken me over 30 or 45 minutes to read important information such as my lab results and vitals. it should normally take about 10 or so minutes to do this. i respectfully ask that you make the changes necessary for this application to be compatible with voiceover, as this electronic application is one of the only ways that blind people can independently access their health records.  i thank you for your time and consideration reading this review.",2022-03-24 13:42:32
12,Needs improvement.,False,3,MMMM1011,"needs improvement. i do like the app,but there are improvement that need to be made. for example one of the my most used feature is the messaging. most of the time it’s easier than making a phone call however i can’t see the message until 2 hours after it was sent even if i check the app constantly. if my doctor sent me a message at 3 o’clock i won’t be in my inbox until 5 which is a frustrating inconvenience. it would also be helpful if i could get a notification when i get a message as well.  the telahealth visit through the app is hit or miss and my doctor and i often have to do it another way. if the developers take one thing from this review to fix please fix the messaging lag.",2020-07-30 21:50:25
13,Useless!,False,1,BallisticsGirl,"useless! i use this app for my neurologist. out of all the specialist i see, it’s one of the two most important! i haven’t been able to get an email response from my doctor’s office since 2017 via the app!  what you see on the app: - some of your records.      -you cannot open your lab results, or anything like that though.  - maybe half of your medications that you take from other doctors.  - appointments (this feature i’ve never had trouble with).  - as i mentioned that it’s been two years since i’ve received an email from my doctors office via the app or even to my personal email... i can’t tell if the office is even getting the emails from the program, or if the new mas are even aware of the program! (this makes me miss the people that left office.) or to be honest if my doctor is even aware of the program!  my pharmacy gets notes from my doctor to give to me about seeing him immediately, yet his front desk balks at that notion, so when i try to contact my doctor via the app to let him know... there’s always radio silence.   then to make things worse, you cannot reply to an email thread. it has to be a new email. therefore, no one can keep track of vital information such as seizures or anything of the like!   i wish my office would switch to a more efficient program, or that healow would fix their glitches for the sake of doctors and patients alike.",2019-08-19 15:11:49
14,It’s a useful app when it wants to work,False,2,garbagesquid,"it’s a useful app when it wants to work. i like being able to connect to my doctor without needing to cal and monitor my lab results and medications on here but the app itself is extremely buggy. right now i can’t even log in using my pin, it’ll take me to the home screen and then immediately back to the pin lock screen. after entering my pin again, it’ll tell me an error has occurred.   not only that but messages never load properly, and you cant reply outright to any messages, you have to go in and create a brand new message to send out. the hit points of each button aren’t properly placed so you have to make sure you hit dead center (sometimes not even dead center) in order to click on certain names or access files. this is lack of basic design knowledge.   overall the functionality and the ui design of this app fails in a lot of ways and i feel the only reason why this app even still exists is because it’s a necessity for patients like me to use. that’s not a good business practice at all. you’re doing less than the bare minimum of whats required to have a functional app. whatever bugs you may have fixed generally end up causing more problems.   please hire a team that knows how to integrate functionality into design.",2021-09-23 17:00:48
15,Heading in right direction,False,4,aprilpatt,"heading in right direction. this app has a lot of excellent features, and i especially appreciate the efficiency of communication it allows between me and my children’s pediatrician. i have been using this app for several years now, and the main thing i‘d ask you to improve is the messaging. parents/patients need the ability to reply, and to also see the original sent message. it’s really frustrating to have to completely start over a message each time a response is needed, and to not even be able to refer back to the original/other follow-up messages. ... other than that, the app’s features are really great. love the access to all records, lab reports, health logs, visit summaries, etc. ux is intuitive and simple.",2020-07-06 13:33:56
16,Messaging system is awful,False,1,Tuireann,"messaging system is awful. the app in general feels clunky to use. but the main issue i have is that the messaging system is difficult to keep track of. as far as i can tell, there's no way to see messages you've sent to your providers. similarly, you cannot reply to messages you receive from your providers. the end result is that i can never remind myself what i've already sent to my provider and when, and in every new message response to my providers i have to explicitly reference the context that i'm messaging them about.  simply adding an outbox, and the ability to reply and create essentially ""email threads"" would massively improve this glaring issue. this style of messaging has been around for ages because it works well for most cases. it'd not groundbreaking. that it's not already a basic feature of the application despite it being the year 2022 is absolutely baffling.",2022-04-26 16:08:21
17,Poor interface,False,1,MidCityJB,"poor interface. dealing with medical appointments and test results can be stressful. the healow app test results section looks like someone typed it on an old-school keyboard. unless you are very familiar with medical terms, it is not intuitive. other major providers in my city use the mychart app where in contrast the user interface is a breeze to navigate and visually appealing test results which makes it easy to understand your results. i.e. easy to understand if there is reason to be concerned. the healow app is slow to respond whether you are on wi-fi or the network. when you get notifications via email, the information isn’t in the message on the app. it often says “oops”. sad that a wealthy institution like tulane university in new orleans would use such a poor application. when i expressed my frustration with navigation within the app, staff at the clinic laughed and said “no one uses that app, just email us.”",2021-03-03 03:39:56
18,"The best app, for the very best Doctor.",False,5,LoganRexLoveless,"the best app, for the very best doctor. i’ve seen my doctor going on over 10 year.   the problems i have were so huge that it would overwhelm most doctors, not this doctor. he saved my life and i’ll always be happy and respect him, not only him as as a person, but i’ll always trust and respect his treatment and medication plans. not only has the treatment he has given me works l, but i’m no longer the sick and dying person that i was going to be. this app shows all the meds i’m on, it shows so many things that makes me feel like my doctor is always an app away. so thank you, healow, for letting me write this to show just a little of how i feel about my doctor and this app.         thanks again,      steven s.",2018-06-23 01:00:23
19,"Good idea, poor execution",False,1,Zvi Aranoff,"good idea, poor execution. i have this app on my phone because it’s used by my daughter’s pediatricians office. in theory, i could see on it appointments, medical information, communicate with the pediatrician, etc. in reality, however, i find this app to be completely useless. either the problem is with the app itself, or with how it’s linked to my doctor’s website. either way, messages don’t open up, i don’t see appointments, i can get records, etc. basically, it doesn’t do anything it purports to do. for example, i can see on the app that my doctor replied to me, but the messages don’t open up. or they take so long to open, that i get frustrated and just log on directly to my doctor’s website and read it there. as a result, i don’t actually use this app. i check it once in a while, to see if anything changed after an update, but i end up resorting directly to the doctor’s website.",2018-02-08 12:41:23
20,Great concept but hard to use and sometimes dysfunctional,False,3,StealthyKhajiit,"great concept but hard to use and sometimes dysfunctional. i rely on this app to communicate with my doctors quick and effectively and it’s really nice, although sometimes i won’t be able to read emails from my doctor, as it cuts them off and the message won’t expand. when that happens i have to try to copy it and paste it in my notes app to read it.  also, when you try to compose a message and you back out of it, it completely deletes everything and you have to start over. a drafts option would be nice. i do really think that this app could become better with some work and it has potential, but for now i’ll deal with the bugs and irritable occurrences since i need the app lol",2021-02-03 02:06:35
21,No Apple Health Intergration,False,1,Mattl121212,"no apple health intergration. really think this app needs to interface with apple health.  the nature of this app is a digital link to one’s medical providers.  why not connect with ios’s central repository of health information?  no better way to share health data measured outside the office with one’s doctor, and to push vitals from official medical appointments / tests back to apple health.  imo this needs to be integrated to be a great ios app.  less critical, but i would also challenge the dev team to find creative ways to encourage medical offices to use the full features of the healow system; mainly the entering of vitals and test results into the system.  my pc doctors office seems to only use healow for appointments as of now, and i have a feeling others are doing the same.  suggestion above of sharing data with med office from apple health may encourage them to do the same on their end.",2021-02-11 14:41:36
22,Worthless,False,1,7arheel88,"worthless. this app is a waste of time and effort. i can access my information by logging directly into the healow website, but the app has no data. i can log into the app, but there is nothing there... no appointments, no lab results, no messages, nothing. i can see all of this information on the web so i know it should be there. support has been unhelpful. they send emails apologizing and asking me for details about my problem. i tell them the problem over and over and over again. their only answer is to uninstall and reinstall, which i have done 3 times. still, the same problem of no data in the app. last email, they want me to ask my doctor’s office to open a case with them. what?  are you kidding me?  if you can’t solve this problem with one support ticket, how does a second support ticket solve anything. don’t waste your time. the app does not work",2019-04-24 00:26:25
23,Awesome app for those that live long distances from your Dr.,False,4,troyalee,"awesome app for those that live long distances from your dr. i have had pleasure of using the app since it’s inception. just the ability to request prescription refills alone is very accommodating. having your clinical i.e, blood work results at you fingertip, doctors comments and suggestions on improving your healthy life imbalances. doctor patient communication is enhanced allowing doctors to address patients current and possibly additional concerns or issues that he or she may get answers from dr on the portal. access to : heath and prescription records, labs , schedule office visits, get referrals, etc...  i live 4.5 hours away. great time saving , informative app.. believe me not too many medical centers are progressive in their patient come first approach",2018-11-14 04:27:10
24,Shocked how helpful it is!!,False,5,Supernatural witch,"shocked how helpful it is!! i’ve only used this for about 3 mths. i have a ton of scripts due to nerve damage, high blood pressure and now liver issues because of the long term medications that i need. i never remember when i’ve made my next app & i always lose the cards. this has everything in one place. finally!!! plus my doctor’s office is able to answer day to day questions, refill non-narcotic medication and i am able to find out about past visits all together. i have a lot of health issues so i find this very helpful. if you are the same or have an elderly parent/family member this will make life so easy. only 4 ⭐️ because i haven’t figured it all out.",2017-09-26 03:04:56
25,No point to have app,False,1,Joker Loco 562,no point to have app. can’t communicate with the doctor. can’t reschedule appointment can’t message or see anything. this app is pointless. the doctors office is now closed on fridays. never notified of this can’t reschedule an appointment within 24 hours to avoid extra fees even though i’m trying 4 days in advance. even the app can’t reschedule for you. the only thing you can see on this app is that you have an appointment scheduled. any other things it claims to have as a feature it doesn’t. even messages from the provider are blank. the developer of this app needs to lay off the drugs a bit to make a working app. since the last time there was a issue they claimed to work on it. after the update all they did was delete more features. this is stupid. lay off the crack ok. get your head straight or just delete the app entirely.,2022-01-21 20:32:41
26,Absolutely awesome,False,5,Deafie_b,"absolutely awesome. i like having this option to tell my doctor something that is on my mind that i might forget by the time i go for my appointment.  sometimes it ends up looking like a chapter of a book, but it saves him time when i am there, bc he knows already and is prepared to take care of the problem. if i had not sent a message, i would be in the exam room longer, taking up some time that should be for another patient. i did have a problem with not being able to send bc of commas, etc.  after telling the receptionist at the office she gave me a phone number and i called, got it taken care of and now have no problem.",2019-02-28 17:21:09
27,Great app,False,5,aflette,"great app. i love healow, i really do. it's a great app, but my only complaint is that when you're sending a message to your doctor/nurse or whoever, it doesn't allow you to use apostrophes. it says ""special characters like ' are not allowed."" is there any way to fix this?? because i type contractions more often than not without thinking and autocorrect fixes it too if you don't put it in, and separating out all the words or taking the apostrophes out is really annoying and takes more time than necessary. i know this is a minor thing but it's super annoying.   but regardless of that it's still a great app that i would recommend to others.",2018-06-19 20:16:09
28,Excellent portability if you have more than one physician,False,5,KS Flatlander,"excellent portability if you have more than one physician. i like having all my lab values available so i can just hand my phone to a new doctor to view any needed lab data directly.  text messaging directly with doctor’s nurse has given me fast direct access you would never match with phone calls.  appointments are easily verified by dates & times if you forget. in addition, appointment reminders can be sent to you as well.  medication records are continuously available for your convenience and easy to update by you and your physician.  this is a concise, easy to use medical program everyone will appreciate.",2018-03-18 11:44:46
29,"Terrible app: Missing functionality, confusing UI, and little active development",False,1,PreppieTechie,"terrible app: missing functionality, confusing ui, and little active development. the user interface is super weird and doesn’t follow any of the best practices for mobile user interfaces. the interface looks like something from the early 2000’s and is a confusing mess. my doctor doesn’t use half of the features (because the doctor’s interface is equally bizarre and confusing) so this app is little more than a messaging portal. even my lab results show up as a message because the doctor’s office can’t figure out how to use this thing. even basic features like apple health integration is missing. need to share your apple watch ecg results? nope. want to share activity? nope. doc wants regular weight check ins? nope. this app is a prime example of why our healthcare system is a mess. health orgs are paying too dollar for this hot mess.",2021-12-02 03:07:53
30,App is not accessible for visually impaired users,False,1,Cindy19691984,"app is not accessible for visually impaired users. this has become the go to app for many of my healthcare providers. and because of that fact, this app needs to become ada compliant. i am a visually impaired client and i use a screen reader, ios voiceover, to navigate all apps. i cannot check my medical records, prescriptions, vital information or do anything with this app. i am also unable to share my medical records amongst my various providers. this is put me in a very precarious situation, healthwise. as previously mentioned, this is the go to app and my providers expect that i am able to provide them information using this app. it’s egregious that this app is not accessible. also, the fact that i was emailed a response stating the fact that the app is not accessible, makes you liable. this app needs to be fixed. it needs to be made accessible.",2021-11-15 20:40:03
31,Lousy app,False,1,PwrTek,"lousy app. my doctor’s office adopted this app. i downloaded it and went through the process of checking in for an upcoming appointment. as part of the checking process, i was asked to verify my current medications. if there were additional medications, there is a place to list them. i noted the additional medications i was taking and clicked to go to the next step. i got a message that indicated i had apparently included a character that was not acceptable. instead of highlighting what the software did not like and giving me a chance to correct it, the software just wiped out all my input. i reentered the info using only alphabetic and numeric characters and spaces and the app did the same thing. it again erased all the info i entered, again with no explanation as to what the app found to be offensive. in today’s world this is pure garbage programing.",2020-11-05 00:55:29
32,Communicating With Your Doctor At Your Fingertips,False,5,Eyecare2020,"communicating with your doctor at your fingertips. this is the first doctor’s office that has  offered this awesome way of communicating with my doctor and staff. healow is user friendly, even for senior citizens. it’s been a breeze. explore the features this awesome app offers and take advantage of this wonderful tool. i can see my test results, contact nurse if we need a doctor’s note,etc.  you can even schedule an appointment through this wonderful app. you have a balance? you can also pay your balance off through this app! i wish all of my doctor’s offices offered healow. love! love! love! healow!!!",2022-04-07 02:43:08
33,Referring Dr Brown,False,5,Tink 1966,"referring dr brown. i was in need of a new doctor asap and found this group of doctors.  i had such nerves about having to find a new family doctor.  i came across the  houston primary care group and was extremely pleased with the staff in byron. i made an appointment and was seen that next day.  i am so pleased with the staff that i’ve worked with.  i was afraid to make the switch, but i am extremely impressed with dr. brown and his staff.  i was made to feel right at home, like i had been with them for years.  from the front desk to henry in the back office.      i would recommend this group and  dr. john brown to anyone who is looking to have a true family practice.",2019-06-17 15:25:17
34,Nice to have my information readily available,False,5,Nicknamedddddddddd,"nice to have my information readily available. i feel bad for the person who can’t get it to work. maybe it has something to do with area of the country??? anyway, it works for me.  i have used many features. i can request an appointment or prescription refill. i can review my lab results. i can see upcoming appointments. that’s about all i need to do.   i have not needed to attach a file to send to my dr, so i can’t help the frustrated person with that. hopefully, the app designers will correct that unfortunate dilemma, because sending info documents to doctor is a necessary and usual task.",2018-12-02 12:51:34
35,Notifications don’t work,False,1,SmilingEyes222,"notifications don’t work. when i’m writing messages back and forth to my doctor over a period of a couple days, it would be nice if the notification feature actually worked. when new messages from my doctor come in, i am not notified in any way unless the app is actually open on my phone and i am looking at it. if i am just using my phone as normal, i do not get any badge, banner, or sound notifications indicating that i have a new message waiting in the app. so really how is that helpful to those of us who use this app regularly with our doctors’ offices? it is really a waste of time to have to keep re-opening the app to check for messages from my doctor (which load very slowly) when i should just be able to receive those push notifications like any other app that i use on a regular basis. please improve this!",2018-12-03 16:31:26
36,Application seems to have never been tested,False,1,UNIXSV,"application seems to have never been tested. first and foremost how this application was allowed to be released when simple system testing of this application would show the many flaws it has. when the company says this is useable application on the ipad i would disagree. for one when initially logging in you cannot rotate the app so you can use a keyboard with it is as a normal event. it seems the company that produced this did not use the patients they were creating this for to help test it. second when trying to make sure you can connect for a telemedicine visit there is no way to test, so you really can’t be sure if you will make your appointment. third, were is the patient data, i sure can’t find mine? medical practices should get their money back for all the help you get from this.",2020-12-01 21:03:37
37,App on my iPhone isn’t compatible with my Apple Watch?,False,1,If everyone cared,"app on my iphone isn’t compatible with my apple watch? i don’t know why the developer wouldn’t list the apple watch as a tracker option. everyone downloading the app on here has an iphone and i would imagine most also have the apple watch. i would like to track my health and share with the doctors but i don’t want to spend money for something else.  the message feature on here is a little frustrating, you can’t reply to your own messages which i’ve wanted to multiple times to clarify what i wrote. would be really great if that was updated.  i also keep getting notifications of new messages in my inbox but there aren’t any there and when i click the notification it brings me to the home page of the app. might just be a bug that will fixed in the next update.",2020-11-21 13:00:37
38,Not user friendly,False,1,The Mrs. Suttle,"not user friendly. for me the biggest and most frustrating issue in this app is it’s messaging feature. besides the fact that you cannot use simple punctuation, like apostrophes, you also cannot reply to your doctors messages. you have to start a whole new message, there is no threading of conversation ability. with a special needs child we sometimes need to go back and forth about things. this helps avoid bringing him into the office where there are sick kids that could pass him germs. a simple cold has almost cost him his life in the past, as he cannot manage the mucus/congestion that comes with one.  seeing records is difficult at best. tests results come in, eventually. but not always in a timely manner.  good luck with the app! i hope they make it better as it could be an invaluable resource. as of now, it’s just a pain.",2018-10-23 20:59:22
39,"hacked? Patient data compromised? Doesn’t work, no support",False,1,Hopula,"hacked? patient data compromised? doesn’t work, no support. i have an existing healow account with my orthopedic hospital (mcbride orthopedic okc). when i try to link into the account on the app or using chrome or firefox on my laptop i get an eclinicalworks error that the request could not be served due to an internal processing error. also my wife has an upcoming appointment at mcbride and they sent her a link to access the portal and that link gives the same error messages. we have tried this on two different windows laptops using chrome and firefox and we have tried it on two different iphones and one ipad. i have tried contacting the tech-support at mcbride hospital and they have no idea why it is not working and say it will be next week before they have an answer. no way to run a railroad!",2021-06-22 03:27:14
40,Sad changes ...,False,3,trying my best to be patient,"sad changes ... so sad dr . lin is no longer w us , but even more sad is that he was very sick and fought hard to be in his clinic to care for all of us ( his patients ) every day ❣️it’s been quite sometime now and the new team is working very hard for all of us ...still it is such a mess !!! getting prescriptions is nuts ... dr . madan and his team really have their hands full —- i am praying for each of them and surely this is gonna get better in every way ... really don’t wanna start at a new office !!! bert and ms karen at the front desk r angels , they always make you feel welcomed and cared for !!! please pray for dr . madan as he gets the kinks worked out ....i know he is trying so hard to accommodate everyone .",2019-08-29 00:04:00
41,App Review,False,5,Billy Albornoz,"app review. this app is absolutely terrific because of the ways that it works and because of all that it has access to. they should really look into making sure that the company that created this kind of app always keeps up to date with the ways that the medical field in general works, so that therefore, no matter if anything at all changes within the industry itself, then all doctors, regardless of the part of the medical field that they’re in will always be able to be up to date with everything as far in advance as possible.",2018-08-21 20:18:05
42,Amazing app.,False,5,Tripl3_M,amazing app. as someone who forgets appointments or lose those little cards they give you at the doctors. this is great! i can check in and also confirm my appointment. doctors can even message you with updates. you can even see lab results and even see referrals. when you click off the app logs you out which for confidentiality is amazing!   ***one thing i have noticed recently is that my appointments don’t show so i have to call and make sure i have one. (maybe the app developers can fix that!) other than that i love this app.****,2022-02-16 18:20:16
43,Frustrating and useless,False,1,Minakelly,"frustrating and useless. so apparently i wasn’t registered and unrecognized as a patient by this app even i just see my doctor the day before. so i tried to ask question, no way to do so, looking for a phone number to contact with human being nope. no option for that. went to the app, hey! they do have it! nope it’s not fictional. and still no human option. in the app keep asking me to put pin number, i ask to send them to either my phone or email, nada! yes i check my junk too. checked the app if it up to date, yup it is. this is why i need to work with human, not generated faq. tried to reset, there is no way to reset. it’s so frustrating and terrible. i need my test results that i can’t even get it unless call the dr. office that closed and busy most of the time. 🙄🙄",2022-04-15 09:28:41
44,Way too many issues,False,1,Disability Access Matters,"way too many issues. i just read a review that clearly pointed out a major problem—and it was written two years ago. yet nothing has changed!  you cannot reply directly to provider messages through healow online. it is impossible. error messages come up every single time. the error messages state you’ve used characters that are not allowed—when you have not. you have to copy/paste your provider’s message into a a separate/new message in order to respond. as someone with a brain injury this forces me to spend more time on a screen than i can manage and is a nightmare. it’s completely unacceptable!   moreover, healow mobile used to have a passcode just for the app itself. now it demands i set a passcode for my entire device. i don’t wish to do that. it’s annoying and also unacceptable. you don’t get to dictate how i manage my entire device.  why did you remove the app passcode? not ok.   fix these issues. i cannot believe someone wrote you a clear assessment two years ago and you’ve done nothing.   that does not leave me confident in your managing my health data, at all.   handle these problems.",2022-02-13 09:13:28
45,Lazy Customer Support,False,1,xMidnightArrow,"lazy customer support. got my name legally changed after a divorce, my doctors office changed everything on their end no problem. the healow app customer support refuses to change my name in their system and claims that it’s a glitch and there’s simply “no way” to change my name once my account was set up. they also couldn’t create me a new account and link it to my doctors portal once my account had already been linked. i went back and forth with the guy for weeks, and all he was willing to do was close the support ticket marking it as “resolved”. people change their names all the time, so much so that it’s in the faqs for most online accounts and such. i just simply cannot believe that it was impossible to resolve this issue, it was just laziness.",2021-01-20 23:01:17
46,"Below Garbage, completely and utterly USELESS!",False,1,TomThousand,"below garbage, completely and utterly useless! will not correctly parse a password and let you login, even when you go to the website and reset it, even when you reset from the app, even when you say your prayers.  no way to access mobile app, no way to get help, no way to do anything except waste time and become frustrated.  my cardiologist could document the change in my ekg (my blood pressure distinctly ‘rose’) after trying to make this piece of junk work and i have over 30 years in the computer science field.  even if the apple app rating system supported negative 64 bit ratings (that’s right, below zero stars), i still couldn’t rate this laughable excuse of software lowly enough.  it’s a complete joke.  do not waste your time!!  you have better things to do!  like use a pencil!",2019-02-09 11:19:23
