,title,rating,isEdited,content,userName,date,developerBody,developerID,developerModified
10,Undisclosed results and unknown result sources,1,False,"undisclosed results and unknown result sources. you can have a long list of results and not know what they are referencing. perhaps you had 10 different tests (blood, lung aspiration, urinalysis and so on) and each test had tested for protein.  ...the lab results will have 10 different protein results but you won't know what assay each are from. also:  not every test you go in for will populate to your portal. why not?!?  it’s my test, i paid... you better let me have the ability to view. this goes for certain pathology tests, neurological exams, fertility tests (including ultrasounds)and many more!!!!  why do you (mayo clinic) hide results from patients?  why!!!? i’ve updated review down to one star. you’ve had enough time to fix these issues.  one star is generous. notice no developer response to this date because for some reason mayo doesn’t want you to have access to your entire result list and won’t attempt to categorize your test results. this is to control the patient, negligence, or do not care about patient needs. would like to know which of these are/is the reason.",338 479 218,2018-07-29 17:52:30,nan,nan,nan
11,Not as functional as it should be,1,False,"not as functional as it should be. firstly, and most importantly, the notifications don’t work. all i receive is a badge on the app when all the possible notifications are selected (banner, sound, etc). to make matters worse, when you open the app to figure out what the badge notification is for, there isn’t any badge or obvious sign anywhere to let me know where to look for the new or changed information. i have to go through each area to figure it out and today, i couldn’t find anything.   secondly, the “coach chat” and “experiments” functions never work. it always says “we’re sorry, something happened, but we’ll be back soon” then says to check my network connection. believe me, my network connection is fine and as many times as i have attempted to use the function, it wouldn’t have been down every single time considering all my other devices work just fine.   thirdly, you cannot update anything within the app. i even received a message (after searching for what i was notified for) to update my allergies. i went into the allergy section and there is literally no way to update them. i tried long hold, swiping right, swiping left, and looked for a button to edit, but nothing was working. i waited until my appointment to do it there.  i really wish the notification thing would be fixed asap because it causes me the most anxiety that i’m missing something. calling the mayo clinic every time i can’t figure it out is ridiculous.",amknbk,2018-06-07 17:49:22,"Amknbk, sorry the notifications aren’t working well for you.  We know how annoying it is when you expect something to work and it doesn’t.  The badge notifications in the version of the app you’re using are only alerting you to new content available in the Today feed of the app.  In a future build we’ll be enabling badges in the patient tab of the app to alert you to what has changed on your record - we’re not there yet though unfortunately.  So no need to call to figure out if something is changed based on that badge.  

The app doesn’t currently allow updating of medical record content.  We hope to add that in the future.  You can update your allergy information as part of the pre-appointment questionnaires and I suspect that is where that message you received generated from.

For coach chat and experiments - we can help you troubleshoot that - please send us an email with your username and brief description of this issue and we’ll try to help you get this fixed and hopefully improve our app for future versions. Our email is mcmobileapps@mayo.edu.  Thank you.",3930958.0,2018-06-21T20:00:42Z
12,Indispensable,4,False,"indispensable. this app it’s a must-have for anyone going to amati for a complex evaluation involving more than just an appointment or two. the app is updated in real time, reflecting any changes/additions to or deletions from schedule, test results, visit notes. you can also review and pay your bill, send messages and questions to your care team, check in for appointments, and more.  why, then, not five stars? 1) in a couple of cases,, the app required me to go to the web for full information. 2) app tech support and my medical team do not have a common understanding of the app’s capacity to accommodating patient uploads of documents.",JDATL,2020-07-10 22:46:44,nan,nan,nan
13,Alex-echocardiogram,5,False,alex-echocardiogram. she is the only technician that has ever taken the time to explain everything that was going on with my heart. i was diagnosed at age 26 with mitral valve prolapse. i just turned 60 and had been seeing a dr. kent chen in scottsdale. i went in complaining of my heart beating different and it was very irritating. he had an echo done and had me wear a holter for 24 hours. i was told i had arterial fibrillation and he doubled my ditazelem and put me on eliquis twice a day. i asked when he would be seeing me again and he said “oh you’re fine. see you in 6 months.” but i’m not fine. my heart still feels funny. alex showed me the screen and explained the extra beast is on the top  not on the bottom. i am so happy i am here instead!                          lisa collins,Leeses5,2020-08-03 17:51:32,nan,nan,nan
14,Medical staff,5,False,"medical staff. the mayo system in rochester is the best..   i deal with oncology team, lung and several breathing teams.  li may 3019  i was diagnosed in sparta,wi with liver cancer, sent lacrosse, by february 2020 i had part of my liver removed by dr cleary and his team.  they never made me feel frightened.  and if the tumor hadn’t been found by dr baidry in sparta i surely would have died.  during a ct scan for my liver they found a cancerous nodule in my lung which was removed in may 2020.  by dr blackmon.  they also found a cancerous nodule on what was left of my liver and dr schmidt removed it last week.  theses teams are amazingly talented to include dr tracy warsing and her teamm in sparta.  i’m blessed with best doctors and their teams.  i don’t know how long i’ll live but they all made life worthwhile.",bobpegsparta,2020-11-26 02:43:17,nan,nan,nan
15,The Best,5,False,"the best. where to begin? i have yet to find any bugs and that even after its new updated release. if only microsoft devs were this good.  appointments that can be reliably added to your calendar directly from the app,  procedure descriptions along with instructions and notifications, the ability to directly message members of your care team, lab findings, health reports, etc., etc.  i only wish other apps worked like this. as a mayo patient i strongly recommend downloading this app as it can really make life so much easier in a world where us patients have so much else to worry about. after all, you have the mayo clinic to stand behind it and as they say, the needs of the patient come first - and it shows! highly recommended.",Snook37448,2018-04-20 03:06:12,nan,nan,nan
16,"Convenient, but bill pay rarely works properly",2,False,"convenient, but bill pay rarely works properly. this app is extremely convenient. in many cases it is required to have, as i have many appointments that get scheduled with absolutely no notification from mayo. luckily i pay attention to this app when i’m expecting a call to schedule an appointment, because it’s the only way i’d know.  the web version of mayo’s patient portal does not work with anything except internet explorer, so the app is convenient for bill pay, when it works. the majority of the time the screen tries to zoom in and the user loses any action buttons that might appear. when i can get to the point of entering my information, there is no continue/submit payment button. it is extremely frustrating when most people don’t use ie now days, so the app is the only way to make a payment without having to call.",Misc User C,2018-08-31 22:32:09,nan,nan,nan
17,Peace of mind,5,False,"peace of mind. my dad recently visited mayo clinic and with family and work responsibilities, it was going to be too difficult for me to join him. i was able to use the app to get all of the information i needed, very detailed information and communicate with the drs and staff. it provided such peace of mind to know that i was getting all of the information i would have gotten if i had been there, without having to leave my family. not only the app but all of the drs and staff at mayo clinic get a 5 star review from myself and my family!!! thank you mayo clinic for all that you do!",m_draper,2022-01-19 03:38:32,nan,nan,nan
18,Good functionality but major flaws exist,3,False,"good functionality but major flaws exist. this app is loaded with good functionality, but there are big flaws where it matters most. my main issue is around notifications. i have enabled push notifications for appointments both in the app and via ios settings; however, i never receive notifications regarding my appointments. no upcoming appointment reminders, no notifications of appointments being scheduled, etc.. it has caused me to miss appointments i was never knew were scheduled for me. i do receive notifications for test results and for bills... but not for appointments, so i feel this issue likely resides in the application.",grab some za brah,2020-10-20 16:03:34,nan,nan,nan
19,Help,2,False,"help. too much fluff has been added to the app in which in most cases, has nothing to do with an individual’s own personal healthcare. to make matters worse, alerts to the app are received without any indication as to what the alert was for once inside the app. did your medical records just get updated, a new message to you chart get added, or was a non-health related recipe just added? i think the patient portal should remain exactly that. if mayo wants to put recipes out that pertains to the general public, then a new app should be made exclusively for that purpose and the patient portal should be enhanced for the individual patient. as a patient on the heart transplant list, receiving unnecessary alerts that do not pertain to my own personal records are not desirable to receive.",MeteorologistWannaBe,2018-06-10 02:43:53,"MeteorologistWannaBe, we’re sorry that you were disappointed!  We know how annoying it is when you expect something to work a certain way and it doesn’t.  We’ll be adding patient specific notifications about what’s changed in your record in a future release.  In the meantime - feel free to turn off the content notifications by going to Profile > Settings > Notifications and then switching off the content notifications.  That will stop you from getting notifications about healthy recipes or the other content in our Today feed.  It's always great to get feedback from our patients - feel free to to send us a note directly next time you have feedback or a suggestion for improvement.  Our email is mcmobileapps@mayo.edu.  Thank you.",3930881.0,2018-06-21T19:46:00Z
20,Draft copy of notes to staffBer,4,False,"draft copy of notes to staffber. when i write a note to my doctor or a nurse or whoever, if i get 1/2 way thru writing and have to look at something outside of my note then return to complete this same note, the 1/2 that i completed is gone. would be really nice to have it saved for a reasonable period of time to finish it. perhaps after a few days it would be deleted with that statement posted there as such. i re-wrote a note 4times s i had to reference other notes several times the other nite and it was very frustrating. thank you for considering.",Social Coordinator,2020-06-06 05:10:56,nan,nan,nan
21,8.0 update issue,5,False,"8.0 update issue. hi, just did latest release and it stripped my app of my daughters account and won’t let me even request to add her back in! i’m sure the updates were great but for now i wouldn’t know. highly recommend a quick fix so that doesn’t happen to everyone who does the update. also your appstore link for app support goes to mayo homepage, not very helpful :( another phone call to make tomorrow to fix the “fix”!  app has always been awesome, rated high i just wanted to share the 8.0 feedback",Rodgers>favre,2021-08-20 04:08:37,nan,nan,nan
22,Small but significant complaint,4,False,"small but significant complaint. i use the mayo app all the time to access my medical info as well as my children’s, and to communicate with our doctors.  when there is a badge count indicating a new message, lab result, bill, etc, it is hard to tell what category the new information is in, and on which family members account.  i have to check each area to see if it is updated.  what if you had a small dot indicating the account the update(s) was in, and then another small dot in that account indicating which category had new information?",Naranjadia,2018-06-23 04:18:15,"Naranjadia, sorry the notifications aren’t working well for you.  We know how annoying it is when you expect something to work and it doesn’t.  The badge notifications in the version of the app you’re using are only alerting you to new content available in the Today feed of the app.  In a future build we’ll be enabling badges in the patient tab of the app to alert you to what has changed on your record - we’re not there yet though unfortunately.",4061850.0,2018-07-02T18:41:25Z
23,Mayo Clinic portal,5,False,"mayo clinic portal. i have never seen anything as amazing as this portal system. every record of every visit and extensive narratives of the appointments from the drs and other providers is available either the same day or the next. you can see the test results as soon as they come in. notifications of new information are sent by email and text message, if you opt in, as soon as it is posted. every hospital and medical provider should use this system!!",duldelaman,2021-07-29 16:23:23,nan,nan,nan
24,Excellent for patients,5,False,"excellent for patients. as a patient, i use this app a lot to communicate with my doctors and care teams. it works well. my appointments pop up and are easy to reference.   problem for developer: just today when i opened the app while my phone was in dark mode, the app lost its white background. that is fine, but you have to make all the font change accordingly so it is legible. specifically, if i go to “messages” the drop down menus are unreadable because the text is black. please fix!",Ashley in MN,2020-06-12 15:11:19,nan,nan,nan
25,"I really want to love this app, but....",3,False,"i really want to love this app, but.... there is no way to set up notifications for when i get a message from one of my doctors. this is pretty important for me, and i just missed an important message when i happened to log in today.   i realize that billing takes time and can change with insurance and all that, but nearly every time i log in it shows i have a change to my balance owed, even when it hasn't changed.   otherwise, it's really great to get my lab results quickly and to see a fair amt of information, including notes from past appointments. please fix the message issue though!",marisartintarm,2020-02-10 06:10:13,nan,nan,nan
26,Convenient and User Friendly,4,False,convenient and user friendly. app is filled with good information. live the ability to update calendar on my iphone straight from the app. the ability to see test results performed at mayo along with visit notes from doctors is great. ability to see complete medical history at mayo is useful.   would give 5 stars if i was able to view billing and payments along with being able to group providers together who are part of your treatment plan.,Dannylowoncash,2021-12-13 18:57:12,nan,nan,nan
27,App Bug,5,False,"app bug. when i try to complete pre-check in process, i get the screen that asks to update my profile. when i remove the temporary address from the profile and save it and then go the the bottom to confirm the information is correct, i cannot check the block. the block actually moves when i try to check it. all of the required fields above have been completed. so, my only option is to hit finish later.",Bill0618,2021-12-08 21:00:01,nan,nan,nan
28,Terrible App!,1,False,"terrible app! as a patient at mayo i am encouraged by them to use this app to log into my patient portal. it is terrible - beyond slow to load each link, often even have to start over multiple times. not only that, results of testing do not appear on it for days, even weeks, even though they are available to view on their website within a day. even better, or worse, this is a relatively new app for them. their old one was much more user friendly. ridiculous that an organization this well-funded cannot manage to have a better app developed for them. i wish someone there in charge of this would read all of these  negative reviews and do something about it.",likeyelp,2020-01-15 14:41:00,nan,nan,nan
29,Cannot update INSURANCE through the app,1,False,"cannot update insurance through the app. love the mayo.  hate the app.  requires a call to insurance and billing group monday thru  friday business hours only….   helloooooo it is 2021!    when messaging customer service through the portal insuance and billing questions link, recieved instructions to use the link at the “top of the billing and insurance page”.  there is no such page.  billing amd insurance is a title covering three differnet links billing (no it is not there).  estimates (not there either) and billing and insurnace questions ( where you get told to go to the nonexistent page).    also not in patient profile links.    using search field just sends you back to the same useless links.   not feeling the needs of the patient come first here.",CIO in AZ,2021-08-15 23:27:52,nan,nan,nan
30,You’ve never been in a clinic before,5,False,"you’ve never been in a clinic before. or, should i say that nothing, no place, lab, no hospital, med help nor dr office can prepare one for the environment, people, organization and on time appts at this for the patient facility. you are not a number, a bunch of files or medical records. there is one file. each specialist inputs into that one file to create a team. your team. y o u r team treating all of their one patient... you. when you get home, you pinch yourself,,  “did all that just happen to me the exact way they said it would???”    yep😃",KarenPio,2018-11-12 15:59:41,nan,nan,nan
31,Great but with one missing feature,3,False,great but with one missing feature. this app has a lot fantastic and innovative features not found in apps for other medical institutions. however one of the most features is messaging your physicians and this app does not allow you to receive notifications when you have a new message. there are options to be notified of other not as useful things but it will not notify you when your doctor replies to you. you must manually check the app everyday to see a reply. this is a glaring omission!,sffoodie11,2020-04-16 20:41:52,nan,nan,nan
32,Useful application & great functionality,5,False,"useful application & great functionality. having come from a clinic without this functionality, this has been great! it’s very handy to have all your medical information and appointment information at the tips of your fingers. it’s great being able to interact with my doctor / child’s doctor from my device. the updated application is eye catching. i enjoy the ability to use the search function and daily information.",MayoPatient,2018-04-20 02:24:56,nan,nan,nan
33,Mayo Clinic-Rochester,5,False,"mayo clinic-rochester. this app is awesome. so smooth, and everything is up-to-date. i have just been getting frustrated with the 'contact your care team' option. i know i am here over the new year holiday, but there is something wrong with me, and no one will contact me back. i have sent 2 messages in 1 1/2 days. not sure why this is happening. however, i know if i have an emergency, i'll be in the best available hands anywhere!!! thank you mayo-rochester❤🙏✌️ks",Simpson 1272,2018-09-19 21:01:12,nan,nan,nan
34,Not user friendly at all,1,False,"not user friendly at all. app was much easier to use previously. very difficult to locate and navigate through now, cannot find half of what you are looking for. cannot did care everywhere records, hard to see results, not user friendly in the least unless you are really great with technology which not everyone is! i’m an employee and i’ve taken a lot of flak about this new app from family members who are quite disappointed in it and in me as i cannot help them with it as i don’t get how this is set up either! poor design for our amazing organization!",RosieJan13,2020-07-30 20:21:44,nan,nan,nan
35,For accurate info about your account don't look for it here,1,False,"for accurate info about your account don't look for it here. since mayo's move to a new electronic patient record, this information provided by this app should be taken with a grain of salt - medications have mysteriously vanished, test data is spotty and incomplete (in some places only a few months have gone missing, in others years), some times the app will show a bill is pending even when the account balance is 0.  i should note that i have seen improvement over time (perhaps due to the developers slowly coming to grips with the new patient record), but what improvement there is is slow, really slow.",Ephrem Schwartz,2018-10-24 00:55:09,nan,nan,nan
36,Trash for scheduling C19 Tests,1,False,"trash for scheduling c19 tests. i used the symptom tracker for c19 and was allowed  to schedule a c19 test for the next day, selected to bill insurance and my time and confirmed. i show up and call to check in, they said i am not on their schedule. told me 90% of people that schedule on app it goes away, and now we are to call and go through the nurse to check at symptoms which is what they did months ago, then told us to use the app. i was told i should have gone back in the app to verify the appointment. i don’t have time to check if a app worked made for a multi million dollar company in the year 2021.",ray_ray88,2021-10-28 16:37:42,nan,nan,nan
37,Version 6 issues,2,False,"version 6 issues. after upgrading to version 6 on my iphone 11, i cannot login. “sign in failed. unable to sign in at this time.  please try again.” i attempted to use the reset password link but was unsuccessful. i was able to login to the website and change my password successfully, however i still was unable to use the new password in the app. the new password works in the website and the previous version of the app still installed on a different device.   unfortunately this makes the app useless for my upcoming visit.   please advise.",app-user-rob,2019-11-03 13:47:13,nan,nan,nan
38,Priceless access to medical records,5,False,"priceless access to medical records. i can’t keep track of paper documents for the life of me! this app is priceless in managing my medical records! i love having access to every aspect of my doctor visit, from doctor reports, to follow-up procedures, to lab and diagnostic reports. up until a few days ago i could view my x-rays. they are no longer available in the app, only a radiology report. was the imaging feature removed?",fototravler,2019-04-17 18:45:24,nan,nan,nan
39,Sending a message to provider via the Portal,2,False,"sending a message to provider via the portal. why am i no longer to select the medical provider whom i want to send a private confidential message to???  now it appears all my inquires go to all the providers my son has had in the past.  today, i was messaging his surgical team attempting to answer a post op follow up question.  it appeared that this message went to everyone he's seen in the past for different conditions!  i don't like that.  when i want to send a message to his primary provider, i just want the message to go directly to her and not to the other providers he's seen.",Mom/nurseof8,2019-11-18 15:01:44,nan,nan,nan
40,Good app would like to see...,4,False,good app would like to see... please save previous appointment information in the app for reference- currently is deleted.  notifications do not work when appointments are added or updated. i do not get notifications for new test results.  i get an email when there is a new message but no notifications from the app on my iphone 11.,cityguy40,2020-11-02 18:55:32,nan,nan,nan
41,Recently changes?,3,False,"recently changes? big fan of the app! been using it for years. but recently it just crashes every time i try to pull any info up. even just logging in, crash. test results? crash. notes? crash? and the worst, finding out crucial appointment times! just crashes!! this shouldn’t be happening and i hope they address it soon. it’s very convenient as otherwise i’d have to pull up a browser on my phone to view information.",Meno5524,2022-03-22 16:43:52,nan,nan,nan
42,Like old app better,1,True,"like old app better. i preferred the layout of the old app - which was fine & suited my needs. also there’s no touch access option that i can see and when i tried to send app feedback it said “sorry there’s an issue with sending your message.”  boo.......👎 edit: the touch id feature did not appear after i initially logged in, but after deleting & reinstalling app a couple of times it finally did.  i’ll change my rating to a 3 because i still like the old app better - i like having a portal just for my patient info. the newsfeed & general health info should go on a separate app. it’s too cluttered for me. jmo.",Shabema,2018-04-24 12:05:55,"Sorry you had trouble sending feedback.  Feel free to send us some direct feedback via email at: mcmobileapps@mayo.edu.

Also - TouchID should be enabled after you sign into the app for the first time.",3178207.0,2018-04-24T12:05:55Z
43,Mayo App evaluation,5,False,"mayo app evaluation. i have used the mayo app for 7-8 years.  your questionnaires provide little to no feedback by patients.  i have a plethora of health issues, most caused by my genetic predisposition to develop neuroendocrine tumors.  since my last dermatology consult, i have developed two more squamous cell skin cancers.  i have a cancer in my right kidney, albeit 2.3 cm.  as an men 1 patient, mayo has probably kept me alive.",daddy4_you69,2021-01-21 18:09:40,nan,nan,nan
44,David F Howe,4,False,"david f howe. i had a in-house full sleep study. everyone was great, extremely thorough compared to other sleep study’s i have had in past. the only complaint is the bed itself. i felt like i was back in 1980 in the freshmen college dorm. i believe if a more stable/comfortable bed was available i believe that it could result in a more accurate results. i tossed and turned durning to try and get comfortable. woke with sore back and muscle spasms in my leg.",David F Howe,2018-06-13 20:52:13,"David F Howe, thanks for the kind words about our wonderful staff.  I’ve passed your comments about the dorm-room bed to our patient experience staff.  Thanks again!",3915739.0,2018-06-20T20:29:38Z
45,I miss the old version.,2,False,"i miss the old version. version 4 is much slower than version 3. the previous person was an absolutely excellent app from my perspective. it was very rapid and responsive. especially with the thumbprint login. this new one does not allow me to login with my thumbprint and it takes longer to get to the information i need. i hope this improves with time but, since i recently had a transplant, i need this information now.  attempting to send bug reports within the app and attempting to send an email with in the app fails.",Paul Kleeberg,2018-04-17 22:24:02,TouchID should be enabled after the first time you sign into the app (assuming you don't explicitly sign out of the app).  For help with the slowness issue - if you continue to experience slowness - please feel free to send a direct email to our team at mcmobileapps@mayo.edu,3178282.0,2018-04-18T20:44:40Z
46,Glitch,4,False,"glitch. there is a glitch when i try to access my lab results: the final step during which you click on the results causes the app to freeze and you cannot see your results. this occurs under the “individual results” page that shows you the different dates of testing; for example, under pathology services.",emily24987,2018-11-26 23:58:45,nan,nan,nan
47,Great App!,5,False,"great app! you don’t have to be a patient to use this app. it has so many useful features that are added everyday yet it’s not overwhelming. they have a quote of the day, healthy eating articles, short medicine articles that are written in an easy way to understand without any medical jargon. i spent about 15 min each day browsing through it.",ChileanMan,2018-05-21 20:07:18,ChileanMan - 😎 - thanks!  We’re happy that you’re able to take advantage of the awesome content and useful features.  If you ever have and issue or a suggestion for improvement - drop us a note.  Our email is mcmobileapps@mayo.edu.  Thanks so much.,3931100.0,2018-06-21T20:21:45Z
48,Unstable sign in,3,False,unstable sign in. sign in often non existent or difficult. app may sing in then close quickly closing requiring yet another sign in. this phone is apple 6s with plenty of memory remains updated and clear of clutter running always reliably. as a patient i expect a reliable smooth completely secure app ranking at least 41/2 stars. do your best service for all of us that spend a great amount of money with mayo jax,James Deshazo,2020-04-15 13:51:01,nan,nan,nan
49,Must have app,5,False,must have app. if you are a patient at mayo this app is great at managing appointments. after every appointment your doctor will put everything in writing and you can read it all again when you get home. very helpful because i never remember everything said in the exam room.,1928 Timmy,2018-12-29 01:45:55,nan,nan,nan
50,New changes not great,2,False,"new changes not great. i have been using the app portal to communicate with my doctors and nurses post organ transplant. it was much better before the latest changes. the app just seems to give the patient far less medical information specifically their labs results.  now i just get a lab result figure with no frame of reference as to whether it’s good or bad. used to get result with the expected range from low to high under it, which allowed me to figure out if the number was good or bad",fitguy2012,2018-09-24 17:59:43,nan,nan,nan
51,Help,2,False,help. i have special needs child. this app works perfectly and is a blessing to be able to switch back and forth from her account to mine! i love everything at my fingertips! i rated 2 only because 90 percent of our records have disappeared. please i need to look back to 2016 sometime to see what doctor said about next test. was it 3 years ? 5 years ? it would be amazing to place those reminders in to do,Annettsings,2020-09-23 13:48:28,nan,nan,nan
