,title,rating,isEdited,content,userName,date,developerBody,developerID,developerModified,sentenceNumber,sentence,reviewNumber
10,Navigating the Mayo system,3,False,navigating the mayo system. i love mayo and we have been with it since we lived in minnesota. but once we moved to scottsdale we could not move our primary care doctor here to mayo in that we were over 65. that was a low blow after being with mayo in rochester and having all of our medical care there for years. the other thing i find is that the mayo system is difficult to navigate. until you’re the one doing all of the navigating you don’t realize the difficulty involved. because they do not take medicare you have to pay the bills and never seem to match the payment schedule and so i put an xl spreadsheet together and put took it to the finance department. he told me that it is impossible to use the spreadsheet to figure out pay and even he had difficulty explaining it to me. that being said i still think it’s the finest medical facility in arizona but it certainly is difficult to navigate. on the website i find that if you request a response from the medical team you will get a quick response. i also find they telemedicine more and not being able to meet with doctors. i also find that pas and mps are meeting with you rather than doctors more often. i find them taking extraordinary covid precautions and felt very safe once i got into the facility.,kayaklafy,2020-07-17 16:48:47,nan,nan,nan,5,the other thing i find is that the mayo system is difficult to navigate.,2
11,Navigating the Mayo system,3,False,navigating the mayo system. i love mayo and we have been with it since we lived in minnesota. but once we moved to scottsdale we could not move our primary care doctor here to mayo in that we were over 65. that was a low blow after being with mayo in rochester and having all of our medical care there for years. the other thing i find is that the mayo system is difficult to navigate. until you’re the one doing all of the navigating you don’t realize the difficulty involved. because they do not take medicare you have to pay the bills and never seem to match the payment schedule and so i put an xl spreadsheet together and put took it to the finance department. he told me that it is impossible to use the spreadsheet to figure out pay and even he had difficulty explaining it to me. that being said i still think it’s the finest medical facility in arizona but it certainly is difficult to navigate. on the website i find that if you request a response from the medical team you will get a quick response. i also find they telemedicine more and not being able to meet with doctors. i also find that pas and mps are meeting with you rather than doctors more often. i find them taking extraordinary covid precautions and felt very safe once i got into the facility.,kayaklafy,2020-07-17 16:48:47,nan,nan,nan,6,until you are the one doing all of the navigating you do not realize the difficulty involved.,2
12,Navigating the Mayo system,3,False,navigating the mayo system. i love mayo and we have been with it since we lived in minnesota. but once we moved to scottsdale we could not move our primary care doctor here to mayo in that we were over 65. that was a low blow after being with mayo in rochester and having all of our medical care there for years. the other thing i find is that the mayo system is difficult to navigate. until you’re the one doing all of the navigating you don’t realize the difficulty involved. because they do not take medicare you have to pay the bills and never seem to match the payment schedule and so i put an xl spreadsheet together and put took it to the finance department. he told me that it is impossible to use the spreadsheet to figure out pay and even he had difficulty explaining it to me. that being said i still think it’s the finest medical facility in arizona but it certainly is difficult to navigate. on the website i find that if you request a response from the medical team you will get a quick response. i also find they telemedicine more and not being able to meet with doctors. i also find that pas and mps are meeting with you rather than doctors more often. i find them taking extraordinary covid precautions and felt very safe once i got into the facility.,kayaklafy,2020-07-17 16:48:47,nan,nan,nan,7,because they do not take medicare you have to pay the bills and never seem to match the payment schedule and so i put an xl spreadsheet together and put took it to the finance department.,2
13,Navigating the Mayo system,3,False,navigating the mayo system. i love mayo and we have been with it since we lived in minnesota. but once we moved to scottsdale we could not move our primary care doctor here to mayo in that we were over 65. that was a low blow after being with mayo in rochester and having all of our medical care there for years. the other thing i find is that the mayo system is difficult to navigate. until you’re the one doing all of the navigating you don’t realize the difficulty involved. because they do not take medicare you have to pay the bills and never seem to match the payment schedule and so i put an xl spreadsheet together and put took it to the finance department. he told me that it is impossible to use the spreadsheet to figure out pay and even he had difficulty explaining it to me. that being said i still think it’s the finest medical facility in arizona but it certainly is difficult to navigate. on the website i find that if you request a response from the medical team you will get a quick response. i also find they telemedicine more and not being able to meet with doctors. i also find that pas and mps are meeting with you rather than doctors more often. i find them taking extraordinary covid precautions and felt very safe once i got into the facility.,kayaklafy,2020-07-17 16:48:47,nan,nan,nan,8,he told me that it is impossible to use the spreadsheet to figure out pay and even he had difficulty explaining it to me.,2
14,Navigating the Mayo system,3,False,navigating the mayo system. i love mayo and we have been with it since we lived in minnesota. but once we moved to scottsdale we could not move our primary care doctor here to mayo in that we were over 65. that was a low blow after being with mayo in rochester and having all of our medical care there for years. the other thing i find is that the mayo system is difficult to navigate. until you’re the one doing all of the navigating you don’t realize the difficulty involved. because they do not take medicare you have to pay the bills and never seem to match the payment schedule and so i put an xl spreadsheet together and put took it to the finance department. he told me that it is impossible to use the spreadsheet to figure out pay and even he had difficulty explaining it to me. that being said i still think it’s the finest medical facility in arizona but it certainly is difficult to navigate. on the website i find that if you request a response from the medical team you will get a quick response. i also find they telemedicine more and not being able to meet with doctors. i also find that pas and mps are meeting with you rather than doctors more often. i find them taking extraordinary covid precautions and felt very safe once i got into the facility.,kayaklafy,2020-07-17 16:48:47,nan,nan,nan,9,that being said i still think it has the finest medical facility in arizona,2
15,Navigating the Mayo system,3,False,navigating the mayo system. i love mayo and we have been with it since we lived in minnesota. but once we moved to scottsdale we could not move our primary care doctor here to mayo in that we were over 65. that was a low blow after being with mayo in rochester and having all of our medical care there for years. the other thing i find is that the mayo system is difficult to navigate. until you’re the one doing all of the navigating you don’t realize the difficulty involved. because they do not take medicare you have to pay the bills and never seem to match the payment schedule and so i put an xl spreadsheet together and put took it to the finance department. he told me that it is impossible to use the spreadsheet to figure out pay and even he had difficulty explaining it to me. that being said i still think it’s the finest medical facility in arizona but it certainly is difficult to navigate. on the website i find that if you request a response from the medical team you will get a quick response. i also find they telemedicine more and not being able to meet with doctors. i also find that pas and mps are meeting with you rather than doctors more often. i find them taking extraordinary covid precautions and felt very safe once i got into the facility.,kayaklafy,2020-07-17 16:48:47,nan,nan,nan,10,but it certainly is difficult to navigate.,2
16,Navigating the Mayo system,3,False,navigating the mayo system. i love mayo and we have been with it since we lived in minnesota. but once we moved to scottsdale we could not move our primary care doctor here to mayo in that we were over 65. that was a low blow after being with mayo in rochester and having all of our medical care there for years. the other thing i find is that the mayo system is difficult to navigate. until you’re the one doing all of the navigating you don’t realize the difficulty involved. because they do not take medicare you have to pay the bills and never seem to match the payment schedule and so i put an xl spreadsheet together and put took it to the finance department. he told me that it is impossible to use the spreadsheet to figure out pay and even he had difficulty explaining it to me. that being said i still think it’s the finest medical facility in arizona but it certainly is difficult to navigate. on the website i find that if you request a response from the medical team you will get a quick response. i also find they telemedicine more and not being able to meet with doctors. i also find that pas and mps are meeting with you rather than doctors more often. i find them taking extraordinary covid precautions and felt very safe once i got into the facility.,kayaklafy,2020-07-17 16:48:47,nan,nan,nan,11,on the website i find that if you request a response from the medical team you will get a quick response.,2
17,Navigating the Mayo system,3,False,navigating the mayo system. i love mayo and we have been with it since we lived in minnesota. but once we moved to scottsdale we could not move our primary care doctor here to mayo in that we were over 65. that was a low blow after being with mayo in rochester and having all of our medical care there for years. the other thing i find is that the mayo system is difficult to navigate. until you’re the one doing all of the navigating you don’t realize the difficulty involved. because they do not take medicare you have to pay the bills and never seem to match the payment schedule and so i put an xl spreadsheet together and put took it to the finance department. he told me that it is impossible to use the spreadsheet to figure out pay and even he had difficulty explaining it to me. that being said i still think it’s the finest medical facility in arizona but it certainly is difficult to navigate. on the website i find that if you request a response from the medical team you will get a quick response. i also find they telemedicine more and not being able to meet with doctors. i also find that pas and mps are meeting with you rather than doctors more often. i find them taking extraordinary covid precautions and felt very safe once i got into the facility.,kayaklafy,2020-07-17 16:48:47,nan,nan,nan,12,i also find they telemedicine more and not being able to meet with doctors.,2
18,Navigating the Mayo system,3,False,navigating the mayo system. i love mayo and we have been with it since we lived in minnesota. but once we moved to scottsdale we could not move our primary care doctor here to mayo in that we were over 65. that was a low blow after being with mayo in rochester and having all of our medical care there for years. the other thing i find is that the mayo system is difficult to navigate. until you’re the one doing all of the navigating you don’t realize the difficulty involved. because they do not take medicare you have to pay the bills and never seem to match the payment schedule and so i put an xl spreadsheet together and put took it to the finance department. he told me that it is impossible to use the spreadsheet to figure out pay and even he had difficulty explaining it to me. that being said i still think it’s the finest medical facility in arizona but it certainly is difficult to navigate. on the website i find that if you request a response from the medical team you will get a quick response. i also find they telemedicine more and not being able to meet with doctors. i also find that pas and mps are meeting with you rather than doctors more often. i find them taking extraordinary covid precautions and felt very safe once i got into the facility.,kayaklafy,2020-07-17 16:48:47,nan,nan,nan,13,i also find that pas and maps are meeting with you rather than doctors more often.,2
19,Navigating the Mayo system,3,False,navigating the mayo system. i love mayo and we have been with it since we lived in minnesota. but once we moved to scottsdale we could not move our primary care doctor here to mayo in that we were over 65. that was a low blow after being with mayo in rochester and having all of our medical care there for years. the other thing i find is that the mayo system is difficult to navigate. until you’re the one doing all of the navigating you don’t realize the difficulty involved. because they do not take medicare you have to pay the bills and never seem to match the payment schedule and so i put an xl spreadsheet together and put took it to the finance department. he told me that it is impossible to use the spreadsheet to figure out pay and even he had difficulty explaining it to me. that being said i still think it’s the finest medical facility in arizona but it certainly is difficult to navigate. on the website i find that if you request a response from the medical team you will get a quick response. i also find they telemedicine more and not being able to meet with doctors. i also find that pas and mps are meeting with you rather than doctors more often. i find them taking extraordinary covid precautions and felt very safe once i got into the facility.,kayaklafy,2020-07-17 16:48:47,nan,nan,nan,14,i find them taking extraordinary covid precautions and felt very safe once i got into the facility.,2
20,World’s Best Healthcare,5,False,"world’s best healthcare. we return each year to mayo for our annual physicals, and we always have a nice experience considering the reason we are in rochester. we find the doctors, nurses, and staff so helpful, kind and wonderful in their care for my husband and me. it is the best care one could find! though we spend our winters in scottsdale and knowing there is a mayo’s there, we still favor having the physicals in rochester. through the years we have had other family members needing surgery and mayo was our choice to go and again we were very pleased with the remarkable help from the doctors, nurses and staff we received. our biggest disappointment was finding that my doctor of 15 years is apt to retire next year.  he has been the best and i’ve especially appreciated the wonderful care he has given. he has been so helpful and does his work well and gives us the impression he has all the time in the world for us even though we know it is not true. we were sorry to hear this as he will be greatly missed by us. i have greatly appreciated having him for my doctor.",nana Ava,2020-10-23 16:58:56,nan,nan,nan,1,world's best healthcare.,3
21,World’s Best Healthcare,5,False,"world’s best healthcare. we return each year to mayo for our annual physicals, and we always have a nice experience considering the reason we are in rochester. we find the doctors, nurses, and staff so helpful, kind and wonderful in their care for my husband and me. it is the best care one could find! though we spend our winters in scottsdale and knowing there is a mayo’s there, we still favor having the physicals in rochester. through the years we have had other family members needing surgery and mayo was our choice to go and again we were very pleased with the remarkable help from the doctors, nurses and staff we received. our biggest disappointment was finding that my doctor of 15 years is apt to retire next year.  he has been the best and i’ve especially appreciated the wonderful care he has given. he has been so helpful and does his work well and gives us the impression he has all the time in the world for us even though we know it is not true. we were sorry to hear this as he will be greatly missed by us. i have greatly appreciated having him for my doctor.",nana Ava,2020-10-23 16:58:56,nan,nan,nan,2,"we return each year to mayo for our annual physicals, and we always have a nice experience considering the reason we are in rochester.",3
22,World’s Best Healthcare,5,False,"world’s best healthcare. we return each year to mayo for our annual physicals, and we always have a nice experience considering the reason we are in rochester. we find the doctors, nurses, and staff so helpful, kind and wonderful in their care for my husband and me. it is the best care one could find! though we spend our winters in scottsdale and knowing there is a mayo’s there, we still favor having the physicals in rochester. through the years we have had other family members needing surgery and mayo was our choice to go and again we were very pleased with the remarkable help from the doctors, nurses and staff we received. our biggest disappointment was finding that my doctor of 15 years is apt to retire next year.  he has been the best and i’ve especially appreciated the wonderful care he has given. he has been so helpful and does his work well and gives us the impression he has all the time in the world for us even though we know it is not true. we were sorry to hear this as he will be greatly missed by us. i have greatly appreciated having him for my doctor.",nana Ava,2020-10-23 16:58:56,nan,nan,nan,3,"we find the doctors, nurses, and staff so helpful, kind and wonderful in their care for my husband and me.",3
23,World’s Best Healthcare,5,False,"world’s best healthcare. we return each year to mayo for our annual physicals, and we always have a nice experience considering the reason we are in rochester. we find the doctors, nurses, and staff so helpful, kind and wonderful in their care for my husband and me. it is the best care one could find! though we spend our winters in scottsdale and knowing there is a mayo’s there, we still favor having the physicals in rochester. through the years we have had other family members needing surgery and mayo was our choice to go and again we were very pleased with the remarkable help from the doctors, nurses and staff we received. our biggest disappointment was finding that my doctor of 15 years is apt to retire next year.  he has been the best and i’ve especially appreciated the wonderful care he has given. he has been so helpful and does his work well and gives us the impression he has all the time in the world for us even though we know it is not true. we were sorry to hear this as he will be greatly missed by us. i have greatly appreciated having him for my doctor.",nana Ava,2020-10-23 16:58:56,nan,nan,nan,4,it is the best care one could find!,3
24,World’s Best Healthcare,5,False,"world’s best healthcare. we return each year to mayo for our annual physicals, and we always have a nice experience considering the reason we are in rochester. we find the doctors, nurses, and staff so helpful, kind and wonderful in their care for my husband and me. it is the best care one could find! though we spend our winters in scottsdale and knowing there is a mayo’s there, we still favor having the physicals in rochester. through the years we have had other family members needing surgery and mayo was our choice to go and again we were very pleased with the remarkable help from the doctors, nurses and staff we received. our biggest disappointment was finding that my doctor of 15 years is apt to retire next year.  he has been the best and i’ve especially appreciated the wonderful care he has given. he has been so helpful and does his work well and gives us the impression he has all the time in the world for us even though we know it is not true. we were sorry to hear this as he will be greatly missed by us. i have greatly appreciated having him for my doctor.",nana Ava,2020-10-23 16:58:56,nan,nan,nan,5,"though we spend our winters in scottsdale and knowing there is a mayo's there, we still favor having the physicals in rochester.",3
25,World’s Best Healthcare,5,False,"world’s best healthcare. we return each year to mayo for our annual physicals, and we always have a nice experience considering the reason we are in rochester. we find the doctors, nurses, and staff so helpful, kind and wonderful in their care for my husband and me. it is the best care one could find! though we spend our winters in scottsdale and knowing there is a mayo’s there, we still favor having the physicals in rochester. through the years we have had other family members needing surgery and mayo was our choice to go and again we were very pleased with the remarkable help from the doctors, nurses and staff we received. our biggest disappointment was finding that my doctor of 15 years is apt to retire next year.  he has been the best and i’ve especially appreciated the wonderful care he has given. he has been so helpful and does his work well and gives us the impression he has all the time in the world for us even though we know it is not true. we were sorry to hear this as he will be greatly missed by us. i have greatly appreciated having him for my doctor.",nana Ava,2020-10-23 16:58:56,nan,nan,nan,6,"through the years we have had other family members needing surgery and mayo was our choice to go and again we were very pleased with the remarkable help from the doctors, nurses and staff we received.",3
26,World’s Best Healthcare,5,False,"world’s best healthcare. we return each year to mayo for our annual physicals, and we always have a nice experience considering the reason we are in rochester. we find the doctors, nurses, and staff so helpful, kind and wonderful in their care for my husband and me. it is the best care one could find! though we spend our winters in scottsdale and knowing there is a mayo’s there, we still favor having the physicals in rochester. through the years we have had other family members needing surgery and mayo was our choice to go and again we were very pleased with the remarkable help from the doctors, nurses and staff we received. our biggest disappointment was finding that my doctor of 15 years is apt to retire next year.  he has been the best and i’ve especially appreciated the wonderful care he has given. he has been so helpful and does his work well and gives us the impression he has all the time in the world for us even though we know it is not true. we were sorry to hear this as he will be greatly missed by us. i have greatly appreciated having him for my doctor.",nana Ava,2020-10-23 16:58:56,nan,nan,nan,7,our biggest disappointment was finding that my doctor of 15 years is apt to retire next year.,3
27,World’s Best Healthcare,5,False,"world’s best healthcare. we return each year to mayo for our annual physicals, and we always have a nice experience considering the reason we are in rochester. we find the doctors, nurses, and staff so helpful, kind and wonderful in their care for my husband and me. it is the best care one could find! though we spend our winters in scottsdale and knowing there is a mayo’s there, we still favor having the physicals in rochester. through the years we have had other family members needing surgery and mayo was our choice to go and again we were very pleased with the remarkable help from the doctors, nurses and staff we received. our biggest disappointment was finding that my doctor of 15 years is apt to retire next year.  he has been the best and i’ve especially appreciated the wonderful care he has given. he has been so helpful and does his work well and gives us the impression he has all the time in the world for us even though we know it is not true. we were sorry to hear this as he will be greatly missed by us. i have greatly appreciated having him for my doctor.",nana Ava,2020-10-23 16:58:56,nan,nan,nan,8,he has been the best and it is especially appreciated the wonderful care he has given.,3
28,World’s Best Healthcare,5,False,"world’s best healthcare. we return each year to mayo for our annual physicals, and we always have a nice experience considering the reason we are in rochester. we find the doctors, nurses, and staff so helpful, kind and wonderful in their care for my husband and me. it is the best care one could find! though we spend our winters in scottsdale and knowing there is a mayo’s there, we still favor having the physicals in rochester. through the years we have had other family members needing surgery and mayo was our choice to go and again we were very pleased with the remarkable help from the doctors, nurses and staff we received. our biggest disappointment was finding that my doctor of 15 years is apt to retire next year.  he has been the best and i’ve especially appreciated the wonderful care he has given. he has been so helpful and does his work well and gives us the impression he has all the time in the world for us even though we know it is not true. we were sorry to hear this as he will be greatly missed by us. i have greatly appreciated having him for my doctor.",nana Ava,2020-10-23 16:58:56,nan,nan,nan,9,he has been so helpful and does his work well and gives us the impression he has all the time in the world for us even though we know it is not true.,3
29,World’s Best Healthcare,5,False,"world’s best healthcare. we return each year to mayo for our annual physicals, and we always have a nice experience considering the reason we are in rochester. we find the doctors, nurses, and staff so helpful, kind and wonderful in their care for my husband and me. it is the best care one could find! though we spend our winters in scottsdale and knowing there is a mayo’s there, we still favor having the physicals in rochester. through the years we have had other family members needing surgery and mayo was our choice to go and again we were very pleased with the remarkable help from the doctors, nurses and staff we received. our biggest disappointment was finding that my doctor of 15 years is apt to retire next year.  he has been the best and i’ve especially appreciated the wonderful care he has given. he has been so helpful and does his work well and gives us the impression he has all the time in the world for us even though we know it is not true. we were sorry to hear this as he will be greatly missed by us. i have greatly appreciated having him for my doctor.",nana Ava,2020-10-23 16:58:56,nan,nan,nan,10,we were sorry to hear this as he will be greatly missed by us.,3
30,World’s Best Healthcare,5,False,"world’s best healthcare. we return each year to mayo for our annual physicals, and we always have a nice experience considering the reason we are in rochester. we find the doctors, nurses, and staff so helpful, kind and wonderful in their care for my husband and me. it is the best care one could find! though we spend our winters in scottsdale and knowing there is a mayo’s there, we still favor having the physicals in rochester. through the years we have had other family members needing surgery and mayo was our choice to go and again we were very pleased with the remarkable help from the doctors, nurses and staff we received. our biggest disappointment was finding that my doctor of 15 years is apt to retire next year.  he has been the best and i’ve especially appreciated the wonderful care he has given. he has been so helpful and does his work well and gives us the impression he has all the time in the world for us even though we know it is not true. we were sorry to hear this as he will be greatly missed by us. i have greatly appreciated having him for my doctor.",nana Ava,2020-10-23 16:58:56,nan,nan,nan,11,i have greatly appreciated having him for my doctor.,3
31,Good start but needs work!,2,False,"good start but needs work! sometimes it opens, often it doesn’t. as i am legally blind, it’s hard for me to read the info. in particular, the patient number is written so small i have to give it to others to ask them to read it. (so much for patient confidentiality- i’d rather they just leave it so i can enlarge it. (i need minimum font size 14 to read but normally use 18 to avoid strain- i believe yours is about 8). color change would help as well. i can change my ipad to go white on black nos like this note, but cannot change the app background. these things have caused great issue problems for me including overpayment by me which mayo clinic still has not resolved. if i had been able to read the note, it would have been avoided completely.   set up doesn’t allow for patients to put their own notes - something which would allow better exchange with doctors as things come up between visits, it also (like most medical portals) doesn’t allow for information exchange by the patient with other non-mayo doctors. until doctors demand that portals be able to exchange info, medical treatment in this country will continue to erode. you are in a good position to do so. use the reputation of mayo clinic under the mayo brothers and demand better for your patients!",LadyCharlane,2020-01-15 21:12:25,nan,nan,nan,1,good start but needs work!,4
32,Good start but needs work!,2,False,"good start but needs work! sometimes it opens, often it doesn’t. as i am legally blind, it’s hard for me to read the info. in particular, the patient number is written so small i have to give it to others to ask them to read it. (so much for patient confidentiality- i’d rather they just leave it so i can enlarge it. (i need minimum font size 14 to read but normally use 18 to avoid strain- i believe yours is about 8). color change would help as well. i can change my ipad to go white on black nos like this note, but cannot change the app background. these things have caused great issue problems for me including overpayment by me which mayo clinic still has not resolved. if i had been able to read the note, it would have been avoided completely.   set up doesn’t allow for patients to put their own notes - something which would allow better exchange with doctors as things come up between visits, it also (like most medical portals) doesn’t allow for information exchange by the patient with other non-mayo doctors. until doctors demand that portals be able to exchange info, medical treatment in this country will continue to erode. you are in a good position to do so. use the reputation of mayo clinic under the mayo brothers and demand better for your patients!",LadyCharlane,2020-01-15 21:12:25,nan,nan,nan,2,"sometimes it opens, often it doesn't.",4
