text	factuality
It has been a harsh reality to release that you have to be your own advocate, and that doctors many times don't test for things for those with chronic issues that can't pinpoint exacty what's wrong.	OPINION
I went in to food allergists many years ago that literally wouldn't test me for allergies because they didn't think I had enough ""evidence"" that I was allergic.	EXPERIENCE
For those of us with chronic fatigue and ""vague"" symptoms like stomach aches, migraines, etc....	EXPERIENCE
it's very unlikely that a doctor would order a whole battery of testing to rule out the many many illnesses that could cause these things.	OPINION
So....please....if you are a person that has skin reactions when you wear certain jewelry, or have chronic acne and rash on face from makeup (which contains high amounts of metal), or react when eating food high in metal content (nuts, many veggies, coffe....) then please do yourself a favor and order the Melissa test yourself!	OPINION
A doctor will literally look at you like you're nuts or a hypocondriac if you tell him/her that you think you're allergic to metal.	OPINION
(I told all my doctors when they ask at the beginning of appointments when I'm allergic to that I'm allergic to metal and they literally don't put it in my records...	EXPERIENCE
many say things like ""no...I mean like medications and food...not skin reaction to jewelry.)	FACT
This has been a long road for me and it wasn't until I got all of my medical records for myself and noticed the correlations for myself and ordered the metal allergy test without a doctor willing to order for me, that I was able to confirm the source of all my illness...	EXPERIENCE
So ... even though it's a harsh reality, it seems that especially those with chronic, multiple ailments have to be their own advocate and in my case (and I'm assuming for others) take matters into our own hands after being told by docts that there's nothing wrong and ""it may be just normal for you to be tired""....Sorry for the crazy long post!	OPINION
But I hope these few facts help someone else out there, to shorten their road to recovery because it took me so long to figure this out!	OPINION
Melisa.org has a great section of medical journals that talk about many things in regards to metal allergy.	FACT
Probably the best place for anyone to start...	OPINION
I am definitely glad you spoke up about this.	NOT_LABELED
I do get skin reactions from certain metals.	EXPERIENCE
One in particular was a natural makeup I had started to use which was Bare Essentials.	EXPERIENCE
They advertise it as being completely natural etc. but what was interesting was that I used it and every time I used it I would get very itchy on skin to the point where I couldn't stand it.	EXPERIENCE
Come to find out it has Bismuth in it and there are a lot of makeups out there that do have this.	FACT
http://makeup.lovetoknow.com/Allergy_to_Mineral_Makeup.	NOT_LABELED
As soon as I stopped using it the issue cleared up right away.	EXPERIENCE
And yes we do have to be our own advocates.	OPINION
We have to pay attention to what we ingest and encounter and if it does cause an issue, we need to stay away from it.	OPINION
If only caffeine was easy to stay away from :(	OPINION
This is interesting to me about the mineral make-up.	OPINION
I hadn't thought of this at all, but metals are considered to be minerals.	FACT
I haven't looked up the above link, but what I was thinking of was that a friend used some on me--once.	FACT
I didn't get the severe allergic reactions that people who get rashes from metals would probably get, but I did get a bit itchy.	EXPERIENCE
The thing is, I can wear the cheap costume jewelry metals, like the metal watchband that I have that I know my cousins with metal allergies can't wear.	EXPERIENCE
But, the cheap ear wires and other costume jewelry metals do bother my ears a little.	EXPERIENCE
So, I do switch out the ear wires to the sterling silver and the gold filled slightly more expensive ear wires.	EXPERIENCE
I am fine with these, but I know my cousins are still not fine with these, and neither is someone else I know who can only wear pure yellow gold.	EXPERIENCE
So, she doesn't have a whole lot of jewelry that she wears regularly because of this.	EXPERIENCE
What I'm wondering is if the milder reaction I get from the cheap ear wires is more of a sensitivity to nickel and other cheaper metals, or is it something else?	OPINION
Look at Melisa.org and do some research on metal allergies...	FACT
you could be a great help to those you know who are getting reactions to jewelry...	OPINION
some poeple are allergic to titanium, some to silver, some gold....	FACT
most commonly people are allergic to nickel...which represents 10% of the population who are allergic.	FACT
A large number of people allergic to metals are allergic to multiple types of metal....so a reaction to just cheap jewelry probably indicates a nickel allergy.	OPINION
it is important to note that almost all things made of metal are alloys...meaning it is a mix of metal.	FACT
For instance, I had a copper IUD that caused me to have 13 cysts within 2 months of insertion....turns out there was nickel in it also..	EXPERIENCE
The important thing to note is that many people don't respond with significant health problems until they get metal inserted in the body....such as cavity filings...contrast given for MRI's....so it is so important to be aware of the allergy and know to ask what includes metal or not...	FACT
however, the impact a person may feel when having a metal allergy and being exposed through jewelry, deoderant, make up, toothpaste, candy.....is unknown.	FACT
Before I had a back implant I was sluggish and sick often...turns out it was undiagnosed allergy to metal.	EXPERIENCE
I was just ordered to get an MRI with contrast...being extra careful i asked if there was metal in the contrast, I was told there was no metal.	EXPERIENCE
For some reason I thought that I should make sure...turns out there is a very high metal content!	OPINION
The doctor and even tech administering the contrast had no idea, but the main active ingredient in metal and many contrast solution in nickel based or copper based, given that the nickel content in a piece of chocolate cake can send my heart rate up to 130, I hate to think of what could have happened had I taken the doctor's word that there was no metal in the contrast!	FACT
Don't worry.	NOT_LABELED
I will find out more.	NOT_LABELED
I do know about the white gold, for example, because a friend with metal allergies found out that white gold still has metal alloys in it.	EXPERIENCE
She can't wear the white gold because of the alloys.	EXPERIENCE
I don't understand why doctors assume that a skin allergy to metals isn't serious enough to consider that taking the stuff internally would still be bad.	OPINION
I mean, the whole reason the skin scratch tests work as tests is because the skin is reacting to something the whole body is allergic to.	FACT
And, the skin is the largest organ in the body.	FACT
It just happens to be on the outside.	FACT
I did look at the MELISA site.	FACT
I plan on sending the link to a cousin of mine, since she and all of her sisters are allergic to metals.	FACT
They may not be aware of the food allergy connection.	FACT
I have a lot of sensitivities versus allergies.	FACT
Now I'm beginning to wonder if the milder reaction I get from cheap ear wires, whether nickel or stainless steel, is connected to the food sensitivities.	EXPERIENCE
I will definitely be on guard and not allow any metal devices to be inserted in my body, since I have sensitivities.	OPINION
What is comical and also something to think about is when you get dental work done.	OPINION
About 6 months ago I had a root canal done on a back tooth, the dentist had file separation occur while performing the procedure.	EXPERIENCE
What is file separation I asked--- and he calmly explains to me that the drill broke off into my root system.	EXPERIENCE
So yes I now have a little piece of titanium that you can see in my x-ray.	EXPERIENCE
Thank goodness I have not had any allergic reaction to it or issues.	EXPERIENCE
I have the exact same reaction to coffee and tea as you: sore throat, increased nasal drainage and nasal drip in the back of my throat, sometimes slight eye swelling, slight cough.	EXPERIENCE
I cut out both but something is still causing this reaction.	EXPERIENCE
I don't drink soda.	EXPERIENCE
I cut out wine.	EXPERIENCE
What else is out there that is similar to coffee and tea that would be causing it?	FACT
I can't figure it out and it's driving me crazy!	OPINION
Thanks.	NOT_LABELED
I also will get these symptoms after drinking coffee regularly for several days:  sore/swollen throat, increased nasal drainage and nasal drip in the back of my throat, sinus pressure and eye swelling, slight cough.	EXPERIENCE
I love the taste of coffee but have given it up and feel much the better.	EXPERIENCE
I guess I have the extreme end then.	OPINION
I have been deadly allergic to the coffee bean protein all my life.	EXPERIENCE
Like peanut allergy smell, contact or taste will cause my lungs to cease in minutes.	FACT
Death is imminent in 10 minutes.	FACT
I cannot go near coffee shops as I would need a type 3 bio hazard suit and that would cause a huge problem.	FACT
I am not kidding either I really am that dangerously allergic to coffee.	FACT
Some kinds ill pass out if i smell it in minutes while others ill cough a lot and manage to get out of range.	FACT
It's not a caffeine issue as I can drink tea no problem I was told im allergic to the coffee bean proteins themselves.	EXPERIENCE
Investigate dairy products such as milk and cheese.	FACT
Include cow's milk versus goat's milk, etc.	FACT
I have asthma and my son inherited it from me.	EXPERIENCE
He mentioned the connection and I am checking it out now.	FACT
So far, for me there does seem to be a strong parallel between consuming dairy products from a cow and asthma (and phlegm).	OPINION
Interesting thread with great comments ....	NOT_LABELED
I am allergic to coffee as well.	FACT
If I drink one cup, I will be with fever and fatigued in bed for two days.	EXPERIENCE
Perhaps it is the metal content; however, I do not experience hives, rash or swelling.	EXPERIENCE
I have not drank coffee or related products for three years, yet I am frequently exposed to many metals and have not experienced any allergies to them.	EXPERIENCE
You are the first person I've heard about in my Google searches so far who's got a true IgE food allergy to the coffee bean.	FACT
Thank you for sharing your experience!	NOT_LABELED
My 20-month-old son got a tiny sip of a black coffee drink (no milk or other ingredients added) and almost needed his EpiPen Jr before his reaction stopped progressing on its own.	EXPERIENCE
His face, back, and chest got littered in hives, even his eyelids.	EXPERIENCE
His eyes got all red and itchy, and his nose started running off his face, which induced some sneezing and coughing.	EXPERIENCE
He then acted very cranky and off, and even felt fevered, for the next two days.	EXPERIENCE
He has an appt this Tuesday with his allergist to verify the coffee bean allergy.	EXPERIENCE
He's already very allergic to peanuts, nuts, eggs, and dairy, so I don't know how in the world we're adding a potentially anaphylaxis allergy to coffee, of all things.	EXPERIENCE
It's everywhere when you really think about it!	FACT
Thank you so much for posting your experience.	NOT_LABELED
I have pretty much the same history as you!	EXPERIENCE
I've known for years (probably about 10) that coffee is not too good for me, but I am so addicted to the smell and feel of it.	EXPERIENCE
I could practically reiterate my experiences as your own so I won't bother.	EXPERIENCE
I am currently trying to quite right now.	FACT
Please wish me luck.	NOT_LABELED
I am so done with having these allergy attacks.	FACT
Drinking decaff seems to help marginally.	EXPERIENCE
I am so tired of the constant post nasal drip.	EXPERIENCE
But as a new mother, this last year has been very difficult for me to stop with the increased stress and insomnia.	EXPERIENCE
Black tea sometimes gives me headaches and even non-caffeinated rooibos gives me headaches and dry mouth.	EXPERIENCE
Thanks again.	NOT_LABELED
I will try to post again once I quit for a while and observe the outcome.	FACT
I just found this post on coffee allergy and this seems closest to what I have.	FACT
I'm 45 and on/off have been drinking coffee.	FACT
In the last year, at least once a week I've had a very bad allergy attack similar to hay fever.	EXPERIENCE
Stuffy nose, congestion, headache and sneezing.	EXPERIENCE
It happens so frequently I was ready to go to the doctor but before going, I wanted to start tracking my daily behavior to narrow down what could be causing it.	EXPERIENCE
I drink wine, I smoke - I'm sure it could be any number of things.	EXPERIENCE
I stopped wine for a while and I was still getting them.	EXPERIENCE
I cut out cigarettes and was still getting them.	EXPERIENCE
Then one day, I decided to switch to tea instead of coffee and within one week, I wasn't getting the allergy attacks anymore!	EXPERIENCE
There is very little online about the type of coffee allergy I've been experiencing but in doing some initial research, it looks like this is developing over time and perhaps its not an actual caffeine allergy as it is something to do with the coffee or it's processing methods.	OPINION
I think more research needs to be done in this area..	OPINION
There is a link between coffee sensitivity and gluten sensitivity!	FACT
If you have gluten problems then it is very likely that the protein found in coffee is causing you the problems!	OPINION
You may not be able to digest the protein in coffee that is similar to the protein found in gluten.	OPINION
I developed this same problem!	EXPERIENCE
I am gluten intolerant!	FACT
I began to realize that after drinking coffee, I had the same symptoms of swelling eyes, nasal drip and itchy ears!	EXPERIENCE
After doing a little research I came across a few articles about coffee and gluten sensitivity!	FACT
Google coffee and gluten sensitivity!	NOT_LABELED
I love coffee and this was very disappointing for me!	OPINION
I now drink a coffee substitution and feel much better!	EXPERIENCE
It was tough to give up coffee but my immune system was really working over time trying to fight off the immune response of my system trying to digest the protein in the coffee.	EXPERIENCE
I now realize I have a coffee intolerance just as I have a gluten intolerance.	EXPERIENCE
It's the inability to digest the protein in both.	FACT
Hello everyone, I am a 40 y.o. musician and I enjoy a healthy lifestyle ( balanced diet + daily exercise).	FACT
My health is good except for a recently diagnosed intolerance to Tyramine.	FACT
For ex. if i eat a few slices of salami on an empty stomach it will trigger an attack, which is always the same : i get a really fast heartbeat + increased blood pressure + nausea 15 mn after ingestion.	EXPERIENCE
Sometimes the heart palpitations last for 1/2 h ( 120-130 bpm), and the nausea + lightheadedness will last for a day, it depends on the type of food, if i am tired etc...	EXPERIENCE
I am 99% sure the culprit is Tyramine, which is a natural amine found in all foods but much higher in foods that are aged, fermented, pickled  ( salami, cheese, sauerkraut, smoked salmon, anchovy paste ), in foods that have been stored for a long time ( nuts, dried fruits) and also in overripe fruits like bananas, oranges and avocados.	OPINION
The list of foods I was reacting to was so eclectic, I couldn’t find the link between them for a long time, it was very perplexing and scary and i lost a lot of weight.	EXPERIENCE
I did a lot of research, started an elimination diet and asked many doctors before a neurologist mentioned the cheese migraine symptoms to me.	EXPERIENCE
Later I found a list of Tyramine loaded foods in which I recognized every single food that had triggered an attack after I ingested it.	EXPERIENCE
There is no test to confirm my theory but since I eliminated these Tyramine loaded foods from my diet I feel much better and less terrified of eating, and I am even putting some weight back on ( 112 lbs for 5’4”).	EXPERIENCE
Soon hopefully I will feel strong enough to start reintroducing these foods into my diet in very small quantities to get myself desensitized, unless of course one day I wake up free of this strange condition that appeared for no reason and might disappear the same way.	OPINION
I guess what is very puzzling to me is the fact that this sensitivity appeared out of the blue, that the symptoms are so violent and that I DO NOT get migraines.	OPINION
People who have problems with foods high in Tyramine usually are either migraine sufferers and/or on antidepressant ( MAOs).	FACT
I do not take any medication and my symptoms are always exactly the same 5 to 10 mn after ingesting the culprit food : tachycardia + hypertension + tremors + nausea and sometimes light headache when the attack is really bad.	EXPERIENCE
After having had about 14 attacks within the last 12 months it is such a relief to be able to eat again !	EXPERIENCE
So I guess now my goal is to put the word out and ask as many persons as possible is they have ever heard of a patient with the same symptoms, which is why I posted this text.	OPINION
Does anyone have the same symptoms or know anything about Tyramine ?	FACT
I think tyramine effects glucose uptake and insulin sensitivity.	OPINION
The heart reacts to changes in insulin levels, which can cause the palpitations.	FACT
Perhaps you are becoming more insulin sensitive, for some reason?	FACT
Congratulations on finding the culprit causing your symptoms!	OPINION
Great sleuthing!	NOT_LABELED
Hi, My daughter has the same thing (tyramine) and within 36 hrs of eliminating it in her diet ALL her symptoms went away ..	EXPERIENCE
migraine/joint pain/loss of concentration and word retrieval issues.	EXPERIENCE
It took about 3 weeks into a total food elimination diet thru her allergist to find both tyramine & sulfites.	EXPERIENCE
And, this was 10 yrs ago.	FACT
Today ..she avoidds and is fine.	EXPERIENCE
We were told it is most likely a severe intolerance and not a true allergy in my dd's case.	EXPERIENCE
I have the same since a year, and cured since 4 months.	EXPERIENCE
the diet is severe, but I'm getting weight as replacing many things by other things which are sugar based probably.	EXPERIENCE
I'm taking pills too (against hystamine) : Xyzall, 3 times per week.	EXPERIENCE
There is well a test, the firts one is small capsules against the skin, then they check reaction after 2 days, than 4 days, and one on the skin with a drop of reactant, then they pick and see the reaction.	FACT
After 2 months, it has decreased already due to the removal of bad food (pork, potatoes, tomatoes, cheese, all thinks that can get old and ferment).	EXPERIENCE
According to doctor he expect me to go back to normal life after 12 to 24 months.	OPINION
My main problem was oedema, mainly of contact.	EXPERIENCE
I'm 52 years and Belgian.	FACT
I experience chest pains very soon after eating dark chocolate, shark meat, bison meat, aged cheeses (cheddar, etc.)...	EXPERIENCE
it is so consistent and predictable.	FACT
I also used to get migraines - but just chest pains.	EXPERIENCE
They go away after a few minutes, but I still have to learn to curb my portions of high-tyramine foods.	EXPERIENCE
I have a severe intolerance to Tyramine, and maybe other things - who knows?!	EXPERIENCE
I realised what it was over 14 years ago, but know the symptoms were there for about ten years previous!	FACT
The only things I can eat now without succombing to severe and prolonged pain are:  pasta, carrots, parsnips, peppers, apples, melons and pears.	EXPERIENCE
Over the years it has gotten worse, the list didn't start out this short!	EXPERIENCE
And I've lost about 3 or 4 stone over time!	EXPERIENCE
I've asked for help repeatedly from my GP, but they're not interested and just say that there is nothing they can do.	EXPERIENCE
And I keep getting worse.	EXPERIENCE
What do I do ?!!	FACT
I am a migraine sufferer myself.	EXPERIENCE
Now I am intrigued and will definitely do some research about Tyramine.	FACT
I do have food sensitivity issues as well, so this looks like a worthy research to do for myself.	EXPERIENCE
I never heard of Tyramine and the neurologist never mentioned it before.	FACT
tyramine is a catecholamine releasing agent.	FACT
tyramines sends my blood pressure sky rocketing(hypertensive crisis) and then i start vomiting, usually all day.	EXPERIENCE
i have had this problem all my life and only found out about it last year.	EXPERIENCE
i will be 64 in November.	FACT
i wished i would have learned about it sooner.	OPINION
Yep, tyramine intolerance does affect migraines and IBS.	FACT
I had already eliminated many foods in that list because of preservatives for me.	EXPERIENCE
I have stayed away from high tyramine foods and that helped.	EXPERIENCE
Through my research I have found that gluten intolerance is actually a part of tyramine intolerance, so I recommend that you also eat a gluten free diet.	OPINION
It made a huge difference for me.	EXPERIENCE
I had the same thing begin suddenly in 2014.	EXPERIENCE
I am healthy eater - or so I thought.	OPINION
After trips to doc and a couple to the ER I found that eating fresh food - not eating canned or pre-packaged eliminated most symptoms.	FACT
My research uncovered a ton of info - I hope that you find this helpful: Regular coffee, tea, and soft drinks are on the list of things to avoid.	FACT
Not sure about decaf.	OPINION
Canned and packaged food contains sulfites, Nitrates and preservatives that trigger symptoms.	FACT
Aged meats such a salami, pepperoni bacon, jerky, sausage, hot dogs should be avoided.	OPINION
Anything femented, aged can cause problems.	FACT
Beer, wine, aged cheese, Seeds and nuts cause problems for those with the sensitivity.	FACT
I also eliminated bread as yeast is a trigger.	EXPERIENCE
Another trigger is Soy - soy oil is in many things so be sure to check ingredients.	FACT
Bottom line is I now eat only fresh beef, poultry and fish.	EXPERIENCE
If not eaten within 24 hours of cooking I freeze.	FACT
If not cooking within 24 hours of purchase I freeze.	FACT
I eliminated Irish potatos but still eat red and sweet potatos.	EXPERIENCE
It's a pain but sticking with the freshness rule keeps me symptom free.	EXPERIENCE
Unlike your symptoms mine lasted for days and often did not occur for up to 48 hours after eating a trigger food.	EXPERIENCE
Doctors say developing allergies and sensitivties as we age is common.	FACT
Tyramine sensitivity can only be treated by diet - I wonder if it ever goes away.	OPINION
As furballsmom stated: Gluten may be an issue.	OPINION
I had to eliminate wheat too and no more peanut butter - dang.	EXPERIENCE
Bottom line is I eat like a cave man and so far so good.	EXPERIENCE
I have recently discovered that I too am suffering very severely and suddenly to Tyramine.	EXPERIENCE
I have had many visits to the ER with Hypertensive Crisis.	EXPERIENCE
I think mine came on after I started drinking Kombucha for the probiotics.	EXPERIENCE
Perhaps I drank too much of it and got some kind of Tyramine Overload.	OPINION
At any rate, it's been hit or miss but I am trying to be careful.	EXPERIENCE
Can you give me a list of ""safe"" foods?	FACT
To give you an idea what foods are considered ""unsafe"", I quote from Wikipedia: ""Tyramine occurs widely in plants and animals, and is metabolized by the enzyme monoamine oxidase.	FACT
In foods, it is often produced by the decarboxylation of tyrosine during fermentation or decay.	FACT
Foods containing considerable amounts of tyramine include meats that are potentially spoiled or pickled, aged, smoked, fermented, or marinated (some fish, poultry, and beef); most pork (except cured ham); chocolate; alcoholic beverages; and fermented foods, such as most cheeses (except ricotta, cottage, cream and Neufchâtel cheeses), sour cream, yogurt, shrimp paste, soy sauce, soybean condiments, teriyaki sauce, tempeh, miso soup, sauerkraut, kimchi, broad (fava) beans, green bean pods, Italian flat (Romano) beans, snow peas, edamame, avocados, bananas, pineapple, eggplants, figs, red plums, raspberries, peanuts, Brazil nuts, coconuts, processed meat, yeast, and an array of cacti.	FACT
So, once you have eliminated these foods from your diet, the rest might be considered ""safe"".	OPINION
But don't bet on it.	OPINION
Allergic reactions do not affect everyone in the same way.	FACT
After eating peanuts and cheddar cheese with my lunch I suddenly had a terrible ""sinus"" headache.	EXPERIENCE
It was so bad that my top teeth were aching.	EXPERIENCE
It led me to google,do peanut and cheese cause headaches.	FACT
I discovered they both have tyramine and if sensitive can cause someone to get headaches.	FACT
The question also led me here in the hope to get more answers.....	OPINION
Hi there, We went out for dinner a week ago, I always have Oysters for entrance and this time was no different.	FACT
But after I ate 2, I felt a bit giddy and nauseas and stopped.	EXPERIENCE
Next day I noted I have a rash over my neck, chest and upper body.	EXPERIENCE
Does that mean I am suddenly now allergic to Shellfish?	FACT
I am scared of worse symptoms next time, but I absolutely love my fish and Oysters.	OPINION
What should I do to make sure that this is an allergy?	FACT
Sorry to hear that.	NOT_LABELED
Folks' allergies can change every five years, so, this is probably the case with you.	OPINION
Hopefully, one day, this will pass and you will be able to eat these foods again.	OPINION
I had a suspicion as I was reading your post that you had shellfish allergies due to your intolerance of the iodine bath they gave you before your surgery, this is a dead give-away normally.	OPINION
hi, I'm not really sure if it's an shellfish allergy.	OPINION
I guess it could be a histamine intolerance.	OPINION
But try it out and eat some tomatos, if you get the same symptoms you should go to your allergist and make an blood test.	OPINION
You have to know that I'm histamine intolerant.	FACT
I got the symptoms like headache and this weird feeling in my throat.	EXPERIENCE
But I bought Daosin on the internet.	FACT
It basicly avoids my allergic reaction and I can eat everything.	FACT
You may ask why you should eat tomatos, but tomatos are histamine rich as same as fish.	FACT
