text	factuality
Ask your doctor for a SED rate and CRP blood test.	OPINION
Ask for a genetic test to be done on your blood.	OPINION
It's expensive but conclusive.	FACT
Crohn's doesn't always show up in a colonoscopy.	FACT
Depends upon where it is located and that can change.	FACT
Prednisone is not for long-term therapy.	FACT
It destroys your teeth, muscles, tissues that can result in hip and shoulder replacements.	FACT
The disease ***** but you can control it with a positive attitude, healthy diet and proper medical care.	OPINION
I keep having rectal bleeding even though I use HC suppositories which help.	EXPERIENCE
My colonoscopy and endoscopy came back negative for Crohn's.	EXPERIENCE
Which blood tests do I need done to be sure?	FACT
I'm on prednisone 10mg/day for one month for my asthma and need it to breathe better and relax.	EXPERIENCE
I am in a similar position too...	EXPERIENCE
my problems started around two in a half years ago where i had extreme pain after eating any types of foods, followed by diarrhoea...	EXPERIENCE
sometimes the pain was everyday, sometimes once a week but whenever it was it was so painful i would almost faint and could barely walk..	EXPERIENCE
I started loosing weight, ive lost about 10kg since the pain first started.	EXPERIENCE
My pains only come about once every 2months now because i am careful with the amounts i eat and how much of certain foods i can eat, i have learnt to read my stomach and when i need to stop eating in order to stop the pain from coming.	EXPERIENCE
I have lost my appetite and i rarely feel hungry.	EXPERIENCE
Nearly every day i feel nauseous.	EXPERIENCE
On the days i dont have diarrheoa i tend to be constipated, sometimes i dont go for days.	EXPERIENCE
My stomach swells very easily too, half the time i look pregnant and i am a petite person.	EXPERIENCE
I have been to a gastrologist for my problem and had tests upon tests.	EXPERIENCE
I have had a colonscopy, endoscopy, blood tests, urine tests, stool tests and an xray and the only thing the doctor has found is that i am lactose intolerant which is far from the only problem i believe i have because even when i went on a lactose free diet for a month i was still experiencing the same problems, and now i pretty much eat lactose free butter, cheese, milk and yogurt.	EXPERIENCE
Recently i also bleed from my bottom and skin came out from somewhere inside.	EXPERIENCE
For a week after that i had mucus in my stool and now i keep getting anal fissures.	EXPERIENCE
Has anyone else had a similar problem?	NOT_LABELED
Can you still have Crohn's if your IBD blood work came back normal?	FACT
A CT revealed thickening between my intestine and bowel.	EXPERIENCE
The stomach pain gets me down so bad I can't function.	EXPERIENCE
I have felt pretty good the last few weeks with just mild cramping and diahrea.	EXPERIENCE
I have major joint pain and fatigue most of the time.	EXPERIENCE
The nausea is very bad at times also.	EXPERIENCE
I am an active person and these symptoms have slowed me down a lot.	EXPERIENCE
I am scheduled for an upper and lower GI next Wednesday...	EXPERIENCE
Any advice....:	NOT_LABELED
Hi I'm only 17 yrs old and I have been suffering with all the symptoms of chrones disease for three months straight now.	EXPERIENCE
my aunty has chrones disease very bad also.	EXPERIENCE
I've had numerous blood tests, urine samples, stool samples, an endoscopy, colonoscopy, MRI scan and EVERYTHING came back normal.	EXPERIENCE
Obviously its so frustrating and now they're putting it down to IBS.	EXPERIENCE
Like you say, you know your own body better than anybody and it upsets me because I know it is something far more serious than that.	OPINION
I've had lots of blood and mucus in my stools for four months without fail.	EXPERIENCE
I've lost half a stone (and I am only 7 stone as it is) I sleep for days straight, I won't eat for days and the pain is unbearable the doctors prescribed me lots of codeine.	EXPERIENCE
It gets me down that the doctors are leaving it to IBS because I know this is not the case.	OPINION
It's horrible to think I may go 12 years living like this - it really puts a hold on reality :( thanks for all this advice it makes me feel better that theres people out there in the same position as me.	OPINION
Ive been suffering for 2 years.	EXPERIENCE
Ive had blood work, stool tests, endoscopy and colonoscopy all came back negative.	EXPERIENCE
My colonoscopy showed apthous ulcers in my descending colon but the biopsies came back normal.	EXPERIENCE
My dr said it would be unusual for crohns to be in that part of my intestines.	EXPERIENCE
She said its usually in the small intestine.	EXPERIENCE
I suffer pretty much everyday with colon pain and just a feeling of complete unwellness.	EXPERIENCE
On the days I dont have a bowel movement I feel great but it seems like when I do have one, my whole body feels sick.	EXPERIENCE
I also have loss of appetite at times adn some weight loss.	EXPERIENCE
My dr also told me that crohns is usually just diarrhea.	EXPERIENCE
My stool is usually normal but it still makes me feel sick.	EXPERIENCE
Can anyone tell me if this sounds like Crohns?	NOT_LABELED
She thinks I have IBS but wants to do another colonoscopy to rule out crohns for sure.	EXPERIENCE
Thanks for any help you can give me .	NOT_LABELED
My dr. just diagnosis me with crohns	EXPERIENCE
I do not belive that this is my problem.	OPINION
I have no signs of symptoms of crohns.	EXPERIENCE
My sister, brother and son all have crohns so I know what to look for.	EXPERIENCE
He did a colonoscopy and a scope down the throat( done on the same day).	EXPERIENCE
The doc. said everything was clear but he said he thought he seen an infection so he did 3 biops.	EXPERIENCE
now he tells me that it is crohns and not my GB even though ny GB is only working at 8% from a hida scan.	EXPERIENCE
I still don't belive I have crohns but i don't know where to go from here.	OPINION
He wants me to start on meds for crohns and I am not ready to do this.	OPINION
I need more proof.	OPINION
Well, the most common area for Crohn's disease to first strike is the terminal ileum which would be in the lower right quadrant.	FACT
HOWEVER, Crohn's colitis is not at all uncommon (not the same thing as Ulcerative colitis) AND Crohn's disease can strike ANYWHERE in the GI tract from mouth to anus so ....	FACT
Crohn's disease is a very individualistic disease.	FACT
Most crohnies do enounter diarrhea, but there are plenty of use who encounter constipation.	FACT
My gastro likes to do colonoscopies too.	FACT
My Crohn's struck first in the mid-ileum and there hasn't been involvement near the ileocecal valve.	EXPERIENCE
So WHY would I put myself thru that hor-eye-bull prep for a colonoscopy???	OPINION
IF a barium upper GI and SBFT doesn't give any answers, there is the CT Enterography, the MR Enterography and the Pill Camera Endoscopy.	FACT
I forgot: there is also the double balloon endoscopy (they get you from both ends and mark in the middle).	FACT
My fourteen year old has bad stabbing stomach pain to the right, below and above the belly button.	EXPERIENCE
He had his appendix removed three months ago and they found imflamation around his ilium after colonoscopy they found several ulcers in his duedenal bulb.	EXPERIENCE
The consult said it wasn't crohns after doing two enoscopy examinations and one colonoscopy.	EXPERIENCE
He is not gaining weight, is finding alot of food makes the pain worse and gets very constipated - anyone have any ideas?	EXPERIENCE
Angela.	NOT_LABELED
I feel bad for everyone that has to deal with this disease i have, ""Ulcerative Colitis""..	OPINION
On 9-25-2012 at Memorial Hospital of Tampa i had asked my Doctor HJW is the difference between Ulcerative & Crohns Disease play a wider part in my case as to complications i may have as a result of a positive outcome on tests for Crohns (biopsy).	EXPERIENCE
No sooner did i finish my question to him, did he say ""I'm not going to stand here and have you give me a F*****G course on anatomy and stormed out of my room.	EXPERIENCE
So much for the ""patients Bill of Rights"" and or ""Civil Rights"".	OPINION
I have since filed a Formal Complaint to the C.E.O., AHCA, Florida Department of Health Consumer Services Unit, Department of Civil Rights (OCR), Division of Quality Care, Office of the Chief Inspector General ect.	FACT
Next will be the Media.	FACT
They have stripped me of my self Dignity knowing full well that stress is already at it's peek level.Total Disregard for a human being under their care.	OPINION
Hopefully some one with Administrative Power will have some morals to correct this nightmare he has inflicted upon me.	OPINION
So much for private health care.	OPINION
Anthem Blue Cross Blue Shield has turned a blind eye to this situation through informal complaint, but thats fixing to change through a formal complaint to their Medical Director.	FACT
Dr. HJW is accredited through them shame on them.	FACT
its a damn shame one should have to feel intimidated to further their care to recovery through the ones that treated you in the first place.	OPINION
A speedy recovery to all above and beyond.	OPINION
J.C.	NOT_LABELED
I've been going through the whole diagnosis process for Chron's.	EXPERIENCE
The colonoscopy didn't show signs of it, but I had a polyp that he removed, and he took samples in my lg intestine for biopsy.	EXPERIENCE
If they didn't see it on the screen during the actual colonoscopy, can it still show up in the biopsies?	FACT
I have so many symptoms.	EXPERIENCE
Abd pain, frequent bowel movements, feeling like I still have to go diarrhea, but nothing comes out and it hurts so bad.	EXPERIENCE
I typically have about 6 BM's a day.	EXPERIENCE
I have white discharge from my rectum, joint pain (knees, wrist), pain so bad that I have to take percocet and lay in bed in the fetal position.	EXPERIENCE
I know something more serious than ibs is going on with me.	OPINION
I've been so sick for about 4 months now.	EXPERIENCE
I will get results from colonoscopy biopsies next week.	FACT
I pray they figure out what's going on with me!	OPINION
I am experiencing the same thing!	EXPERIENCE
Lost 20 pounds in less than a month and couldn't get out of bed for two.	EXPERIENCE
My stomach hurts when it's empty but hurts more when I try to eat and I have to take a change of clothes with me everywhere I go because taking 2 plus Imodium.	EXPERIENCE
doesn't help!	OPINION
Have received negative results for Chron's, Addison's, Celiac and more so I must be OK, right?	EXPERIENCE
Have a new Doc who thinks it might be Inflammatory Bowel Disease.	EXPERIENCE
Have to have an abdominal CT scan and more blood work.	EXPERIENCE
Tired of taking pain pills but I'm also tired of being in pain.	EXPERIENCE
If ANYONE has ideas, please help!	NOT_LABELED
I too am going through this for the past 4 years I have been having episodes of bloating, runs, pain in left side, night sweats and feel so unwell.	EXPERIENCE
I get these large boils in my groin everytime my stomach is bad, my eyes are deteriorating, my joints all hurt, my ears are hurting and I am struggling to keep working.	EXPERIENCE
This episode has been the worst I have had for a year and I am really struggling to get through it.	EXPERIENCE
Had colonoscopy/endoscopy last week get results on Wednesday which cant come quick enough.	EXPERIENCE
Just getting through each day at the moment is so so hard.	EXPERIENCE
Cant eat even drinking water makes me feel ill.	EXPERIENCE
Am desperate for some answers am tired of being told its all normal aches and pains, nothing wrong with you.	EXPERIENCE
Take antidepressants/valium god knows what else I have been given but its driving me insane.	EXPERIENCE
What ever is going on is cruel and makes it harder not getting a doctor to find answers for me.	EXPERIENCE
And doctors do not like to be told that you want certain tests done, its taken 3 years to insist on a Gastro referral from my GP and only got it because had blood in toilet.	EXPERIENCE
Am hoping and praying (unlike me) that I get some answers wednesday or I will be devastated again.	EXPERIENCE
I have been having this knive cutting pain in the middle of my stomach right behind my belly button.	EXPERIENCE
I have had every test done possible: Colonoscopies, MRI, Cat Scans , Exploratory surgery, capsule endoscopy.	EXPERIENCE
Every test I have had done comes back normal.	EXPERIENCE
I had the blood work done for Crohns and it came back negative.	EXPERIENCE
In 2012 my doctor retested me and it came back positive for a Crohns.	EXPERIENCE
My doctor did not want to label me with this.	EXPERIENCE
He said the test results should not change.	EXPERIENCE
My primary doctor wanted to redo the blood work and the lab would not accept it because they said I was already labeled with Chrons and it would not change.	EXPERIENCE
I just want to start on the medication to see if it will help.	OPINION
I have read symptoms and have a friend with it and our symptoms are alike..	EXPERIENCE
Any suggestions for me?	NOT_LABELED
Do you think I might have it?	NOT_LABELED
Pain is really bad after I eat.	EXPERIENCE
I had a salad today and didn't know what to do with myself cause of the pain.	EXPERIENCE
The only thing that helps is taking Oxycodone and using the heating pad.	EXPERIENCE
I am open for suggestions.	NOT_LABELED
Please help!	NOT_LABELED
Sara.	NOT_LABELED
I have been going thru all of this for over 10 yrs. I have had multiple colonoscopys and endoscopys and ct scans mri exploratory surgery where I had 4ft of my small intestines removed.	EXPERIENCE
I have severe abdominal pain all the time and cramps and blood in my stools and diarrhea and then times of constipation.	EXPERIENCE
I have severe bloating and my eyes get watery and blurry at times.	EXPERIENCE
I have been hospitalized for diverticulitis in the past for gastritis they have done all kinds of stool test and blood test all negative for crohn's and all the biopsies have been negative, they did one expensive blood genetic test and if was inconclusive but indicated some kind of inflammatory bowel disease.	EXPERIENCE
Have been referred to another specialist and fixing to have a gastric emptying test and mri entergraphy and HBT test and another colonoscopy and endoscopy and hoping that they would just find something that would come back positive so that they would treat me for crohn and stop telling me it is just ibs , i know my body and it is more than just ibs and i have never been more sicker or hurt as much as i do now.	EXPERIENCE
I have been having symptoms of Crohn's for 3 months and last year I had two other episodes with these same symptoms lasting 1-2 months.	EXPERIENCE
IBD blood work is positive for Crohn's.	EXPERIENCE
CT scan and colonoscopy are negative, but endoscopy shows inflammation.	EXPERIENCE
The doctor decided it was more likely it was just IBS, but I don't think I could be this sick for this long just from IBS.	OPINION
Any thoughts?	NOT_LABELED
I think you need to find a new GI doctor.	OPINION
It's not ok to blow off a patient.	OPINION
Find one who actually cares about your health and well-being.	OPINION
And insist on a camera endoscopy.	OPINION
It's the only thing that can show what is really going on in your small intestine.	FACT
I just had it done yesterday and am waiting on the results.	EXPERIENCE
I'm fairly certain my doctor thinks I have Crohn's even though most of my tests and biopsies have come back negative.	OPINION
I, too, show all the symptoms (diarrhea, abdominal pain, mouth ulcers, joint and muscle pain, red swollen eyes, exhaustion...), but they haven't given me a definitive diagnosis or a treatment plan.	EXPERIENCE
This has been a 3 month process of every test imaginable.	EXPERIENCE
In the meantime, I have picked up a few books on the disease to help me get on a Crohn's diet plan to help with the flare ups (half.com has many options for less money).	EXPERIENCE
Maybe this will help you too?	NOT_LABELED
Hopefully in another week I'll have my answers.	OPINION
Good luck to you friend!	NOT_LABELED
I am 38 years old.	FACT
I have been having symptoms of Crohn's for 4 months.	EXPERIENCE
I was send to do a fructan intolerance test.	EXPERIENCE
I came positive to fructan intolerance.Then the doctor order some blood test IgA Ref (38.9) IgG (55.0) possible crohn's disease.	EXPERIENCE
Then he order a video capsule endoscopy with a finding of significant mid- and distal small bowel lymphoid hyperplasia.	EXPERIENCE
Then he order a ct scan with results possible non-specific ileitis (demonstrate a thickened loop of the distal ileum which is nonspecific finding ) now he order a colonoscopy with ileoscopy to due a biopsy.	EXPERIENCE
He wrote that he whats to rule out lymphoproliferative process...	EXPERIENCE
I am supper worry.	EXPERIENCE
I cannot sleep...	EXPERIENCE
what is going on?	NOT_LABELED
Should I be supper worry?	OPINION
Can some one explain what all this means?	NOT_LABELED
Thanks for the help.	NOT_LABELED
The core of the problem is autoimmune, our immune keep atacking our body causes Ulcerative colitis or Crohn.	FACT
I got UC.	EXPERIENCE
Before my immune attacked knees joint, ankylosing spondilitis.	EXPERIENCE
I went to doctor but seems helpless because they kept trying to heal my joint.	EXPERIENCE
The problem is the auto immune.	FACT
It happened 10 years ago.	EXPERIENCE
Until I found mangosteen skin juice named xamthone (indonesia is my country) it helped a lot to control my immune and my joint healed by itself.	EXPERIENCE
I back to normal life and skip drinking xamthone mangosteen skin juice.	EXPERIENCE
3 months ago I got hemorrhoid and fistula, hurt so bad!	EXPERIENCE
I went to doctor and he heal me with 9 injection everyweek to my hemorrhoid and fistula, but he found there are put in my colon and giving me antibiotics levaquin for 7 days if pus isnt gone yet he asked me to do endoscopy.	EXPERIENCE
Im so afraid what happened to me since I felt better after my hemorrhoid cure.	EXPERIENCE
Then I start search the internet and found that I got ulcerative colitis caused by auto immune.	EXPERIENCE
I start to drink that mangosteen juice anymore and feel better.	EXPERIENCE
Autoimmune causes UC, UC causes hemorrhoid and fistula.	FACT
Before.	NOT_LABELED
Autoimmune causes joint disease ankilosing spondilitis.	FACT
So we need to control our immune and mangosteen skin juice help me (God showed me) I searched a lot and found that cabbage also helped.	OPINION
Control the autoimmune first!	OPINION
Go chek the diseases that caused by autoimmune.	OPINION
Hope it helps, Indonesia.	NOT_LABELED
I have the exact same problem I just had a endoscopy and colonoscopy done which came back normal I have a anal fissure I have been having this problem for bout 12 years and they are still doing tests but I haven't gotten blood work done that's my next thing to do cause only you truly know your body and when something isn't right.	EXPERIENCE
I have recently been informed that I have suspected crohns disease and IBS.	EXPERIENCE
I have had 2 colonscopies and various blood and stool tests.	EXPERIENCE
I also have a diagnosis of Herpes simplex 2 and recently the episodes of IBS have increased as a result of my period, as have the herpes epsiodes- is there a direct link with herpes and IBS/Crohns and if so if I were to treat the herpes would this improve my bowel symptoms.	EXPERIENCE
Thanks.	NOT_LABELED
I have the same problem, but from the information I have gathered is that herpes flare ups happen when our bodies are under stress.	EXPERIENCE
I have to say having to go to the potty 5 to 7 times a day canker sores stomach cramps alternating constipation and loose/soft stools are very stressful .	EXPERIENCE
if I find out anything different I will be sure to share please do the same I would love to know of any connection.	OPINION
I think mine is type 1 I get them on my face.	EXPERIENCE
On your face is herpes simplex1, in the genitalia it is herpes simplex 2.	FACT
I too have Crohn's and have ""cold sores"" - herpes simplex1.	EXPERIENCE
I have only once or twice had a breakout while also severely ill and in the hospital from the disease.	EXPERIENCE
I see no direct link to the illness except that as emg454 mentioned, herpes reacts to stress.	OPINION
When you are in a ""major"" flare up verses the everyday things that come with this illness, and anything else in your life that can be compounding the ""stress situation"" ie..family, kids, work, fear of losing job/medical benefits, possible surgery, ect...	OPINION
it all adds to the stress your body is under while trying to fend off the attack on our immune systems, therefore you could be susceptible to further outbreaks.	OPINION
Hope this helps some.	NOT_LABELED
Kim.	NOT_LABELED
I just started a treatment regimen for the herpes i have cold sores.	EXPERIENCE
My doctor is doing a medical study to see if this medicine will work.	FACT
He put me on acyclovir 800 mg 2 times a day and 15mg of meloxicam 1 x a day and gave me a sample pack of a pain medicine I can't remember the name of it.	EXPERIENCE
This is a surgeon in my area he is a very good doctor.	OPINION
He says my cold sores and my stress are directly related to my severe stomach/abdominal pain.	EXPERIENCE
I had gastric bypass surgery last June 2011 before this I never had much stomach pain or cold sores.	EXPERIENCE
I WANT TO KNOW CAN HERPES TYPE 2 BOTHER YOUR IBS?	NOT_LABELED
I have been in a world of pain and discomfort for about a year now.	EXPERIENCE
I am a gay man that thought I was careful, but appearantly not enough.	EXPERIENCE
What I thought was an occasional 'bout' of hemmoroids, 'which runs in the family', turned out to not go away and become a major issue.	EXPERIENCE
The doctors were baffled by my symtoms, and 'lightly' asked if I have stuck something up my ***.	EXPERIENCE
Of course I said 'no', but they said my symptoms looked like Crohn's disease.	EXPERIENCE
After a Colonocopy, they ruled that out.	EXPERIENCE
, which supriesd me because all my symptoms were 'spot on' for Crohn's.	EXPERIENCE
My 'partner' recently tested positive for herpes, because he had an outbreak, and had to get a painful circumcision, as a result.	EXPERIENCE
So now, I have health insurance and the means to pay for treatment needed to get tested, 'which scares the **** out of me', to see if I have it, so I can get the right treatment.	EXPERIENCE
But my symptoms have progressed since my last visit...	EXPERIENCE
now I have 'hemmroid-like' protrusions around my anus that bleed, and burn lightly...on a good day, and I have dealt with this for a year, outta fear of doctors.	EXPERIENCE
I have lived my life as a straight man and was even married to a wonderful woman......be safe, no matter how much you trust someone...	EXPERIENCE
I feel like damaged goods now.	EXPERIENCE
Take care.	NOT_LABELED
I have been in a world of pain and discomfort for about a year now.	EXPERIENCE
I am a gay man that thought I was careful, but appearantly not enough.	EXPERIENCE
What I thought was an occasional 'bout' of hemmoroids, 'which runs in the family', turned out to not go away and become a major issue.	EXPERIENCE
The doctors were baffled by my symtoms, and 'lightly' asked if I have stuck something up my ***.	EXPERIENCE
Of course I said 'no', but they said my symptoms looked like Crohn's disease.	EXPERIENCE
After a Colonocopy, they ruled that out, which supriesd me because all my symptoms were 'spot on' for Crohn's.	EXPERIENCE
My 'partner' recently tested positive for herpes, because he had an outbreak, and had to get a painful circumcision, as a result.	EXPERIENCE
So now, I have health insurance and the means to pay for treatment needed to get tested, 'which scares the **** out of me', to see if I have it, so I can get the right treatment.	EXPERIENCE
But my symptoms have progressed since my last visit...	EXPERIENCE
now I have 'hemmroid-like' protrusions around my anus that bleed, and burn lightly...on a good day, and I have dealt with this for a year, outta fear of doctors.	EXPERIENCE
I have lived my life as a straight man and was even married to a wonderful woman......be safe, no matter how much you trust someone...	EXPERIENCE
I feel like damaged goods now.	EXPERIENCE
Take care.	NOT_LABELED
Hey guys, if you have any questions that still need answers please post a new question so we can help you out.	NOT_LABELED
Thank you!	NOT_LABELED
Hi Guys, I see this is a really old thread, but I want to share the info I have on this matter as it 's a top very close to my heart and I want to help anyone I can who is also struggling with these health issues...	FACT
I have struggled with IBS-C since I was a little girl, and contracted HSV2 about 5 years ago.	EXPERIENCE
I have dealt with weekly, if not daily, herpes outbreaks since my contracting it.	EXPERIENCE
I found when my gut acted up (pain, distention, bloating, constipation etc), I would get an outbreak within hours.	EXPERIENCE
Even taking Valtex at 1G per day didn't stop it.	EXPERIENCE
I work out regularly, eat a whole foods diet and have seen a therapist regularly to manage stress.	EXPERIENCE
Nothing helped, if anything it got worse over the years.	EXPERIENCE
I have only recently, in the past year, found out that the underlying cause of IBS is often a condition called SIBO (small intestinal bacteria overgrowth).	EXPERIENCE
This is when bacteria that is only meant to be in the large intestine makes its way up in to the small intestine.	FACT
This can cause damage to the mucosal lining of the small intestine as well as create gas, blasting, constipation, diarrhea, food intolerances, chronic fatigue etc.	FACT
The reason this happens is due to low stomach acid, pancreatic exocrine function, and/or malfunctioning ileocecal valve.Bascially stress from emotions, food, drugs (recreational or pharma) all contribute to this problem.	FACT
The overgrowth of bacteria in the small intestine leads to a lot of endotoxins (waste) from the bacteria.	FACT
This waste damages the nerves surrounding in the gut leading to issues with motility (constipation, diarrhea), and weakens the immune system.	FACT
This is what lead to an opportunity for the herpes virus to express itself in me regularly.	EXPERIENCE
It took me years to find this out.	EXPERIENCE
I thought I was being punished and was always going to have this health situation, but luckily, I don't.	OPINION
To heal SIBO, you need to have a doctor or nutritionist supervise and provide a healing protocol via a diet called 'Low FODMAP"", and one, to several rounds of either pharmaceutical or herbal antibiotics to rebalance the microbiome.	FACT
The low FODMAP's diet will reduce inflammation and help to starve the bacteria.	FACT
Most find a huge relief in symptoms from cutting out high FODMAP foods alone, but that's only half the battle.	FACT
You need the anti-microbials and re-inocculation.	FACT
Testing for SIBO is key.	OPINION
You can do so through a Naturopath or Nutritionist.	FACT
It's important to know you have it for sure.	OPINION
Keep in mind, studies are now proving that SIBO is the underlying case of IBS, and can be cured with patience and diligence.	FACT
So, the link between IBS and herpes is real.	FACT
IBS/SIBO severely weakens the immune system and creates the space of the virus to wreak havoc.	FACT
When you get the gut micrbiome under control, the virus will not have the same opportunities to express itself.	FACT
I really hope this helps many of you struggling with this.	OPINION
I know it can seem like a hopeless issue and if I can add any other energy to this I'd say; please take self-judgement out of the mix.	OPINION
I know, easier said than done but at the end of the day it's just a virus.	OPINION
It doesn't define us.	NOT_LABELED
