text	polarity
Maybe this will help you too?	NEUTRAL
Hopefully in another week I'll have my answers.	POSITIVE
Good luck to you friend!	POSITIVE
I am 38 years old.	NEUTRAL
I have been having symptoms of Crohn's for 4 months.	NEUTRAL
I was send to do a fructan intolerance test.	NEUTRAL
I came positive to fructan intolerance.Then the doctor order some blood test IgA Ref (38.9) IgG (55.0) possible crohn's disease.	NEUTRAL
Then he order a video capsule endoscopy with a finding of significant mid- and distal small bowel lymphoid hyperplasia.	NEGATIVE
Then he order a ct scan with results possible non-specific ileitis (demonstrate a thickened loop of the distal ileum which is nonspecific finding ) now he order a colonoscopy with ileoscopy to due a biopsy.	NEGATIVE
He wrote that he whats to rule out lymphoproliferative process...	NEUTRAL
I am supper worry.	NEGATIVE
I cannot sleep...	NEGATIVE
what is going on?	NEUTRAL
Should I be supper worry?	NEGATIVE
Can some one explain what all this means?	NEUTRAL
Thanks for the help.	NOT_LABELED
The core of the problem is autoimmune, our immune keep atacking our body causes Ulcerative colitis or Crohn.	NEUTRAL
I got UC.	NEUTRAL
Before my immune attacked knees joint, ankylosing spondilitis.	NEUTRAL
I went to doctor but seems helpless because they kept trying to heal my joint.	NEGATIVE
The problem is the auto immune.	NEUTRAL
It happened 10 years ago.	NEUTRAL
Until I found mangosteen skin juice named xamthone (indonesia is my country) it helped a lot to control my immune and my joint healed by itself.	POSITIVE
I back to normal life and skip drinking xamthone mangosteen skin juice.	NEUTRAL
3 months ago I got hemorrhoid and fistula, hurt so bad!	NEGATIVE
I went to doctor and he heal me with 9 injection everyweek to my hemorrhoid and fistula, but he found there are put in my colon and giving me antibiotics levaquin for 7 days if pus isnt gone yet he asked me to do endoscopy.	NEUTRAL
Im so afraid what happened to me since I felt better after my hemorrhoid cure.	NEGATIVE
Then I start search the internet and found that I got ulcerative colitis caused by auto immune.	NEUTRAL
I start to drink that mangosteen juice anymore and feel better.	POSITIVE
Autoimmune causes UC, UC causes hemorrhoid and fistula.	NEUTRAL
Before.	NOT_LABELED
Autoimmune causes joint disease ankilosing spondilitis.	NEUTRAL
So we need to control our immune and mangosteen skin juice help me (God showed me) I searched a lot and found that cabbage also helped.	POSITIVE
Control the autoimmune first!	NEUTRAL
Go chek the diseases that caused by autoimmune.	NEUTRAL
Hope it helps, Indonesia.	NOT_LABELED
I have the exact same problem I just had a endoscopy and colonoscopy done which came back normal I have a anal fissure I have been having this problem for bout 12 years and they are still doing tests but I haven't gotten blood work done that's my next thing to do cause only you truly know your body and when something isn't right.	NEGATIVE
I have recently been informed that I have suspected crohns disease and IBS.	NEGATIVE
I have had 2 colonscopies and various blood and stool tests.	NEUTRAL
I also have a diagnosis of Herpes simplex 2 and recently the episodes of IBS have increased as a result of my period, as have the herpes epsiodes- is there a direct link with herpes and IBS/Crohns and if so if I were to treat the herpes would this improve my bowel symptoms.	NEUTRAL
Thanks.	NOT_LABELED
I have the same problem, but from the information I have gathered is that herpes flare ups happen when our bodies are under stress.	NEUTRAL
I have to say having to go to the potty 5 to 7 times a day canker sores stomach cramps alternating constipation and loose/soft stools are very stressful .	NEGATIVE
if I find out anything different I will be sure to share please do the same I would love to know of any connection.	NEUTRAL
I think mine is type 1 I get them on my face.	NEUTRAL
On your face is herpes simplex1, in the genitalia it is herpes simplex 2.	NEUTRAL
I too have Crohn's and have ""cold sores"" - herpes simplex1.	NEUTRAL
I have only once or twice had a breakout while also severely ill and in the hospital from the disease.	NEGATIVE
I see no direct link to the illness except that as emg454 mentioned, herpes reacts to stress.	NEUTRAL
When you are in a ""major"" flare up verses the everyday things that come with this illness, and anything else in your life that can be compounding the ""stress situation"" ie..family, kids, work, fear of losing job/medical benefits, possible surgery, ect...	NEGATIVE
it all adds to the stress your body is under while trying to fend off the attack on our immune systems, therefore you could be susceptible to further outbreaks.	NEGATIVE
Hope this helps some.	POSITIVE
Kim.	NOT_LABELED
I just started a treatment regimen for the herpes i have cold sores.	NEUTRAL
My doctor is doing a medical study to see if this medicine will work.	NEUTRAL
He put me on acyclovir 800 mg 2 times a day and 15mg of meloxicam 1 x a day and gave me a sample pack of a pain medicine I can't remember the name of it.	NEUTRAL
This is a surgeon in my area he is a very good doctor.	POSITIVE
He says my cold sores and my stress are directly related to my severe stomach/abdominal pain.	NEUTRAL
I had gastric bypass surgery last June 2011 before this I never had much stomach pain or cold sores.	NEUTRAL
I WANT TO KNOW CAN HERPES TYPE 2 BOTHER YOUR IBS?	NEUTRAL
I have been in a world of pain and discomfort for about a year now.	NEGATIVE
I am a gay man that thought I was careful, but appearantly not enough.	NEGATIVE
What I thought was an occasional 'bout' of hemmoroids, 'which runs in the family', turned out to not go away and become a major issue.	NEGATIVE
The doctors were baffled by my symtoms, and 'lightly' asked if I have stuck something up my ***.	NEGATIVE
Of course I said 'no', but they said my symptoms looked like Crohn's disease.	NEUTRAL
After a Colonocopy, they ruled that out.	POSITIVE
, which supriesd me because all my symptoms were 'spot on' for Crohn's.	NEUTRAL
My 'partner' recently tested positive for herpes, because he had an outbreak, and had to get a painful circumcision, as a result.	NEGATIVE
So now, I have health insurance and the means to pay for treatment needed to get tested, 'which scares the **** out of me', to see if I have it, so I can get the right treatment.	NEGATIVE
But my symptoms have progressed since my last visit...	NEGATIVE
now I have 'hemmroid-like' protrusions around my anus that bleed, and burn lightly...on a good day, and I have dealt with this for a year, outta fear of doctors.	NEGATIVE
I have lived my life as a straight man and was even married to a wonderful woman......be safe, no matter how much you trust someone...	NEUTRAL
I feel like damaged goods now.	NEGATIVE
Take care.	NEUTRAL
I have been in a world of pain and discomfort for about a year now.	NEGATIVE
I am a gay man that thought I was careful, but appearantly not enough.	NEGATIVE
What I thought was an occasional 'bout' of hemmoroids, 'which runs in the family', turned out to not go away and become a major issue.	NEGATIVE
The doctors were baffled by my symtoms, and 'lightly' asked if I have stuck something up my ***.	NEGATIVE
Of course I said 'no', but they said my symptoms looked like Crohn's disease.	NEUTRAL
After a Colonocopy, they ruled that out, which supriesd me because all my symptoms were 'spot on' for Crohn's.	POSITIVE
My 'partner' recently tested positive for herpes, because he had an outbreak, and had to get a painful circumcision, as a result.	NEGATIVE
So now, I have health insurance and the means to pay for treatment needed to get tested, 'which scares the **** out of me', to see if I have it, so I can get the right treatment.	NEGATIVE
But my symptoms have progressed since my last visit...	NEGATIVE
now I have 'hemmroid-like' protrusions around my anus that bleed, and burn lightly...on a good day, and I have dealt with this for a year, outta fear of doctors.	NEGATIVE
I have lived my life as a straight man and was even married to a wonderful woman......be safe, no matter how much you trust someone...	NEUTRAL
I feel like damaged goods now.	NEGATIVE
Take care.	NEUTRAL
Hey guys, if you have any questions that still need answers please post a new question so we can help you out.	POSITIVE
Thank you!	NOT_LABELED
Hi Guys, I see this is a really old thread, but I want to share the info I have on this matter as it 's a top very close to my heart and I want to help anyone I can who is also struggling with these health issues...	POSITIVE
I have struggled with IBS-C since I was a little girl, and contracted HSV2 about 5 years ago.	NEUTRAL
I have dealt with weekly, if not daily, herpes outbreaks since my contracting it.	NEGATIVE
I found when my gut acted up (pain, distention, bloating, constipation etc), I would get an outbreak within hours.	NEGATIVE
Even taking Valtex at 1G per day didn't stop it.	NEGATIVE
I work out regularly, eat a whole foods diet and have seen a therapist regularly to manage stress.	NEUTRAL
Nothing helped, if anything it got worse over the years.	NEGATIVE
I have only recently, in the past year, found out that the underlying cause of IBS is often a condition called SIBO (small intestinal bacteria overgrowth).	NEUTRAL
This is when bacteria that is only meant to be in the large intestine makes its way up in to the small intestine.	NEUTRAL
This can cause damage to the mucosal lining of the small intestine as well as create gas, blasting, constipation, diarrhea, food intolerances, chronic fatigue etc.	NEUTRAL
The reason this happens is due to low stomach acid, pancreatic exocrine function, and/or malfunctioning ileocecal valve.Bascially stress from emotions, food, drugs (recreational or pharma) all contribute to this problem.	NEUTRAL
The overgrowth of bacteria in the small intestine leads to a lot of endotoxins (waste) from the bacteria.	NEUTRAL
This waste damages the nerves surrounding in the gut leading to issues with motility (constipation, diarrhea), and weakens the immune system.	NEUTRAL
This is what lead to an opportunity for the herpes virus to express itself in me regularly.	NEGATIVE
It took me years to find this out.	NEGATIVE
I thought I was being punished and was always going to have this health situation, but luckily, I don't.	POSITIVE
To heal SIBO, you need to have a doctor or nutritionist supervise and provide a healing protocol via a diet called 'Low FODMAP"", and one, to several rounds of either pharmaceutical or herbal antibiotics to rebalance the microbiome.	NEUTRAL
The low FODMAP's diet will reduce inflammation and help to starve the bacteria.	POSITIVE
Most find a huge relief in symptoms from cutting out high FODMAP foods alone, but that's only half the battle.	POSITIVE
You need the anti-microbials and re-inocculation.	NEUTRAL
Testing for SIBO is key.	NEUTRAL
You can do so through a Naturopath or Nutritionist.	NEUTRAL
It's important to know you have it for sure.	NEUTRAL
Keep in mind, studies are now proving that SIBO is the underlying case of IBS, and can be cured with patience and diligence.	NEUTRAL
So, the link between IBS and herpes is real.	NEUTRAL
