text	polarity
It is very appreciated!	NOT_LABELED
:) I really hope ""rumpled"" will be just fine once her treatments start.	POSITIVE
The right side is er+ and pr+.	NEUTRAL
HER results pending.	NEUTRAL
Left side is invasive cancer too...	NEGATIVE
Grade 1 which is better since it sits next to my chest.	POSITIVE
On to a lot of tests to see if it is elsewhere.	NEUTRAL
Really bummed...	NEGATIVE
Hi and thank you for the update.	NOT_LABELED
It's rather unusual to have cancer in both breasts, but unfortunately it can occur and I am really sorry that this happened to you.	NEGATIVE
Even if you are one of the few women to experience cancer bilaterally, the scenario isn't as dire as it sounds.	POSITIVE
Many studies have shown that a woman's prognosis is not necessarily worse if she has breast cancer in both breasts, and that the outcomes in such cases are often excellent.	POSITIVE
Although each breast may require a different treatment strategy, the overall treatment for breast cancer in both breasts is no different than for cancer that occurs in just one breast.	NEUTRAL
The good thing is that the tumor in your right breast is rather small and is ER/PR positive which will respond well to medication, such as Tamoxifen or other similar drugs to lower considerably the risk of recurrence.	POSITIVE
The tumor in your left breast is Grade 1 which is also a good thing.	POSITIVE
It's going to be a long journey but don't be disheartened.	POSITIVE
Take one step at a time, follow your Doctor's recommendation and I am sure you'll be able to beat this disease like many of us did.	POSITIVE
Wishing you all the best and successful outcome.	POSITIVE
Thanks.	NOT_LABELED
Will keep you posted on the other tests...	NEUTRAL
I have a known lung mass, but benign it is thought.	NEUTRAL
Joy�	NEUTRAL
More testing...	NEGATIVE
More waiting.	NEGATIVE
The left side is different being er+,pr- and her-.	NEUTRAL
The right is er+. pr+, her-.	NEUTRAL
I still will get the meds just thought it was strange.	NEUTRAL
So I spent the day making a bunch of pre-op clearance appointments and the gene doc (which will be after).	NEUTRAL
I am opting for the double mastectomy.	NEUTRAL
I could have done the lumpectomy but with my history and the placement of the tumors, I would have been very lopsided so the double is a better choice and I may avoid radiation which can also be a better choice (I need it elsewhere and trying to avoid as much as I can).	NEUTRAL
They are sing if I can get a ct and bone scan before surgery as well.	NEUTRAL
Hi, ER (Estrogen) and PR (Progesterone) receptor status tests are done to show whether or not one or both of those hormones fuel your tumor.	NEUTRAL
Estrogen positive, even if it's weak, medication such as Tamoxifen (or other similar drugs) is usually recommended to lower the risk of recurrence in the same breast and helps prevent new cancer in the opposite breast.	NEUTRAL
Cancer that is hormone-sensitive is slightly slower growing and has a better chance of responding to hormone-suppression drugs, than cancer that is hormone receptor negative.	NEUTRAL
HER-2/neu negative cancer is also a good thing, because it is considered less aggressive than HER-2 positive.	POSITIVE
I am sure that your Doctors will explain all this to you in details, when you'll meet them.	NEUTRAL
Since you have decided on a double mastectomy, I will send you a link by PM.	NEUTRAL
Wishing you all the best and I hope that everything goes smoothly for you.	POSITIVE
Take care..	NOT_LABELED
i am sorry to hear about your diagnoses.	NEGATIVE
I was diagnosed just a little short of a year ago, and I too opted for a double mastectomy.	NEUTRAL
Please let me know if I can lend any support, or any answer any questions.	NEUTRAL
Thanks!	NOT_LABELED
Hi, I imagine you are busy, and at least a bit overwhelmed, with all the tests, appointments, etc., in preparation for your surgery.	NEUTRAL
Here is a link to an old thread that has been helpful to many members and may provide a few useful tips for you as well: Wishing you all the best, bluebutterfly.	NEUTRAL
You are more then welcome.	POSITIVE
I know it seems so overwhelming, but you will get through this, I promise.	POSITIVE
Again, please, feel free to ask anything about my journey.	NEUTRAL
I finally got a surgical date: 12/16.	NEUTRAL
If all goes well I will have a diep, but not sure as I have had so many abdominal surgeries.	NEUTRAL
May be a tug (thigh).	NEUTRAL
Thanks for the tips!	NOT_LABELED
Hi, Excellent decision!	POSITIVE
Please make sure (As suggested by Sue Young in the PM I sent you) that this is a specialized surgery and should be performed by experienced plastic surgeons who have done numerous Diep Reconstruction Surgeries.	NEUTRAL
I hope all goes well for you and I am sure everything will.	POSITIVE
Best of luck to you!! :)	POSITIVE
I am glad you have a surgery date.	POSITIVE
I didn't have that option, but have seen great results from it.	POSITIVE
One day and step at a time.	POSITIVE
I know how it feels like a lifetime until surgery.	NEGATIVE
If you need support, leading up to, and after surgery please know we are here for you.	POSITIVE
Waiting is the worst...	NEGATIVE
The surgeons (three of them) are skilled in minor surgery and have done many diep and tram surgeries so I feel I am in good hands.	POSITIVE
I am trying to prepare ahead of time, but still feeling stressed.	NEGATIVE
Yes I know�the waiting is very stressful, but try not to get discouraged!	POSITIVE
Please remember that ""Positive thinking leads to positive outcomes"" The important thing here is that you have found Doctors who are very experienced with this type of surgery, and especially knowing that you are in good hands.	POSITIVE
I am sure you'll be just fine and these difficult times will be over sooner than you think!	POSITIVE
I wish you well! God Bless!	POSITIVE
Hello!	NOT_LABELED
Just an update.	NOT_LABELED
Doing my pre-op appointments.	NEUTRAL
For sure I am getting the DIEP which is nice.	POSITIVE
There was a question because I had so many surgeries.	NEUTRAL
My lung function has improved so that should not be an issue.	POSITIVE
I only have my blood tests to go but given that I have those all the time, I don't have an fear that those will have an issue.	POSITIVE
My ekg was fine (except for the lady ripping off the stickers and leaving me bruises, why won't they listen!!!	POSITIVE
I am even more nervous as the day gets closer about how to manage post op, and just hoping I won't need chemo.	NEGATIVE
I know these are small, but every surgery so far things have turned out to be different (i.e. Larger) than imaging showed so just hope this history does not continue.	NEGATIVE
I have no idea as well how I am going to manage my one cat who is very attached to me...	NEUTRAL
He is going to be a mess with a restriction of not being able to be with me during the day and will body slam the door.	NEGATIVE
I am hoping I can keep him calm somehow!	NEUTRAL
Hi there, Thank you for the update and I am glad to know that all the tests you have had so far, are fine and that you'll have DIEP breast reconstruction.	POSITIVE
Excellent choice!	NOT_LABELED
It's understandable that you are feeling nervous right now!but as soon as things get rolling, all will go well and you'll feel much better.	POSITIVE
I also hope you won't need chemo!we know it's not easy to go through this therapy, but if Oncologists recommended it, it's very important to follow their advice because it does save lives.	POSITIVE
I hope you have read Sue Young's info about post-op care that I sent you a few weeks ago (Link below) When you are well prepared and know what to expect, I am sure your recovery will be quicker than you think.	POSITIVE
I'll be thinking and praying for you on the 14th and hoping that all goes well for you.	POSITIVE
Best wishes and GOOD LUCK!!	POSITIVE
:)	NOT_LABELED
Yes I read everything and have prepared, I hope, well ahead of time.	POSITIVE
Thanks!	NOT_LABELED
I am so sorry to hear about your diagnosis.	NEGATIVE
Thinking of you as you prepare for your surgery...	NEUTRAL
At least you have a good idea of what to expect, after reading Sue Young'sexcellent post about preparing for bilateral mastectomy (the link for which I providedin my 10/17/15 comment, above).	POSITIVE
I certainly understand your nervousness; it's a lot to deal with, right down to ""pet parent"" concerns.	NEUTRAL
(Do you have someone who can help ""babysit"" your one cat, to try to keep him calm until things are back to normal?)	NEUTRAL
I'm glad to hear you will be able to have the DIEP reconstruction!	POSITIVE
Know that many thoughts and prayers will be with you.	NEUTRAL
Hugs, bluebutterfly.	NOT_LABELED
I wish we did have a cat sitter but alas he has had a lot of urinary issues and my only option would be to put him down as he is not a cat I can foster out due to his special needs.	NEGATIVE
His sister is calm.	POSITIVE
I did get come essential oils and put them around and he was calm for a day...	POSITIVE
Today he is picking up on my nerves and is a whiny mess...	NEGATIVE
:/ I am just hoping we can work around him.	NEUTRAL
Hi again, Actually, I meant would someone be staying with you at first who might be able to calm him at least a little when he wants to be in your room and can't be.	NEUTRAL
Was it your doctor who said he can't be with you?	NEUTRAL
For how long?	NOT_LABELED
By the way, by my comments I don't mean to suggest you haven't already thought of every possible thing, esp.knowing your pet so well.	NEUTRAL
I just hate to think of your having to worry a lot about him at the same time you are going through everything .	NEGATIVE
:-( I know a bit about the additional stress pet concerns can cause, because at one point when my husband was vey sick, I had to put our dog  in our Vet's hospital for a while.	NEGATIVE
They had wire cages with a tray a few inches below to catch everything when no one was there to take him out as often as usual.	NEGATIVE
He was old and had never been away from us, so we were worried about him, but they said he adjusted okay, and he didn't seem traumatized when he came home.	NEUTRAL
I'll be thinking of you next week.	NEUTRAL
Please let us know how you're doing once you're feeling well enough.	NEUTRAL
bb.	NOT_LABELED
I am popping in today.	NEUTRAL
I am thankfully Stage I. I get my oncotyping on Friday.	POSITIVE
I am having tons of post op complications like an infected drain, so that was popped out, then I got an abscess, another drain put in and I got cellulitis on the other side.	NEGATIVE
My belly was rock hard and bright red.	NEGATIVE
It is still part hard and red still.	NEGATIVE
The up and down fevers are driving me nuts.	NEGATIVE
I am hot, cold, hot, cold.	NEUTRAL
The cat was for the most part good.	POSITIVE
He was calm when I came home and while he wanted to be with me, he was patient to a point..	POSITIVE
by the time he did jump up on me, I was ready, although he did get me once when I was sleeping.	NEUTRAL
Once he got the hang of it though, it has been good.	POSITIVE
Hi and thank you for the update.	NOT_LABELED
I've been thinking of you often and wondered how you were doing.	NEUTRAL
I am happy that your tumor is stage one, but sorry to know that you experienced a few complication after your surgery.	NEUTRAL
I hope that you are doing better now and hopefully medication will take care of the infection and fever soon.	NEUTRAL
I also hope that your Oncotype test will be low ( 18 or less) indicating that there is a much lower chance that the breast cancer will return and most probably chemotherapy won't be necessary.	POSITIVE
P.S. Your cat seemed to discern that you were not feeling your best and he is indeed a very good pet!	POSITIVE
:)	NOT_LABELED
Hi I just did a follow up ultra sound, on a lump that my radiologist had been following for a year and a half.	NEUTRAL
My results said that it grew and changed from 5mm to 9mm diagnoses bi raids 4 so i had the biopsy doctor calls and said that tissues are benign.	NEUTRAL
Then he proceeds to tell me that i have a intraductal papilloma 9mm.	NEUTRAL
he then stated that i need and excisional biopsy time to see a breast surgent, during the conversation he stated that it is very rare that these are cancer only a 5% chance.	NEUTRAL
So my questions is can i leave this alone i prefer to just follow it?	NEUTRAL
If i left it in and it did turn to cancer what could the outcome be how dangerous could it get even if i am being followed.	NEUTRAL
I again would prefer to just leave it alone.	NEUTRAL
Thank you.	NOT_LABELED
I would NOT just leave it alone and I can't imagine why anyone would choose to do this.	NEGATIVE
5% may not seem much of a chance to you but even a 1% chance would send me to a Breast Surgeon immediately.	NEUTRAL
You can do whatever you feel comfortable with but since there has been growth give it some more thought before you decide to ignore this condition.	NEGATIVE
Even if you do see a Breast Surgeon there is a chance that he/she may agree with waiting and doing close interval testing and the choice will still be yours and yours alone.	NEUTRAL
Please at least see the Surgeon, OK ??	NOT_LABELED
Regards .....	NOT_LABELED
Hi thank you for your feed back.	POSITIVE
I am seeing a breast sergeant on Thursday DEC 3ird.	NEUTRAL
I have also schedule a appointment for a second opinion in January of 2016.	NEUTRAL
Please know that i am concerned and do not take this lightly, but for me i have had so many scares and they have thank goodness all come back benign.	POSITIVE
It is scary but for me i feel maybe it would just be better to follow this and see if there is a change.	NEGATIVE
I will post more on Thursday when i have the results.	NOT_LABELED
Regards.....	NOT_LABELED
Great to hear that you are going to keep seeking a definite answer.	POSITIVE
I'm all for second opinions and I believe that a person should keep seeking information until they are comfortable with all the answers.	NEUTRAL
When I hear ""don't worry about it"" I always want to know ""WHY"" I shouldn't worry :) Always appreciate follow-ups .... Thanks.	NEUTRAL
I think you made the right choice, for sure!	POSITIVE
Better safe then sorry!	POSITIVE
Thinking of you!	NOT_LABELED
I was initially diagnosed with intraductal papilloma (after a biopsy came back negative for cancer).	NEUTRAL
I had this removed.	NEUTRAL
My pathology results came back with DCIS.	NEUTRAL
I've since had a recurrence.	NEUTRAL
There is some debate about whether mammograms and surgery actually spread the disease.	NEUTRAL
Cancer if left untreated can be extremely dangerous and even fatal.	NEGATIVE
I don't necessarily think that conventional medicine has all the answers.	NEGATIVE
Some people have had really amazing results with lifestyle medicine.	POSITIVE
You need to do what feels right to you.	NEUTRAL
Intuition is a valuable tool.	NEUTRAL
Good luck with whatever you decide.	POSITIVE
Thank you!	NOT_LABELED
Hi Thank you for all your feed back, I spoke with the breast Sergent on Thursday and asked a lot questions.	NEUTRAL
The doctor i thought was so supportive she answered all my questions and then some.	POSITIVE
When asked she told me she has recently had a patient whose papilloma results cancer.	NEUTRAL
According to the new statistics 20 to 30%chance intraductal papilloma being cancer.	NEUTRAL
numbers increased great, I still have a second opinion in January, Do to the biopsy i have a 3cm hematoma and i am very bruised the radiologist change his plan and did a vacuum core biopsy instead of just a core biopsy, which is fine.	NEUTRAL
The doctor told me if i choose to do the extensional she would have to wait for the hematoma to dissipate as they would not be able to get to the area.	NEUTRAL
And if i choose to be followed she would follow me every three months twice and then move to 6 months, I left telling her i would be in touch.	NEUTRAL
I am confused now but i will wait for my second opinion appointment do research shop for the holidays and pray that i make the right decision in the end.	NEGATIVE
Scared!!!	NEGATIVE
It sounds as though you have found a GREAT Surgeon who has exactly the right information and caring that you need.	POSITIVE
The follow-up plan seems very appropriate and I would be comfortable with that myself.	POSITIVE
I do think it wise to go ahead with the second opinion to further clear things in your mind.	POSITIVE
The hematoma issue isn't at all unusual in such circumstances with biopsies but it can complicate the situation.	NEUTRAL
Remember that the decision you make today or 3 months from now won't necessarily change the outcome.	NEUTRAL
Even though papilloma can be cancer, if there is only one they are usually watched for a period of time.	NEUTRAL
You're on the right track but try not to confuse yourself by doing TOO much research as no 2 cases are the same and you can't depend too much on percentages, they are too general.	NEUTRAL
Take care and stay busy .... NO negative thinking !!	NEUTRAL
Hi I went for my second opinion, Not sure what to make of the appointment though.	NEUTRAL
This doctor is a top breast Sergent in my area, She actually did my first breast surgery in 2008.	POSITIVE
When i saw her i felt like she was a little pushy, She said to me it grew and surgery was the best route even though i do not have any of the symptoms and the biopsy came back benign.	NEUTRAL
She quoted to me (Pathology report too consider excision).	NEUTRAL
When i ask questions i felt like she thought i was stupid and she did not want to answer questions she cut me off, proceeded to tell me two options surgery or follow every six months.	NEGATIVE
My question which i think is important does anyone know?	NEUTRAL
Are there any studies of women who were follow with intraductal papilloma what is the long term out come.	NEUTRAL
That's too bad that you had a less than comfortable experience with the Breast Surgeon; perhaps she was having a bad day ????	NEGATIVE
At this point since the chance of a single papilloma being malignant is rather small you might as well follow it for the recommended 6 months.	NEUTRAL
This all began the last of November and you should count the 6 months from that date and see what is recommended at your next check-up which would be in the Spring.	NEUTRAL
If at that time it is determined to be benign then it can be left alone.	NEUTRAL
On the other hand if you are ""done"" with all the re-checks and possible biopsies then have it removed and over with.	NEUTRAL
It all comes down to what you are comfortable with.	NEUTRAL
I would make my appointment now for the 6 month check-up if that's the way you intend to go so there will be no waiting when the time actually arrives.	NEUTRAL
Regards ....	NOT_LABELED
Hi doctor is going to do a lumpectomy on the 23ird of February.	NEUTRAL
I did a lot of hard thinking research and reading decided it is too much stress, and i ask my self would i have any regrets with my decision if it changed.	NEUTRAL
Surgery is better way to go.	POSITIVE
My radiologist stated excision but my doctor is doing a wired lumpectomy is this normal procedure and what is the difference between the 2 surgery's I have done a little reading but still a little confused.	NEUTRAL
I am nerves about the surgery but more then anything I have a fear of being put to sleep!	NEGATIVE
I know I will be fine but still a little scary.	NEGATIVE
Thank you!	NOT_LABELED
I really don't see any difference in the two.	NEUTRAL
The area is being removed either way.	NEUTRAL
It seems to me that this is just the use of different terminology.	NEUTRAL
Best wishes for a speedy recovery .....	POSITIVE
Sending healing thoughts your way.	POSITIVE
Having it removed will give you peace of mind.	POSITIVE
Please let us know how you're doing.	NOT_LABELED
Hi so the surgery went well The doctor got everything.	POSITIVE
Now three days later getting back to my self pain is not to bad,  I have been taking Tylenol.	POSITIVE
Still waiting on the results.	NEUTRAL
Do i really have to wait three weeks before i can get fully back into normal daily activity's?	NEUTRAL
That does seem rather a long time but it depends upon exactly what your normal activity consists of, like strenuous exercise which would not be wise or several other things that would put undue strain on muscles, etc.	NEUTRAL
I would increase your activities very gradually but NEVER go against the advice of the Surgeon.	NEUTRAL
Complete healing of the tissues does take quite some time and you certainly would not want to delay that.	NEUTRAL
I'm glad to hear the things went well and hope for GREAT news when the reports come in.	POSITIVE
Do take it easy though.... Regards.	NEUTRAL
When I went in for my mammogram, I was told that my benign scattered calcifications that I had for the last 2 years were misread and are actually fine, linear calcifications, but because they were stable for 2 years they told me to come back in 6 months.	NEUTRAL
They gave me a BI RADS 3.	NEUTRAL
When I got my report, my breast density was reported as extremely dense.	NEUTRAL
I have always had heterogeneously dense breasts.	NEUTRAL
I have since done a lot of googling and cannot understand why they wouldn't biopsy.	NEGATIVE
I have found out that DCIS can be stable for a while and that the morphology is more important than the stability over time.	NEUTRAL
Why would they wait!	NEGATIVE
I am so scared!	NEGATIVE
Do they know what they are doing?	NEGATIVE
Thoughts please?	NOT_LABELED
Hi.Experienced Radiologists are quite able to identify typically benign breast calcifications depending on their form and pattern.	NEUTRAL
If no suspicion is detected a biopsy is not required to prevent unnecessary procedures.	NEUTRAL
BIRADS Category 3, means that the findings have a very high probability of being benign, therefore recommending a short-interval follow-up.	NEUTRAL
I wouldn't worry so much if I were you, because what your radiologist has recommended is standard procedure.	NEUTRAL
If these calcification were suspicious in any way, I am sure a biopsy would have certainly been ordered.	NEUTRAL
But of course this is up to you to decide!.	NEUTRAL
if you still feel uncomfortable waiting six months for a follow up, you could always have your films read by another Radiologist for a second opinion, or ask your Doctor to order a biopsy.	NEUTRAL
Best wishes...	NOT_LABELED
Thank you for your answer.	NEUTRAL
I don't understand why I have to have a mammogram in 6 months.	NEGATIVE
Why can't I just get one in 1 year?	NEUTRAL
I don't think BI RADS 3 is very useful to have to spend the extra money to watch something that is benign.	NEGATIVE
When will I ever go back to once a year mammograms?	NEUTRAL
Hi again, You have been asked to have these calcification monitored every 6 month simply because when the radiologist assigns calcifications to a ""probably benign"" category, the risk of malignancy even if very low ( less than 2%) can change unexpectedly.	NEUTRAL
Typically these calcifications will be monitored every six months for at least one year.	NEUTRAL
Assuming that no new changes are found, your doctor will recommend you have a routine mammogram once a year.	NEUTRAL
I hope that you'll follow your doctor's recommendation to make sure there is no change in the size, shape or number of calcifications.	NEUTRAL
Take care..	NOT_LABELED
My calcifications have already been stable for over 2 years.	POSITIVE
Can you show me any resource that says if a radiologist sees fine, linear calcifications to ""wait and see"" for six months?	NEUTRAL
If they want them stable for a year, I have been stable for more than 2 years.	POSITIVE
I have not seen 1 resource where it is recommended that fine, linear calcifications be put in the BI RADS 3 or 2 categories.	NEUTRAL
My mammograms have all been the same, the only difference is that the radiologists have misread them.	NEGATIVE
Thank you.	NOT_LABELED
If the calcifications can change unexpectedly, then is the risk still less than 2%?	NEUTRAL
If they haven't changed in 2 years, what is the risk they will change in 2 1/2 years, 3 years, ect...	NEUTRAL
I really cannot say why your Radiologist asked you to follow-up in 6 months since your calcifications have been stable for 2 years.	NEUTRAL
Linear calcification is not always indicative of malignancy.	NEUTRAL
The suspicion is raised only when they are clustered and appear to form several branches.	NEUTRAL
When they are linear but detached, such as probably yours are, it's usually not worrisome but they have to be monitored regularly.	NEUTRAL
I wish I could give you more information about the things you are requesting here, but the only advice I can give you is to have your Mammogram films read by a different Radiologist for a second opinion and also to have your test report explained to you in details by your Doctor who is your best source of information.	NEUTRAL
I wish you well...	NOT_LABELED
Thank you zouzi for the information.	NOT_LABELED
I don't understand if they are not worrisome, why watch them?	NEUTRAL
It seems like a waste of resources.	NEGATIVE
What benign condition is linear but detached calcifications?	NEUTRAL
You are welcome.	NOT_LABELED
I don't know what else to tell you ..	NOT_LABELED
I don't know what else to tell you .. except that monitoring closely ""probably benign"" calcification is standard procedure and in my opinion it's not a waste of resources if we want to make sure that our breasts are healthy and stay healthy.	NEUTRAL
If you are terribly worried about these calcifications, please take my advice and seek a second opinion from a different radiologist who might recommend a biopsy (if necessary) so you can have peace of mind.	NEUTRAL
It appears from the many posts on this forum regarding incisions opening after lumpectomies that it must be pretty common.	NEUTRAL
I had a lumpectomy on March 12.	NEUTRAL
Two weeks later, it opened overnight.	NEGATIVE
In the morn it was oozing & bleeding.	NEGATIVE
I returned to the surgeon, who said it was infected.	NEGATIVE
I was given antibiotics.	NEUTRAL
My oncologist looked at it a week later and said it was no longer infected, but to return to the surgeon if it looked like it wasn't healing.	NEUTRAL
Part of the incision is slowly healing, but a new section opened and is bleeding slightly.	NEUTRAL
I keep it covered with gauze to keep it clean.	NEUTRAL
How long shoud I give this to heal?	NEUTRAL
I had an infection post surgery and it took four weeks to heal completely.	NEGATIVE
My wound was deep and had to be packed.	NEUTRAL
Wounds heal from the bottom up.	NEUTRAL
Healing seemed to be very slow but then it just went.	NEUTRAL
Actually it was a bit longer.	NEUTRAL
My incision burst on the 24th December (following surgery on the 19th Dec) and it was fully healed by the 5th Feb.	NEUTRAL
I hope yours is OK and that everything goes well for you.	NEUTRAL
Just be patient.	NEUTRAL
Time frames are different for everyone.	NEUTRAL
If you have any concerns make sure you get them checked out.	NEUTRAL
J.	NOT_LABELED
Thanks.	NOT_LABELED
I didn't expect this to happen at all with the healing of the incision.	NEUTRAL
My surgeon did not seem concerned.	POSITIVE
He surely sees it all the time.	NEUTRAL
It's good to be reassured.	POSITIVE
I am so glad to have this site with all who care so much about one another.	POSITIVE
So it's been about a month or so since the wound opened.	NEUTRAL
That part seems to be healing.	POSITIVE
There is another section that after all this time, that decided to open the other day.	NEGATIVE
It's small and bleeding just a little.	NEUTRAL
I'll give it some more time.	NEUTRAL
