text	polarity
I just have to take it one day at a time and get myself acclimated.	NEUTRAL
You get used to having something and it's hard to let go of it.	NEGATIVE
Glad you enjoyed the link, I had to do a lot of research to get to that myself so love to share it when it applies :D.	POSITIVE
I am allergic to coffee.	NEGATIVE
A scratch test showed the allergy.	NEUTRAL
However, I am allergic to coffee only if I drink it.	NEGATIVE
Smelling it does not bother me.	POSITIVE
I also have to avoid mocha.	NEUTRAL
Since coffee is roasted, the protein must be in the roasted bean.	NEUTRAL
I don't know if this is right or not, but it seems like I remember there being a common protein or a common natural chemical in both coffee and chocolate.	NEUTRAL
I know that both have to be roasted in order to use them, too.	NEUTRAL
You are both right actually I was reading about this recently as well that it is actually the protein in the coffee that causes this.	NEUTRAL
I had broke down this past week and had coffee and then I wake up the next day with swollen eyes and face.	NEGATIVE
It's one thing with shrimp I recently had a pretty bad reaction that I never had before and broke out in a rash and welts all over my legs--- I know now not to eat shellfish.	NEGATIVE
But the caffeine habit is hard to break because I get the physical addiction of a headache, nausea, fatigue.	NEGATIVE
So what I am going to do this week is cut out the coffee/tea etc and if I get a caffeine headache, take an Excendrin for Tension headaches.	NEUTRAL
(that has tylenol/caffeine 65 mg) and just ween myself that way.	NEUTRAL
It's obvious this is causing a reaction so using coffee to ween isn't helping.	NEGATIVE
I'm really glad to hear of others with the same issue.	POSITIVE
It makes me feel better.	POSITIVE
I am allergic to coffee, but bc it has a high content of nickel (which I'm allergic to).	NEGATIVE
If you notice feeling sick after eating other nickel-high foods (beans, chocolate, peas, whole wheats), or if you react when wearing cheap jewlry, you may want to get tested for nickel allergy.	NEUTRAL
Another note...tea is also high in nickel and fish....you should get tested for allergies...	NEUTRAL
I've recently become very intolerant because of an increase in nickel in my body (as I got a body implant), so now every time I'm exposed to nickel (even in medications, and even aspirin) I react...	NEGATIVE
If you recently got cavities filled, a surgery...you should look into a metal allergy.	NEUTRAL
Melisa.org has many great resources to educate about metal allergy.	NEUTRAL
That's a good resource.	POSITIVE
I bookmarked it.	POSITIVE
I have relatives with nickel allergies, and they might not be aware of the foods that make them feel worse.	NEUTRAL
Plus, several of us have chronic illnesses, so this might be a contributing factor.	NEUTRAL
Great resource betbri, I never knew about metal allergies.	POSITIVE
Nor did I realize it has a high content of nickel in it.	NEUTRAL
That is very interesting indeed.	POSITIVE
I actually had some of the metals removed from my mouth and replaced with white fillings.	NEUTRAL
I did read up on some of the vapors that can be given off from amalgam fillings and was astonished.	NEUTRAL
I have a few that still need to be replaced, but better than the many I had in there.	POSITIVE
Did you do the Melisa test betbri or just go to your allergy doctor to be tested?	NEUTRAL
I did get the Melisa test done.	NEUTRAL
In the last couple weeks I have taken all the nickel out of my diet and feel much better!	POSITIVE
I still have many symtoms of allergies but there is finally hope!	POSITIVE
I learned a few important facts to consider when trying to track down the source of chronic problems such as fatigue, and pain.	NEUTRAL
So I will list them and hope it helps you two, and possibly someone else reading this :)	POSITIVE
Doctors are very much unaware of metal allergies in the US (versus other countries that have done loads of research and some countries test every patient for metal allergy before putting fillings, implants in).	NEGATIVE
According to study after study, around 10% of the population is allergic to nickel (with a higher percentage of women affected).	NEGATIVE
If a person is allergic to one metal, it's over 50% of those that are allergic to 2 or 3 metals (so it's important to be tested until you rule out allergy to multiple metals).	NEUTRAL
Eating certain food for someone allergic to metal causes illness (not just skin rashes to jewelry).	NEUTRAL
It's very important when suspecting an allergy to medications to look at the INACTIVE ingredients in pills.	NEUTRAL
For instance I have a list of meds I'm allergic to and the docs just put ""allergic to aspirin, wellbutrin, etc..."" when in reality the one common element in all I'm allergic to is certain types of metal in the coating.	NEGATIVE
You're doctor will not help figure out your REAL allergy because almost no one is actually allergic to the active ingredients in pills, but doctors only list the pill your allergic to and don't ask what it is about those pills you are allergic to.	NEGATIVE
You can test allergic to foods that contain metals (brocolli, chocoate, whole wheat, etc...) and again, it may be that you're allergic to those food because of a metal or additive added....so if a person is allergic to multiple foods it's important to rule out the possibility of a common element in all of them.	NEUTRAL
It has been a harsh reality to release that you have to be your own advocate, and that doctors many times don't test for things for those with chronic issues that can't pinpoint exacty what's wrong.	NEGATIVE
I went in to food allergists many years ago that literally wouldn't test me for allergies because they didn't think I had enough ""evidence"" that I was allergic.	NEGATIVE
For those of us with chronic fatigue and ""vague"" symptoms like stomach aches, migraines, etc....	NEUTRAL
it's very unlikely that a doctor would order a whole battery of testing to rule out the many many illnesses that could cause these things.	NEGATIVE
So....please....if you are a person that has skin reactions when you wear certain jewelry, or have chronic acne and rash on face from makeup (which contains high amounts of metal), or react when eating food high in metal content (nuts, many veggies, coffe....) then please do yourself a favor and order the Melissa test yourself!	NEUTRAL
A doctor will literally look at you like you're nuts or a hypocondriac if you tell him/her that you think you're allergic to metal.	NEGATIVE
(I told all my doctors when they ask at the beginning of appointments when I'm allergic to that I'm allergic to metal and they literally don't put it in my records...	NEGATIVE
many say things like ""no...I mean like medications and food...not skin reaction to jewelry.)	NEUTRAL
This has been a long road for me and it wasn't until I got all of my medical records for myself and noticed the correlations for myself and ordered the metal allergy test without a doctor willing to order for me, that I was able to confirm the source of all my illness...	NEUTRAL
So ... even though it's a harsh reality, it seems that especially those with chronic, multiple ailments have to be their own advocate and in my case (and I'm assuming for others) take matters into our own hands after being told by docts that there's nothing wrong and ""it may be just normal for you to be tired""....Sorry for the crazy long post!	NEUTRAL
But I hope these few facts help someone else out there, to shorten their road to recovery because it took me so long to figure this out!	POSITIVE
Melisa.org has a great section of medical journals that talk about many things in regards to metal allergy.	NEUTRAL
Probably the best place for anyone to start...	POSITIVE
I am definitely glad you spoke up about this.	POSITIVE
I do get skin reactions from certain metals.	NEGATIVE
One in particular was a natural makeup I had started to use which was Bare Essentials.	NEUTRAL
They advertise it as being completely natural etc. but what was interesting was that I used it and every time I used it I would get very itchy on skin to the point where I couldn't stand it.	NEGATIVE
Come to find out it has Bismuth in it and there are a lot of makeups out there that do have this.	NEUTRAL
http://makeup.lovetoknow.com/Allergy_to_Mineral_Makeup.	NEUTRAL
As soon as I stopped using it the issue cleared up right away.	POSITIVE
And yes we do have to be our own advocates.	NEUTRAL
We have to pay attention to what we ingest and encounter and if it does cause an issue, we need to stay away from it.	NEUTRAL
If only caffeine was easy to stay away from :(	NEGATIVE
This is interesting to me about the mineral make-up.	NEUTRAL
I hadn't thought of this at all, but metals are considered to be minerals.	NEUTRAL
I haven't looked up the above link, but what I was thinking of was that a friend used some on me--once.	NEUTRAL
I didn't get the severe allergic reactions that people who get rashes from metals would probably get, but I did get a bit itchy.	NEUTRAL
The thing is, I can wear the cheap costume jewelry metals, like the metal watchband that I have that I know my cousins with metal allergies can't wear.	NEUTRAL
But, the cheap ear wires and other costume jewelry metals do bother my ears a little.	NEGATIVE
So, I do switch out the ear wires to the sterling silver and the gold filled slightly more expensive ear wires.	NEUTRAL
I am fine with these, but I know my cousins are still not fine with these, and neither is someone else I know who can only wear pure yellow gold.	POSITIVE
So, she doesn't have a whole lot of jewelry that she wears regularly because of this.	NEGATIVE
What I'm wondering is if the milder reaction I get from the cheap ear wires is more of a sensitivity to nickel and other cheaper metals, or is it something else?	NEUTRAL
Look at Melisa.org and do some research on metal allergies...	NEUTRAL
you could be a great help to those you know who are getting reactions to jewelry...	POSITIVE
some poeple are allergic to titanium, some to silver, some gold....	NEGATIVE
most commonly people are allergic to nickel...which represents 10% of the population who are allergic.	NEGATIVE
A large number of people allergic to metals are allergic to multiple types of metal....so a reaction to just cheap jewelry probably indicates a nickel allergy.	NEUTRAL
it is important to note that almost all things made of metal are alloys...meaning it is a mix of metal.	NEUTRAL
For instance, I had a copper IUD that caused me to have 13 cysts within 2 months of insertion....turns out there was nickel in it also..	NEGATIVE
The important thing to note is that many people don't respond with significant health problems until they get metal inserted in the body....such as cavity filings...contrast given for MRI's....so it is so important to be aware of the allergy and know to ask what includes metal or not...	NEUTRAL
however, the impact a person may feel when having a metal allergy and being exposed through jewelry, deoderant, make up, toothpaste, candy.....is unknown.	NEUTRAL
Before I had a back implant I was sluggish and sick often...turns out it was undiagnosed allergy to metal.	NEGATIVE
I was just ordered to get an MRI with contrast...being extra careful i asked if there was metal in the contrast, I was told there was no metal.	NEUTRAL
For some reason I thought that I should make sure...turns out there is a very high metal content!	NEGATIVE
The doctor and even tech administering the contrast had no idea, but the main active ingredient in metal and many contrast solution in nickel based or copper based, given that the nickel content in a piece of chocolate cake can send my heart rate up to 130, I hate to think of what could have happened had I taken the doctor's word that there was no metal in the contrast!	NEGATIVE
Don't worry.	NEUTRAL
I will find out more.	NEUTRAL
I do know about the white gold, for example, because a friend with metal allergies found out that white gold still has metal alloys in it.	NEUTRAL
She can't wear the white gold because of the alloys.	NEGATIVE
I don't understand why doctors assume that a skin allergy to metals isn't serious enough to consider that taking the stuff internally would still be bad.	NEGATIVE
I mean, the whole reason the skin scratch tests work as tests is because the skin is reacting to something the whole body is allergic to.	NEUTRAL
And, the skin is the largest organ in the body.	NEUTRAL
It just happens to be on the outside.	NEUTRAL
I did look at the MELISA site.	NEUTRAL
I plan on sending the link to a cousin of mine, since she and all of her sisters are allergic to metals.	NEUTRAL
They may not be aware of the food allergy connection.	NEUTRAL
I have a lot of sensitivities versus allergies.	NEUTRAL
Now I'm beginning to wonder if the milder reaction I get from cheap ear wires, whether nickel or stainless steel, is connected to the food sensitivities.	NEUTRAL
I will definitely be on guard and not allow any metal devices to be inserted in my body, since I have sensitivities.	NEGATIVE
What is comical and also something to think about is when you get dental work done.	NEUTRAL
About 6 months ago I had a root canal done on a back tooth, the dentist had file separation occur while performing the procedure.	NEUTRAL
What is file separation I asked--- and he calmly explains to me that the drill broke off into my root system.	NEUTRAL
So yes I now have a little piece of titanium that you can see in my x-ray.	NEGATIVE
Thank goodness I have not had any allergic reaction to it or issues.	POSITIVE
I have the exact same reaction to coffee and tea as you: sore throat, increased nasal drainage and nasal drip in the back of my throat, sometimes slight eye swelling, slight cough.	NEGATIVE
I cut out both but something is still causing this reaction.	NEGATIVE
I don't drink soda.	NEGATIVE
I cut out wine.	NEUTRAL
What else is out there that is similar to coffee and tea that would be causing it?	NEUTRAL
I can't figure it out and it's driving me crazy!	NEGATIVE
Thanks.	NOT_LABELED
I also will get these symptoms after drinking coffee regularly for several days:  sore/swollen throat, increased nasal drainage and nasal drip in the back of my throat, sinus pressure and eye swelling, slight cough.	NEGATIVE
I love the taste of coffee but have given it up and feel much the better.	POSITIVE
I guess I have the extreme end then.	NEGATIVE
I have been deadly allergic to the coffee bean protein all my life.	NEGATIVE
Like peanut allergy smell, contact or taste will cause my lungs to cease in minutes.	NEGATIVE
Death is imminent in 10 minutes.	NEGATIVE
I cannot go near coffee shops as I would need a type 3 bio hazard suit and that would cause a huge problem.	NEGATIVE
I am not kidding either I really am that dangerously allergic to coffee.	NEGATIVE
Some kinds ill pass out if i smell it in minutes while others ill cough a lot and manage to get out of range.	NEGATIVE
It's not a caffeine issue as I can drink tea no problem I was told im allergic to the coffee bean proteins themselves.	NEUTRAL
Investigate dairy products such as milk and cheese.	NEUTRAL
Include cow's milk versus goat's milk, etc.	NEUTRAL
I have asthma and my son inherited it from me.	NEGATIVE
He mentioned the connection and I am checking it out now.	NEUTRAL
So far, for me there does seem to be a strong parallel between consuming dairy products from a cow and asthma (and phlegm).	NEUTRAL
Interesting thread with great comments ....	POSITIVE
I am allergic to coffee as well.	NEUTRAL
If I drink one cup, I will be with fever and fatigued in bed for two days.	NEGATIVE
Perhaps it is the metal content; however, I do not experience hives, rash or swelling.	NEUTRAL
I have not drank coffee or related products for three years, yet I am frequently exposed to many metals and have not experienced any allergies to them.	NEUTRAL
You are the first person I've heard about in my Google searches so far who's got a true IgE food allergy to the coffee bean.	NEUTRAL
Thank you for sharing your experience!	POSITIVE
My 20-month-old son got a tiny sip of a black coffee drink (no milk or other ingredients added) and almost needed his EpiPen Jr before his reaction stopped progressing on its own.	NEGATIVE
His face, back, and chest got littered in hives, even his eyelids.	NEGATIVE
His eyes got all red and itchy, and his nose started running off his face, which induced some sneezing and coughing.	NEGATIVE
He then acted very cranky and off, and even felt fevered, for the next two days.	NEGATIVE
He has an appt this Tuesday with his allergist to verify the coffee bean allergy.	NEUTRAL
He's already very allergic to peanuts, nuts, eggs, and dairy, so I don't know how in the world we're adding a potentially anaphylaxis allergy to coffee, of all things.	NEGATIVE
It's everywhere when you really think about it!	NEUTRAL
Thank you so much for posting your experience.	POSITIVE
I have pretty much the same history as you!	NEUTRAL
I've known for years (probably about 10) that coffee is not too good for me, but I am so addicted to the smell and feel of it.	NEGATIVE
I could practically reiterate my experiences as your own so I won't bother.	NEUTRAL
I am currently trying to quite right now.	NEUTRAL
Please wish me luck.	NOT_LABELED
I am so done with having these allergy attacks.	NEGATIVE
Drinking decaff seems to help marginally.	NEUTRAL
I am so tired of the constant post nasal drip.	NEGATIVE
But as a new mother, this last year has been very difficult for me to stop with the increased stress and insomnia.	NEGATIVE
Black tea sometimes gives me headaches and even non-caffeinated rooibos gives me headaches and dry mouth.	NEGATIVE
Thanks again.	NOT_LABELED
I will try to post again once I quit for a while and observe the outcome.	NEUTRAL
I just found this post on coffee allergy and this seems closest to what I have.	NEUTRAL
I'm 45 and on/off have been drinking coffee.	NEUTRAL
In the last year, at least once a week I've had a very bad allergy attack similar to hay fever.	NEGATIVE
Stuffy nose, congestion, headache and sneezing.	NEGATIVE
It happens so frequently I was ready to go to the doctor but before going, I wanted to start tracking my daily behavior to narrow down what could be causing it.	NEUTRAL
I drink wine, I smoke - I'm sure it could be any number of things.	NEUTRAL
I stopped wine for a while and I was still getting them.	NEGATIVE
I cut out cigarettes and was still getting them.	NEGATIVE
Then one day, I decided to switch to tea instead of coffee and within one week, I wasn't getting the allergy attacks anymore!	POSITIVE
There is very little online about the type of coffee allergy I've been experiencing but in doing some initial research, it looks like this is developing over time and perhaps its not an actual caffeine allergy as it is something to do with the coffee or it's processing methods.	NEUTRAL
I think more research needs to be done in this area..	NEUTRAL
There is a link between coffee sensitivity and gluten sensitivity!	NEUTRAL
If you have gluten problems then it is very likely that the protein found in coffee is causing you the problems!	NEUTRAL
You may not be able to digest the protein in coffee that is similar to the protein found in gluten.	NEUTRAL
I developed this same problem!	NEUTRAL
I am gluten intolerant!	NEUTRAL
I began to realize that after drinking coffee, I had the same symptoms of swelling eyes, nasal drip and itchy ears!	NEGATIVE
After doing a little research I came across a few articles about coffee and gluten sensitivity!	NEUTRAL
Google coffee and gluten sensitivity!	NEUTRAL
I love coffee and this was very disappointing for me!	NEGATIVE
I now drink a coffee substitution and feel much better!	POSITIVE
It was tough to give up coffee but my immune system was really working over time trying to fight off the immune response of my system trying to digest the protein in the coffee.	NEGATIVE
I now realize I have a coffee intolerance just as I have a gluten intolerance.	NEUTRAL
It's the inability to digest the protein in both.	NEUTRAL
Hello everyone, I am a 40 y.o. musician and I enjoy a healthy lifestyle ( balanced diet + daily exercise).	NEUTRAL
My health is good except for a recently diagnosed intolerance to Tyramine.	NEUTRAL
For ex. if i eat a few slices of salami on an empty stomach it will trigger an attack, which is always the same : i get a really fast heartbeat + increased blood pressure + nausea 15 mn after ingestion.	NEGATIVE
Sometimes the heart palpitations last for 1/2 h ( 120-130 bpm), and the nausea + lightheadedness will last for a day, it depends on the type of food, if i am tired etc...	NEGATIVE
I am 99% sure the culprit is Tyramine, which is a natural amine found in all foods but much higher in foods that are aged, fermented, pickled  ( salami, cheese, sauerkraut, smoked salmon, anchovy paste ), in foods that have been stored for a long time ( nuts, dried fruits) and also in overripe fruits like bananas, oranges and avocados.	NEUTRAL
The list of foods I was reacting to was so eclectic, I couldn’t find the link between them for a long time, it was very perplexing and scary and i lost a lot of weight.	NEGATIVE
I did a lot of research, started an elimination diet and asked many doctors before a neurologist mentioned the cheese migraine symptoms to me.	NEUTRAL
Later I found a list of Tyramine loaded foods in which I recognized every single food that had triggered an attack after I ingested it.	NEUTRAL
There is no test to confirm my theory but since I eliminated these Tyramine loaded foods from my diet I feel much better and less terrified of eating, and I am even putting some weight back on ( 112 lbs for 5’4”).	POSITIVE
Soon hopefully I will feel strong enough to start reintroducing these foods into my diet in very small quantities to get myself desensitized, unless of course one day I wake up free of this strange condition that appeared for no reason and might disappear the same way.	POSITIVE
I guess what is very puzzling to me is the fact that this sensitivity appeared out of the blue, that the symptoms are so violent and that I DO NOT get migraines.	NEUTRAL
People who have problems with foods high in Tyramine usually are either migraine sufferers and/or on antidepressant ( MAOs).	NEUTRAL
I do not take any medication and my symptoms are always exactly the same 5 to 10 mn after ingesting the culprit food : tachycardia + hypertension + tremors + nausea and sometimes light headache when the attack is really bad.	NEGATIVE
After having had about 14 attacks within the last 12 months it is such a relief to be able to eat again !	POSITIVE
So I guess now my goal is to put the word out and ask as many persons as possible is they have ever heard of a patient with the same symptoms, which is why I posted this text.	NEUTRAL
Does anyone have the same symptoms or know anything about Tyramine ?	NEUTRAL
I think tyramine effects glucose uptake and insulin sensitivity.	NEUTRAL
The heart reacts to changes in insulin levels, which can cause the palpitations.	NEUTRAL
Perhaps you are becoming more insulin sensitive, for some reason?	NEUTRAL
Congratulations on finding the culprit causing your symptoms!	POSITIVE
Great sleuthing!	POSITIVE
Hi, My daughter has the same thing (tyramine) and within 36 hrs of eliminating it in her diet ALL her symptoms went away ..	POSITIVE
migraine/joint pain/loss of concentration and word retrieval issues.	NEGATIVE
It took about 3 weeks into a total food elimination diet thru her allergist to find both tyramine & sulfites.	NEUTRAL
And, this was 10 yrs ago.	NEUTRAL
Today ..she avoidds and is fine.	POSITIVE
We were told it is most likely a severe intolerance and not a true allergy in my dd's case.	NEUTRAL
I have the same since a year, and cured since 4 months.	POSITIVE
the diet is severe, but I'm getting weight as replacing many things by other things which are sugar based probably.	NEUTRAL
I'm taking pills too (against hystamine) : Xyzall, 3 times per week.	NEUTRAL
There is well a test, the firts one is small capsules against the skin, then they check reaction after 2 days, than 4 days, and one on the skin with a drop of reactant, then they pick and see the reaction.	NEUTRAL
After 2 months, it has decreased already due to the removal of bad food (pork, potatoes, tomatoes, cheese, all thinks that can get old and ferment).	NEUTRAL
According to doctor he expect me to go back to normal life after 12 to 24 months.	POSITIVE
My main problem was oedema, mainly of contact.	NEGATIVE
I'm 52 years and Belgian.	NEUTRAL
I experience chest pains very soon after eating dark chocolate, shark meat, bison meat, aged cheeses (cheddar, etc.)...	NEGATIVE
it is so consistent and predictable.	NEUTRAL
I also used to get migraines - but just chest pains.	NEGATIVE
They go away after a few minutes, but I still have to learn to curb my portions of high-tyramine foods.	NEUTRAL
I have a severe intolerance to Tyramine, and maybe other things - who knows?!	NEUTRAL
I realised what it was over 14 years ago, but know the symptoms were there for about ten years previous!	NEUTRAL
The only things I can eat now without succombing to severe and prolonged pain are:  pasta, carrots, parsnips, peppers, apples, melons and pears.	NEGATIVE
Over the years it has gotten worse, the list didn't start out this short!	NEGATIVE
And I've lost about 3 or 4 stone over time!	NEUTRAL
I've asked for help repeatedly from my GP, but they're not interested and just say that there is nothing they can do.	NEGATIVE
And I keep getting worse.	NEGATIVE
What do I do ?!!	NEUTRAL
I am a migraine sufferer myself.	NEGATIVE
Now I am intrigued and will definitely do some research about Tyramine.	NEUTRAL
I do have food sensitivity issues as well, so this looks like a worthy research to do for myself.	NEUTRAL
I never heard of Tyramine and the neurologist never mentioned it before.	NEUTRAL
tyramine is a catecholamine releasing agent.	NEUTRAL
tyramines sends my blood pressure sky rocketing(hypertensive crisis) and then i start vomiting, usually all day.	NEGATIVE
i have had this problem all my life and only found out about it last year.	NEUTRAL
i will be 64 in November.	NEUTRAL
i wished i would have learned about it sooner.	NEGATIVE
Yep, tyramine intolerance does affect migraines and IBS.	NEUTRAL
I had already eliminated many foods in that list because of preservatives for me.	NEUTRAL
I have stayed away from high tyramine foods and that helped.	POSITIVE
Through my research I have found that gluten intolerance is actually a part of tyramine intolerance, so I recommend that you also eat a gluten free diet.	NEUTRAL
It made a huge difference for me.	POSITIVE
I had the same thing begin suddenly in 2014.	NEUTRAL
I am healthy eater - or so I thought.	NEUTRAL
After trips to doc and a couple to the ER I found that eating fresh food - not eating canned or pre-packaged eliminated most symptoms.	NEUTRAL
My research uncovered a ton of info - I hope that you find this helpful: Regular coffee, tea, and soft drinks are on the list of things to avoid.	NEUTRAL
Not sure about decaf.	NEUTRAL
Canned and packaged food contains sulfites, Nitrates and preservatives that trigger symptoms.	NEUTRAL
Aged meats such a salami, pepperoni bacon, jerky, sausage, hot dogs should be avoided.	NEGATIVE
Anything femented, aged can cause problems.	NEGATIVE
Beer, wine, aged cheese, Seeds and nuts cause problems for those with the sensitivity.	NEGATIVE
I also eliminated bread as yeast is a trigger.	NEUTRAL
Another trigger is Soy - soy oil is in many things so be sure to check ingredients.	NEUTRAL
Bottom line is I now eat only fresh beef, poultry and fish.	NEUTRAL
If not eaten within 24 hours of cooking I freeze.	NEUTRAL
If not cooking within 24 hours of purchase I freeze.	NEUTRAL
I eliminated Irish potatos but still eat red and sweet potatos.	NEUTRAL
It's a pain but sticking with the freshness rule keeps me symptom free.	POSITIVE
Unlike your symptoms mine lasted for days and often did not occur for up to 48 hours after eating a trigger food.	NEUTRAL
Doctors say developing allergies and sensitivties as we age is common.	NEUTRAL
Tyramine sensitivity can only be treated by diet - I wonder if it ever goes away.	NEUTRAL
As furballsmom stated: Gluten may be an issue.	NEGATIVE
I had to eliminate wheat too and no more peanut butter - dang.	NEGATIVE
Bottom line is I eat like a cave man and so far so good.	POSITIVE
I have recently discovered that I too am suffering very severely and suddenly to Tyramine.	NEUTRAL
I have had many visits to the ER with Hypertensive Crisis.	NEGATIVE
I think mine came on after I started drinking Kombucha for the probiotics.	NEUTRAL
Perhaps I drank too much of it and got some kind of Tyramine Overload.	NEUTRAL
At any rate, it's been hit or miss but I am trying to be careful.	NEUTRAL
Can you give me a list of ""safe"" foods?	NEUTRAL
To give you an idea what foods are considered ""unsafe"", I quote from Wikipedia: ""Tyramine occurs widely in plants and animals, and is metabolized by the enzyme monoamine oxidase.	NEUTRAL
In foods, it is often produced by the decarboxylation of tyrosine during fermentation or decay.	NEUTRAL
Foods containing considerable amounts of tyramine include meats that are potentially spoiled or pickled, aged, smoked, fermented, or marinated (some fish, poultry, and beef); most pork (except cured ham); chocolate; alcoholic beverages; and fermented foods, such as most cheeses (except ricotta, cottage, cream and Neufchâtel cheeses), sour cream, yogurt, shrimp paste, soy sauce, soybean condiments, teriyaki sauce, tempeh, miso soup, sauerkraut, kimchi, broad (fava) beans, green bean pods, Italian flat (Romano) beans, snow peas, edamame, avocados, bananas, pineapple, eggplants, figs, red plums, raspberries, peanuts, Brazil nuts, coconuts, processed meat, yeast, and an array of cacti.	NEUTRAL
So, once you have eliminated these foods from your diet, the rest might be considered ""safe"".	NEUTRAL
But don't bet on it.	NEUTRAL
Allergic reactions do not affect everyone in the same way.	NEUTRAL
After eating peanuts and cheddar cheese with my lunch I suddenly had a terrible ""sinus"" headache.	NEGATIVE
It was so bad that my top teeth were aching.	NEGATIVE
It led me to google,do peanut and cheese cause headaches.	NEUTRAL
I discovered they both have tyramine and if sensitive can cause someone to get headaches.	NEUTRAL
The question also led me here in the hope to get more answers.....	NEUTRAL
Hi there, We went out for dinner a week ago, I always have Oysters for entrance and this time was no different.	NEUTRAL
But after I ate 2, I felt a bit giddy and nauseas and stopped.	NEGATIVE
Next day I noted I have a rash over my neck, chest and upper body.	NEGATIVE
