title,isEdited,rating,userName,review,date
Needs improvement.,False,3,MMMM1011,"I do like the app,but there are improvement that need to be made. For example one of the my most used feature is the messaging. Most of the time it’s easier than making a phone call however I can’t see the message until 2 hours after it was sent even if I check the app constantly. If my doctor sent me a message at 3 o’clock I won’t be in my inbox until 5 which is a frustrating inconvenience. It would also be helpful if I could get a notification when I get a message as well.  The telahealth visit through the app is hit or miss and my doctor and I often have to do it another way. If the developers take one thing from this review to fix please fix the messaging lag.",2020-07-30 21:50:25
Useless!,False,1,BallisticsGirl,"I use this app for my neurologist. Out of all the specialist I see, it’s one of the two most important! I haven’t been able to get an email response from my doctor’s office since 2017 via the app! 
What you see on the app:
- Some of your records. 
    -you cannot open your lab results, or anything like that though. 
- Maybe half of your medications that you take from other doctors. 
- Appointments (this feature I’ve never had trouble with). 
- As I mentioned that it’s been two years since I’ve received an email from my doctors office via the app or even to my personal email... I can’t tell if the office is even getting the emails from the program, or if the new MAs are even aware of the program! (This makes me miss the people that left office.) Or to be honest if my doctor is even aware of the program! 
My pharmacy gets notes from my doctor to give to me about seeing him immediately, yet his front desk balks at that notion, so when I try to contact my doctor via the app to let him know... there’s always radio silence. 

Then to make things worse, you cannot reply to an email thread. It has to be a new email. Therefore, no one can keep track of vital information such as seizures or anything of the like! 

I wish my office would switch to a more efficient program, or that Healow would fix their glitches for the sake of doctors and patients alike.",2019-08-19 15:11:49
It’s a useful app when it wants to work,False,2,garbagesquid,"I like being able to connect to my doctor without needing to cal and monitor my lab results and medications on here but the app itself is extremely buggy. Right now I can’t even log in using my pin, it’ll take me to the Home Screen and then immediately back to the pin Lock Screen. After entering my pin again, it’ll tell me an error has occurred. 

Not only that but messages never load properly, and you cant reply outright to any messages, you have to go in and create a brand new message to send out. The hit points of each button aren’t properly placed so you have to make sure you hit dead center (sometimes not even dead center) in order to click on certain names or access files. This is lack of basic design knowledge. 

Overall the functionality and the UI design of this app fails in a lot of ways and I feel the only reason why this app even still exists is because it’s a necessity for patients like me to use. That’s not a good business practice at all. You’re doing less than the bare minimum of whats required to have a functional app. Whatever bugs you may have fixed generally end up causing more problems. 

Please hire a team that knows how to integrate functionality into design.",2021-09-23 17:00:48
Heading in right direction,False,4,aprilpatt,"This app has a lot of excellent features, and I especially appreciate the efficiency of communication it allows between me and my children’s pediatrician. I have been using this app for several years now, and the main thing I‘d ask you to improve is the messaging. Parents/patients need the ability to reply, and to also see the original sent message. It’s really frustrating to have to completely start over a message each time a response is needed, and to not even be able to refer back to the original/other follow-up messages. ... Other than that, the app’s features are really great. Love the access to all records, lab reports, health logs, visit summaries, etc. UX is intuitive and simple.",2020-07-06 13:33:56
Messaging system is awful,False,1,Tuireann,"The app in general feels clunky to use. But the main issue I have is that the messaging system is difficult to keep track of. As far as I can tell, there's no way to see messages you've sent to your providers. Similarly, you cannot reply to messages you receive from your providers. The end result is that I can never remind myself what I've already sent to my provider and when, and in every new message response to my providers I have to explicitly reference the context that I'm messaging them about.

Simply adding an outbox, and the ability to reply and create essentially ""email threads"" would massively improve this glaring issue. This style of messaging has been around for ages because it works well for most cases. It'd not groundbreaking. That it's not already a basic feature of the application despite it being the year 2022 is absolutely baffling.",2022-04-26 16:08:21
Poor interface,False,1,MidCityJB,"Dealing with medical appointments and test results can be stressful. The Healow app test results section looks like someone typed it on an old-school keyboard. Unless you are very familiar with medical terms, it is not intuitive. Other major providers in my city use the MyChart app where in contrast the user interface is a breeze to navigate and visually appealing test results which makes it easy to understand your results. i.e. easy to understand if there is reason to be concerned. The Healow app is slow to respond whether you are on Wi-Fi or the network. When you get notifications via email, the information isn’t in the message on the app. It often says “oops”. Sad that a wealthy institution like Tulane University in New Orleans would use such a poor application. When I expressed my frustration with navigation within the app, staff at the clinic laughed and said “no one uses that app, just email us.”",2021-03-03 03:39:56
"The best app, for the very best Doctor.",False,5,LoganRexLoveless,"I’ve seen my doctor going on over 10 year. 
 The problems I have were so huge that it would overwhelm most doctors, not this doctor. He saved my life and I’ll always be happy and respect him, not only him as as a person, but I’ll always trust and respect his treatment and medication plans. Not only has the treatment he has given me works l, but I’m no longer the sick and dying person that I was going to be. This app shows all the meds I’m on, it shows so many things that makes me feel like my doctor is always an app away. So thank you, Healow, for letting me write this to show just a little of how I feel about my doctor and this app. 
   
   Thanks Again, 
    Steven S.",2018-06-23 01:00:23
"Good idea, poor execution",False,1,Zvi Aranoff,"I have this app on my phone because it’s used by my daughter’s pediatricians office. In theory, I could see on it appointments, medical information, communicate with the pediatrician, etc. In reality, however, I find this app to be completely useless. Either the problem is with the app itself, or with how it’s linked to my doctor’s website. Either way, messages don’t open up, I don’t see appointments, I can get records, etc. Basically, it doesn’t do anything it purports to do. For example, I can see on the app that my doctor replied to me, but the messages don’t open up. Or they take so long to open, that I get frustrated and just log on directly to my doctor’s website and read it there. As a result, I don’t actually use this app. I check it once in a while, to see if anything changed after an update, but I end up resorting directly to the doctor’s website.",2018-02-08 12:41:23
Great concept but hard to use and sometimes dysfunctional,False,3,StealthyKhajiit,"I rely on this app to communicate with my doctors quick and effectively and it’s really nice, although sometimes I won’t be able to read emails from my doctor, as it cuts them off and the message won’t expand. When that happens I have to try to copy it and paste it in my notes app to read it. 
Also, when you try to compose a message and you back out of it, it completely deletes everything and you have to start over. A drafts option would be nice. I do really think that this app could become better with some work and it has potential, but for now I’ll deal with the bugs and irritable occurrences since I need the app lol",2021-02-03 02:06:35
No Apple Health Intergration,False,1,Mattl121212,"Really think this app needs to interface with Apple Health.  The nature of this app is a digital link to one’s medical providers.  Why not connect with iOS’s central repository of health information?  No better way to share health data measured outside the office with one’s doctor, and to push vitals from official medical appointments / tests back to Apple Health.  IMO this needs to be integrated to be a great iOS app.

Less critical, but I would also challenge the dev team to find creative ways to encourage medical offices to use the full features of the Healow system; mainly the entering of vitals and test results into the system.  My PC doctors office seems to only use Healow for appointments as of now, and I have a feeling others are doing the same.  Suggestion above of sharing data with med office from Apple Health may encourage them to do the same on their end.",2021-02-11 14:41:36
Worthless,False,1,7arheel88,"This app is a waste of time and effort. I can access my information by logging directly into the Healow website, but the app has no data. I can log into the app, but there is nothing there... no appointments, no lab results, no messages, nothing. I can see all of this information on the web so I know it should be there. Support has been unhelpful. They send emails apologizing and asking me for details about my problem. I tell them the problem over and over and over again. Their only answer is to uninstall and reinstall, which I have done 3 times. Still, the same problem of no data in the app. Last email, they want me to ask my doctor’s office to open a case with them. What?  Are you kidding me?  If you can’t solve this problem with one support ticket, how does a second support ticket solve anything. Don’t waste your time. The app does not work",2019-04-24 00:26:25
Awesome app for those that live long distances from your Dr.,False,4,troyalee,"I have had pleasure of using the app since it’s inception. Just the ability to request prescription refills alone is Very accommodating. Having your clinical I.e, blood work results at you fingertip, doctors comments and suggestions on improving your healthy life imbalances. Doctor patient communication is enhanced allowing doctors to address patients current and possibly additional concerns or issues that he or she may get answers from dr on the portal. Access to : heath and prescription records, labs , schedule office visits, get referrals, etc...  I live 4.5 hours away. Great time saving , informative app.. believe me not too many medical centers are progressive in their patient come first approach",2018-11-14 04:27:10
Shocked how helpful it is!!,False,5,Supernatural witch,"I’ve only used this for about 3 mths. I have a TON of scripts due to nerve damage, high blood pressure and now liver issues because of the long term medications that I need. I never remember when I’ve made my next app & I always lose the cards. This has everything in one place. Finally!!! Plus my doctor’s office is able to answer day to day questions, refill non-narcotic medication and I am able to find out about past visits all together. I have a lot of health issues so I find this VERY helpful. If you are the same or have an elderly parent/family member this will make life so easy. Only 4 ⭐️ because I haven’t figured it all out.",2017-09-26 03:04:56
No point to have app,False,1,Joker Loco 562,Can’t communicate with the doctor. Can’t reschedule appointment can’t message or see anything. This app is pointless. The doctors office is now closed on fridays. Never notified of this can’t reschedule an appointment within 24 hours to avoid extra fees even though I’m trying 4 days in advance. Even the app can’t reschedule for you. The only thing you can see on this app is that you have an appointment scheduled. Any other things it claims to have as a feature it doesn’t. Even messages from the provider are blank. The developer of this app needs to lay off the drugs a bit to make a working app. Since the last time there was a issue they claimed to work on it. After the update all they did was delete more features. This is stupid. Lay off the crack ok. Get your head straight or just delete the app entirely.,2022-01-21 20:32:41
Absolutely awesome,False,5,Deafie_b,"I like having this option to tell my doctor something that is on my mind that I might forget by the time I go for my appointment. 
Sometimes it ends up looking like a chapter of a book, but it saves him time when I am there, bc he knows already and is prepared to take care of the problem. If I had not sent a message, I would be in the exam room longer, taking up some time that should be for another patient.
I did have a problem with not being able to send bc of commas, etc.  after telling the receptionist at the office she gave me a phone number and I called, got it taken care of and now have no problem.",2019-02-28 17:21:09
Great app,False,5,aflette,"I love Healow, I really do. It's a great app, but my only complaint is that when you're sending a message to your doctor/nurse or whoever, it doesn't allow you to use apostrophes. It says ""special characters like ' are not allowed."" Is there any way to fix this?? Because I type contractions more often than not without thinking and autocorrect fixes it too if you don't put it in, and separating out all the words or taking the apostrophes out is really annoying and takes more time than necessary. I know this is a minor thing but it's SUPER annoying. 

But regardless of that it's still a great app that I would recommend to others.",2018-06-19 20:16:09
Excellent portability if you have more than one physician,False,5,KS Flatlander,"I like having all my lab values available so I can just hand my phone to a new doctor to view any needed lab data directly.  Text messaging directly with doctor’s nurse has given me fast direct access you would never match with phone calls.  Appointments are easily verified by dates & times if you forget. In addition, appointment reminders can be sent to you as well.  Medication records are continuously available for your convenience and easy to update by you and your physician.  This is a concise, easy to use medical program everyone will appreciate.",2018-03-18 11:44:46
"Terrible app: Missing functionality, confusing UI, and little active development",False,1,PreppieTechie,The user interface is super weird and doesn’t follow any of the best practices for mobile user interfaces. The interface looks like something from the early 2000’s and is a confusing mess. My doctor doesn’t use half of the features (because the doctor’s interface is equally bizarre and confusing) so this app is little more than a messaging portal. Even my lab results show up as a message because the doctor’s office can’t figure out how to use this thing. Even basic features like Apple Health integration is missing. Need to share your Apple Watch ECG results? Nope. Want to share activity? Nope. Doc wants regular weight check ins? Nope. This app is a prime example of why our healthcare system is a mess. Health orgs are paying too dollar for this hot mess.,2021-12-02 03:07:53
App is not accessible for visually impaired users,False,1,Cindy19691984,"This has become the go to app for many of my healthcare providers. And because of that fact, this app needs to become ADA compliant. I am a visually impaired client and I use a screen reader, iOS VoiceOver, to navigate all apps. I cannot check my medical records, prescriptions, vital information or do anything with this app. I am also unable to share my medical records amongst my various providers. This is put me in a very precarious situation, healthwise. As previously mentioned, this is the go to app and my providers expect that I am able to provide them information using this app. It’s egregious that this app is not accessible. Also, the fact that I was emailed a response stating the fact that the app is not accessible, makes you liable. This app needs to be fixed. It needs to be made accessible.",2021-11-15 20:40:03
Lousy app,False,1,PwrTek,"My doctor’s office adopted this app. I downloaded it and went through the process of checking in for an upcoming appointment. As part of the checking process, I was asked to verify my current medications. If there were additional medications, there is a place to list them. I noted the additional medications I was taking and clicked to go to the next step. I got a message that indicated I had apparently included a character that was not acceptable. Instead of highlighting what the software did not like and giving me a chance to correct it, the software just wiped out all my input. I reentered the info using only alphabetic and numeric characters and spaces and the app did the same thing. It again erased all the info I entered, again with no explanation as to what the app found to be offensive. In today’s world this is pure garbage programing.",2020-11-05 00:55:29
Communicating With Your Doctor At Your Fingertips,False,5,Eyecare2020,"This is the first doctor’s office that has  offered this awesome way of communicating with my doctor and staff. Healow is user friendly, even for senior citizens. It’s been a breeze. Explore the features this awesome app offers and take advantage of this wonderful tool. I can see my test results, contact nurse if we need a doctor’s note,etc.  you can even schedule an appointment through this wonderful app. You have a balance? You can also pay your balance off through this app! I wish all of my doctor’s offices offered Healow. Love! Love! Love! Healow!!!",2022-04-07 02:43:08
Referring Dr Brown,False,5,Tink 1966,"I was in need of a new Doctor ASAP and found this group of doctors.  I had such nerves about having to find a new family doctor.  I came across the 
Houston Primary Care group and was extremely pleased with the staff in Byron.
I made an appointment and was seen that next day.  I am so pleased with the staff that I’ve worked with.  I was afraid to make the switch, but I am extremely impressed with Dr. Brown and his staff.  I was made to feel right at home, like I had been with them for years.  From the front desk to Henry in the back office.
     I would recommend this group and 
Dr. John Brown to anyone who is looking to have a true Family Practice.",2019-06-17 15:25:17
Nice to have my information readily available,False,5,Nicknamedddddddddd,"I feel bad for the person who can’t get it to work. Maybe it has something to do with area of the country???
Anyway, it works for me. 
I have used many features. I can request an appointment or prescription refill. I can review my lab results. I can see upcoming appointments. That’s about all I need to do. 

I have not needed to attach a file to send to my dr, so I can’t help the frustrated person with that. Hopefully, the app designers will correct that unfortunate dilemma, because sending info documents to doctor is a necessary and usual task.",2018-12-02 12:51:34
Notifications don’t work,False,1,SmilingEyes222,"When I’m writing messages back and forth to my doctor over a period of a couple days, it would be nice if the notification feature actually worked. When new messages from my doctor come in, I am not notified in any way unless the app is actually open on my phone and I am looking at it. If I am just using my phone as normal, I do not get any badge, banner, or sound notifications indicating that I have a new message waiting in the app. So really how is that helpful to those of us who use this app regularly with our doctors’ offices? It is really a waste of time to have to keep re-opening the app to check for messages from my doctor (which load very slowly) when I should just be able to receive those push notifications like any other app that I use on a regular basis. Please improve this!",2018-12-03 16:31:26
Application seems to have never been tested,False,1,UNIXSV,"First and foremost how this application was allowed to be released when simple system testing of this application would show the many flaws it has. When the company says this is useable application on the iPad I would disagree. For one when initially logging in you cannot rotate the app so you can use a keyboard with it is as a normal event. It seems the company that produced this did not use the patients they were creating this for to help test it. Second when trying to make sure you can connect for a telemedicine visit there is no way to test, so you really can’t be sure if you will make your appointment. Third, were is the patient data, I sure can’t find mine? Medical practices should get their money back for all the help you get from this.",2020-12-01 21:03:37
App on my iPhone isn’t compatible with my Apple Watch?,False,1,If everyone cared,"I don’t know why the developer wouldn’t list the Apple Watch as a tracker option. Everyone downloading the app on here has an iPhone and I would imagine most also have the Apple Watch. I would like to track my health and share with the doctors but I don’t want to spend money for something else.

The message feature on here is a little frustrating, you can’t reply to your own messages which I’ve wanted to multiple times to clarify what I wrote. Would be really great if that was updated.

I also keep getting notifications of new messages in my inbox but there aren’t any there and when I click the notification it brings me to the home page of the app. Might just be a bug that will fixed in the next update.",2020-11-21 13:00:37
Not user friendly,False,1,The Mrs. Suttle,"For me the biggest and most frustrating issue in this app is it’s messaging feature. Besides the fact that you cannot use simple punctuation, like apostrophes, you also cannot reply to your doctors messages. You have to start a whole new message, there is no threading of conversation ability. With a special needs child we sometimes need to go back and forth about things. This helps avoid bringing him into the office where there are sick kids that could pass him germs. A simple cold has almost cost him his life in the past, as he cannot manage the mucus/congestion that comes with one. 
Seeing records is difficult at best. Tests results come in, eventually. But not always in a timely manner. 
Good luck with the app! I hope they make it better as it COULD be an invaluable resource. As of now, it’s just a pain.",2018-10-23 20:59:22
"hacked? Patient data compromised? Doesn’t work, no support",False,1,Hopula,I have an existing Healow account with my orthopedic Hospital (McBride orthopedic OKC). When I try to link into the account on the app or using chrome or Firefox on my laptop I get an eClinicalWorks error that the request could not be served due to an internal processing error. Also my wife has an upcoming appointment at McBride and they sent her a link to access the portal and that link gives the same error messages. We have tried this on two different windows laptops using chrome and Firefox and we have tried it on two different iPhones and one iPad. I have tried contacting the tech-support at Mcbride Hospital and they have no idea why it is not working and say it will be next week before they have an answer. No way to run a railroad!,2021-06-22 03:27:14
Sad changes ...,False,3,trying my best to be patient,"So sad Dr . Lin is no longer w us , but even more sad is that he was very sick and fought hard to be in his clinic to care for all of us ( his patients ) every day ❣️It’s been quite sometime now and the new team is working very hard for all of us ...still it is such a mess !!! Getting prescriptions is nuts ... Dr . Madan and his team really have their hands full —- I am praying for each of them and surely this is gonna get better in every way ... really don’t wanna start at a new office !!! Bert and Ms Karen at the front desk r angels , they always make you feel welcomed and cared for !!! Please pray for Dr . Madan as he gets the kinks worked out ....I know he is trying so hard to accommodate everyone .",2019-08-29 00:04:00
App Review,False,5,Billy Albornoz,"This app is absolutely terrific because of the ways that it works and because of all that it has access to. They should really look into making sure that the company that created this kind of app always keeps up to date with the ways that the medical field in general works, so that therefore, no matter if anything at all changes within the industry itself, then all doctors, regardless of the part of the medical field that they’re in will always be able to be up to date with everything as far in advance as possible.",2018-08-21 20:18:05
Amazing app.,False,5,Tripl3_M,"As someone who forgets appointments or lose those little cards they give you at the doctors. This is great! I can check in and also confirm my appointment. Doctors can even message you with updates. You can even see lab results and even see referrals. When you click off the app logs you out which for confidentiality is amazing! 

***One thing I have noticed recently is that my appointments don’t show so I have to call and make sure I have one. (Maybe the app developers can fix that!) Other than that I love this app.****",2022-02-16 18:20:16
Frustrating and useless,False,1,Minakelly,"So Apparently I wasn’t registered and unrecognized as a patient by this app even I just see my doctor the day before. So I tried to ask question, no way to do so, looking for a phone number to contact with human being nope. No option for that. Went to the app, hey! They do have it! Nope it’s not fictional. And still no human option. In the app keep asking me to put PIN number, I ask to send them to either my phone or email, nada! Yes I check my junk too. Checked the app if it up to date, yup it is. This is why I need to work with human, not generated FAQ. Tried to reset, There is no way to reset. it’s so frustrating and terrible. I need my test results that I can’t even get it unless call the Dr. Office that closed and busy most of the time. 🙄🙄",2022-04-15 09:28:41
Way too many issues,False,1,Disability Access Matters,"I just read a review that clearly pointed out a major problem—and it was written two years ago. Yet nothing has changed!

You cannot reply directly to provider messages through Healow online. It is IMPOSSIBLE. Error messages come up every single time. The error messages state you’ve used characters that are not allowed—when you have not. You have to copy/paste your provider’s message into a a separate/new message in order to respond. As someone with a brain injury this forces me to spend more time on a screen than I can manage and is a nightmare. It’s completely unacceptable! 

Moreover, Healow Mobile used to have a passcode just for the app itself. Now it demands I set a passcode for my entire device. I don’t wish to do that. It’s annoying and also unacceptable. You don’t get to dictate how I manage my entire device.

Why did you remove the app passcode? Not ok. 

Fix these issues. I cannot believe someone wrote you a clear assessment TWO YEARS ago and you’ve done nothing. 

That does not leave me confident in your managing my health data, at all. 

Handle these problems.",2022-02-13 09:13:28
Lazy Customer Support,False,1,xMidnightArrow,"Got my name legally changed after a divorce, my doctors office changed everything on their end no problem. The Healow app customer support REFUSES to change my name in their system and claims that it’s a glitch and there’s simply “no way” to change my name once my account was set up. They also couldn’t create me a new account and link it to my doctors portal once my account had already been linked. I went back and forth with the guy for weeks, and all he was willing to do was close the support ticket marking it as “resolved”. People change their names ALL the time, so much so that it’s in the FAQs for most online accounts and such. I just simply cannot believe that it was impossible to resolve this issue, it was just laziness.",2021-01-20 23:01:17
"Below Garbage, completely and utterly USELESS!",False,1,TomThousand,"Will not correctly parse a password and let you login, even when you go to the website and reset it, even when you reset from the app, even when you say your prayers.  No way to access mobile app, no way to get help, no way to do anything except waste time and become frustrated.

My cardiologist could document the change in my EKG (my blood pressure distinctly ‘rose’) after trying to make this piece of junk work and I have over 30 years in the computer science field.

Even if the Apple app rating system supported negative 64 bit ratings (that’s right, below zero stars), I still couldn’t rate this laughable excuse of software lowly enough.  It’s a complete joke.  Do NOT waste your time!!  You have better things to do!  Like use a pencil!",2019-02-09 11:19:23
