title,rating,isEdited,review,userName,date,body,id,modified
Undisclosed results and unknown result sources,1,False,"You can have a long list of results and not know what they are referencing. Perhaps you had 10 different tests (blood, lung aspiration, urinalysis and so on) and each test had tested for protein. 
...The lab results will have 10 different protein results but you won't know what assay each are from.
Also:  not every test you go in for will populate to your portal. WHY NOT?!?  It’s my test, I paid... you better let me have the ability to view. This goes for certain pathology tests, neurological exams, fertility tests (including ultrasounds)AND many more!!!!  Why do you (Mayo Clinic) HIDE results from patients?  Why!!!?
I’ve updated review down to one star. You’ve had enough time to fix these issues.  One star is generous.
Notice no developer response to this date because for some reason Mayo doesn’t want you to have access to your entire result list and won’t attempt to categorize your test results. This is to control the patient, negligence, or do not care about patient needs. Would like to know which of these are/is the reason.",338 479 218,2018-07-29 17:52:30,,,
Not as functional as it should be,1,False,"Firstly, and most importantly, the notifications don’t work. All I receive is a badge on the app when all the possible notifications are selected (banner, sound, etc). To make matters worse, when you open the app to figure out what the badge notification is for, there isn’t any badge or obvious sign anywhere to let me know where to look for the new or changed information. I have to go through each area to figure it out and today, I couldn’t find anything. 

Secondly, the “coach chat” and “experiments” functions NEVER work. It always says “we’re sorry, something happened, but we’ll be back soon” then says to check my network connection. Believe me, my network connection is fine and as many times as I have attempted to use the function, it wouldn’t have been down every single time considering all my other devices work just fine. 

Thirdly, you cannot update anything within the app. I even received a message (after searching for what I was notified for) to update my allergies. I went into the allergy section and there is literally no way to update them. I tried long hold, swiping right, swiping left, and looked for a button to edit, but nothing was working. I waited until my appointment to do it there.

I really wish the notification thing would be fixed ASAP because it causes me the most anxiety that I’m missing something. Calling the Mayo Clinic every time I can’t figure it out is ridiculous.",amknbk,2018-06-07 17:49:22,"Amknbk, sorry the notifications aren’t working well for you.  We know how annoying it is when you expect something to work and it doesn’t.  The badge notifications in the version of the app you’re using are only alerting you to new content available in the Today feed of the app.  In a future build we’ll be enabling badges in the patient tab of the app to alert you to what has changed on your record - we’re not there yet though unfortunately.  So no need to call to figure out if something is changed based on that badge.  

The app doesn’t currently allow updating of medical record content.  We hope to add that in the future.  You can update your allergy information as part of the pre-appointment questionnaires and I suspect that is where that message you received generated from.

For coach chat and experiments - we can help you troubleshoot that - please send us an email with your username and brief description of this issue and we’ll try to help you get this fixed and hopefully improve our app for future versions. Our email is mcmobileapps@mayo.edu.  Thank you.",3930958.0,2018-06-21T20:00:42Z
Indispensable,4,False,"This app it’s a must-have for anyone going to Amati for a complex evaluation involving more than just an appointment or two. The app is updated in real time, reflecting any changes/additions to or deletions from schedule, test results, visit notes. You can also review and pay your bill, send messages and questions to your care team, check in for appointments, and more.

Why, then, not five stars? 1) In a couple of cases,, the app required me to go to the Web for full information. 2) App tech support and my medical team do not have a common understanding of the app’s capacity to accommodating patient uploads of documents.",JDATL,2020-07-10 22:46:44,,,
Alex-echocardiogram,5,False,"She is the only technician that has EVER taken the time to explain everything that was going on with my heart. I was diagnosed at age 26 with mitral valve prolapse. I just turned 60 and had been seeing a Dr. Kent Chen in Scottsdale. I went in complaining of my heart beating different and it was very irritating. He had an echo done and had me wear a Holter for 24 hours. I was told I had arterial fibrillation and he doubled my Ditazelem and put me on Eliquis twice a day. I asked when he would be seeing me again and he said “Oh you’re fine. See you in 6 months.” But I’m not fine. My heart still feels funny.
Alex showed me the screen and explained the extra beast is on the top  not on the bottom. I am so happy I am here instead! 
                        Lisa Collins",Leeses5,2020-08-03 17:51:32,,,
Medical staff,5,False,"The MAYO system in Rochester is the best..   I deal with oncology team, lung and several breathing teams.  Li May 3019  I was diagnosed in Sparta,WI with liver cancer, sent lacrosse, by February 2020 I had part of my liver removed by Dr Cleary and his team.  They never made me feel frightened.  And if the tumor hadn’t been found by Dr Baidry in Sparta I surely would have died.  During a CT scan for my liver they found a cancerous nodule in my lung which was removed in May 2020.  By Dr Blackmon.  They also found a cancerous nodule on what was left of my liver and Dr Schmidt removed it last week.  Theses teams are amazingly talented to include Dr Tracy Warsing and her teamm in Sparta.  I’m blessed with best Doctors and their teams.  I don’t know how long I’ll live but they all made life worthwhile.",bobpegsparta,2020-11-26 02:43:17,,,
The Best,5,False,"Where to begin? I have yet to find any bugs and that even after its new updated release. If only Microsoft devs were this good.

Appointments that can be RELIABLY added to your calendar directly from the app,  procedure descriptions along with instructions and notifications, the ability to directly message members of your care team, lab findings, health reports, etc., etc.

I only wish other apps worked like this. As a Mayo patient I strongly recommend downloading this app as it can really make life so much easier in a world where us patients have so much else to worry about. After all, you have the Mayo Clinic to stand behind it and as they say, the needs of the patient come first - and it shows! Highly recommended.",Snook37448,2018-04-20 03:06:12,,,
"Convenient, but bill pay rarely works properly",2,False,"This app is extremely convenient. In many cases it is required to have, as I have many appointments that get scheduled with absolutely no notification from Mayo. Luckily I pay attention to this app when I’m expecting a call to schedule an appointment, because it’s the only way I’d know.

The web version of Mayo’s patient portal does not work with anything except internet explorer, so the app is convenient for bill pay, when it works. The majority of the time the screen tries to zoom in and the user loses any action buttons that might appear. When I can get to the point of entering my information, there is no continue/submit payment button. It is extremely frustrating when most people don’t use IE now days, so the app is the only way to make a payment without having to call.",Misc User C,2018-08-31 22:32:09,,,
Peace of mind,5,False,"My dad recently visited Mayo Clinic and with family and work responsibilities, it was going to be too difficult for me to join him. I was able to use the app to get all of the information I needed, very detailed information and communicate with the drs and staff. It provided such peace of mind to know that I was getting all of the information I would have gotten if I had been there, without having to leave my family. Not only the app but all of the drs and staff at Mayo Clinic get a 5 star review from myself and my family!!! Thank you Mayo Clinic for all that you do!",m_draper,2022-01-19 03:38:32,,,
Good functionality but major flaws exist,3,False,"This app is loaded with good functionality, but there are big flaws where it matters most. My main issue is around notifications. I have enabled push notifications for appointments both in the app and via iOS settings; however, I never receive notifications regarding my appointments. No upcoming appointment reminders, no notifications of appointments being scheduled, etc.. it has caused me to miss appointments I was never knew were scheduled for me. I do receive notifications for test results and for bills... but not for appointments, so I feel this issue likely resides in the application.",grab some za brah,2020-10-20 16:03:34,,,
Help,2,False,"Too much fluff has been added to the app in which in most cases, has nothing to do with an individual’s own personal healthcare. To make matters worse, alerts to the app are received without any indication as to what the alert was for once inside the app. Did your medical records just get updated, a new message to you chart get added, or was a non-health related recipe just added? I think the patient portal should remain exactly that. If Mayo wants to put recipes out that pertains to the general public, then a new app should be made exclusively for that purpose and the patient portal should be enhanced for the individual patient. As a patient on the heart transplant list, receiving unnecessary alerts that do not pertain to my own personal records are not desirable to receive.",MeteorologistWannaBe,2018-06-10 02:43:53,"MeteorologistWannaBe, we’re sorry that you were disappointed!  We know how annoying it is when you expect something to work a certain way and it doesn’t.  We’ll be adding patient specific notifications about what’s changed in your record in a future release.  In the meantime - feel free to turn off the content notifications by going to Profile > Settings > Notifications and then switching off the content notifications.  That will stop you from getting notifications about healthy recipes or the other content in our Today feed.  It's always great to get feedback from our patients - feel free to to send us a note directly next time you have feedback or a suggestion for improvement.  Our email is mcmobileapps@mayo.edu.  Thank you.",3930881.0,2018-06-21T19:46:00Z
Draft copy of notes to staffBer,4,False,"When I write a note to my doctor or a nurse or whoever, if I get 1/2 way thru writing and have to look at something outside of my note then return to complete this same note, the 1/2 that I completed is gone. Would be really nice to have it saved for a reasonable period of time to finish it. Perhaps after a few days it would be deleted with that statement posted there as such. I re-wrote a note 4times S I had to reference other notes several times the other nite and it was very frustrating. Thank you for considering.",Social Coordinator,2020-06-06 05:10:56,,,
8.0 update issue,5,False,"Hi, just did latest release and it stripped my app of my daughters account and won’t let me even request to add her back in! I’m sure the updates were great but for now I wouldn’t know. Highly recommend a quick fix so that doesn’t happen to everyone who does the update. Also your AppStore link for app support goes to Mayo homepage, not very helpful :(
Another phone call to make tomorrow to fix the “fix”!

App has always been awesome, rated high I just wanted to share the 8.0 feedback",Rodgers>favre,2021-08-20 04:08:37,,,
Small but significant complaint,4,False,"I use the Mayo app all the time to access my medical info as well as my children’s, and to communicate with our doctors.  When there is a badge count indicating a new message, lab result, bill, etc, it is hard to tell what category the new information is in, and on which family members account.  I have to check each area to see if it is updated.  What if you had a small dot indicating the account the update(s) was in, and then another small dot in that account indicating which category had new information?",Naranjadia,2018-06-23 04:18:15,"Naranjadia, sorry the notifications aren’t working well for you.  We know how annoying it is when you expect something to work and it doesn’t.  The badge notifications in the version of the app you’re using are only alerting you to new content available in the Today feed of the app.  In a future build we’ll be enabling badges in the patient tab of the app to alert you to what has changed on your record - we’re not there yet though unfortunately.",4061850.0,2018-07-02T18:41:25Z
Mayo Clinic portal,5,False,"I have never seen anything as amazing as this portal system. Every record of every visit and extensive narratives of the appointments from the drs and other providers is available either the same day or the next. You can see the test results as soon as they come in. Notifications of new information are sent by email and text message, if you opt in, as soon as it is posted. EVERY hospital and medical provider should use this system!!",duldelaman,2021-07-29 16:23:23,,,
Excellent for patients,5,False,"As a patient, I use this app a lot to communicate with my doctors and care teams. It works well. My appointments pop up and are easy to reference. 

PROBLEM FOR DEVELOPER: just today when I opened the app while my phone was in dark mode, the app lost its white background. That is fine, BUT you have to make all the font change accordingly so it is legible. Specifically, if I go to “Messages” the drop down menus are unreadable because the text is black. Please fix!",Ashley in MN,2020-06-12 15:11:19,,,
"I really want to love this app, but....",3,False,"There is no way to set up notifications for when I get a message from one of my doctors. This is pretty important for me, and I just missed an important message when I happened to log in today. 

I realize that billing takes time and can change with insurance and all that, but nearly every time I log in it shows I have a change to my balance owed, even when it hasn't changed. 

Otherwise, it's really great to get my lab results quickly and to see a fair amt of information, including notes from past appointments. Please fix the message issue though!",marisartintarm,2020-02-10 06:10:13,,,
Convenient and User Friendly,4,False,"App is filled with good information. Live the ability to update calendar on my iPhone straight from the app. The ability to see test results performed at Mayo along with visit notes from Doctors is great. Ability to see complete medical history at Mayo is useful. 

Would give 5 stars if I was able to view billing and payments along with being able to group providers together who are part of your treatment plan.",Dannylowoncash,2021-12-13 18:57:12,,,
App Bug,5,False,"When I try to complete pre-check in process, I get the screen that asks to update my profile. When I remove the Temporary Address from the profile and save it and then go the the bottom to confirm the information is correct, I cannot check the block. The block actually moves when I try to check it. All of the required fields above have been completed. So, my only option is to hit Finish Later.",Bill0618,2021-12-08 21:00:01,,,
Terrible App!,1,False,"As a patient at Mayo I am encouraged by them to use this app to log into my patient portal. It is terrible - beyond slow to load each link, often even have to start over multiple times. Not only that, results of testing do not appear on it for days, even weeks, even though they are available to view on their website within a day. Even better, or worse, this is a relatively new app for them. Their old one was much more user friendly.
Ridiculous that an organization this well-funded cannot manage to have a better app developed for them.
I wish someone there in charge of this would read all of these 
negative reviews and do something about it.",likeyelp,2020-01-15 14:41:00,,,
Cannot update INSURANCE through the app,1,False,"Love the Mayo.  HATE the app.

Requires a call to insurance and billing group monday thru  friday business hours only….   Helloooooo it is 2021!    When messaging Customer Service through the Portal Insuance and Billing Questions link, recieved instructions to use the link at the “top of THE Billing and Insurance page”.  There is no such page.  Billing amd Insurance is a title covering three differnet links Billing (no it is not there).  Estimates (not there either) and Billing and Insurnace Questions ( where you get told to go to the nonexistent page).    Also not in patient profile links.    Using SEARCH field just sends you back to the same useless links.   Not feeling THE NEEDS OF THE PATIENT COME FIRST here.",CIO in AZ,2021-08-15 23:27:52,,,
You’ve never been in a clinic before,5,False,"Or, should I say that nothing, NO PLACE, Lab, no hospital, Med help nor Dr office can prepare one for the environment, people, organization and ON TIME appts at this FOR THE PATIENT facility. You are not a number, a bunch of files or medical records. There is ONE file. Each specialist inputs into that ONE file to create a TEAM. Your team. Y O U R team treating all of their one patient... you. When you get home, you pinch yourself,,  “Did all that just happen to me the exact way they said it would???”    Yep😃",KarenPio,2018-11-12 15:59:41,,,
Great but with one missing feature,3,False,This app has a lot fantastic and innovative features not found in apps for other medical institutions. However one of the most features is messaging your physicians and this app does not allow you to receive notifications when you have a new message. There are options to be notified of other not as useful things but it will not notify you when your doctor replies to you. You must manually check the app everyday to see a reply. This is a glaring omission!,sffoodie11,2020-04-16 20:41:52,,,
Useful application & great functionality,5,False,"Having come from a Clinic without this functionality, this has been great! It’s very handy to have all your medical information and appointment information at the tips of your fingers. It’s great being able to interact with my doctor / child’s doctor from my device. The updated application is eye catching. I enjoy the ability to use the search function and daily information.",MayoPatient,2018-04-20 02:24:56,,,
Mayo Clinic-Rochester,5,False,"This App is AWESOME. So smooth, and everything is up-to-date. I have just been getting frustrated with the 'Contact Your Care Team' option. I know I am here over the New Year holiday, but there is something wrong with me, and no one will contact me back. I have sent 2 messages in 1 1/2 days. Not sure why this is happening. However, I know if I have an Emergency, I'll be in the BEST AVAILABLE HANDS ANYWHERE!!! Thank You Mayo-Rochester❤🙏✌️ks",Simpson 1272,2018-09-19 21:01:12,,,
Not user friendly at all,1,False,"App was much easier to use previously. Very difficult to locate and navigate through now, cannot find half of what you are looking for. Cannot did care everywhere records, hard to see results, not user friendly in the least unless you are really great with technology which not everyone is! I’m an employee and I’ve taken a lot of flak about this new app from family members who are quite disappointed in it and in me as I cannot help them with it as I don’t get how this is set up either! Poor design for our amazing organization!",RosieJan13,2020-07-30 20:21:44,,,
For accurate info about your account don't look for it here,1,False,"Since Mayo's move to a new electronic patient record, this information provided by this app should be taken with a grain of salt - medications have mysteriously vanished, test data is spotty and incomplete (in some places only a few months have gone missing, in others years), some times the app will show a bill is pending even when the account balance is 0.

I should note that I have seen improvement over time (perhaps due to the developers slowly coming to grips with the new patient record), but what improvement there is is slow, really slow.",Ephrem Schwartz,2018-10-24 00:55:09,,,
Trash for scheduling C19 Tests,1,False,"I used the symptom tracker for C19 and was allowed  to schedule a C19 test for the next day, selected to bill insurance and my time and confirmed. I show up and call to check in, they said I am not on their schedule. Told me 90% of people that schedule on app it goes away, and NOW we are to call and go through the nurse to check at symptoms which is what they did months ago, then told us to use the app. I was told I should have gone back in the app to verify the appointment. I don’t have time to check if a app worked made for a multi million dollar company in the year 2021.",ray_ray88,2021-10-28 16:37:42,,,
Version 6 issues,2,False,"After upgrading to version 6 on my iPhone 11, I cannot login. “Sign in failed. Unable to sign in at this time.  Please try again.” I attempted to use the reset password link but was unsuccessful. I was able to login to the website and change my password successfully, however I still was unable to use the new password in the app. The new password works in the website and the previous version of the app still installed on a different device. 

Unfortunately this makes the app useless for my upcoming visit. 

Please advise.",app-user-rob,2019-11-03 13:47:13,,,
Priceless access to medical records,5,False,"I can’t keep track of paper documents for the life of me! This app is priceless in managing my medical records! I love having access to every aspect of my doctor visit, from doctor reports, to follow-up procedures, to lab and diagnostic reports. Up until a few days ago I could view my X-rays. They are no longer available in the app, only a radiology report. Was the imaging feature removed?",fototravler,2019-04-17 18:45:24,,,
Sending a message to provider via the Portal,2,False,"Why am I no longer to select the medical provider whom I want to send a private confidential message to???  Now it appears all my inquires go to ALL the providers my son has had in the past.  Today, I was messaging his surgical team attempting to answer a post op follow up question.  It appeared that this message went to EVERYONE he's seen in the past for different conditions!  I don't like that.  When I want to send a message to his primary provider, I just want the message to go directly to her and not to the other providers he's seen.",Mom/nurseof8,2019-11-18 15:01:44,,,
Good app would like to see...,4,False,"Please save previous appointment information in the app for reference- currently is deleted.

Notifications do not work when appointments are added or updated. I do not get notifications for new test results.  I get an email when there is a new message but no notifications from the app on my iPhone 11.",cityguy40,2020-11-02 18:55:32,,,
Recently changes?,3,False,"Big fan of the app! Been using it for years. But recently it just crashes every time I try to pull any info up. Even just logging in, crash. Test results? Crash. Notes? Crash? And the worst, finding out crucial appointment times! Just crashes!! This shouldn’t be happening and I hope they address it soon. It’s very convenient as otherwise I’d have to pull up a browser on my phone to view information.",Meno5524,2022-03-22 16:43:52,,,
Like old app better,1,True,"I preferred the layout of the old app - which was fine & suited my needs. Also there’s no touch access option that I can see and when I tried to send app feedback it said “sorry there’s an issue with sending your message.”  Boo.......👎
Edit: the Touch ID feature did not appear after I initially logged in, but after deleting & reinstalling app a couple of times it finally did.  I’ll change my rating to a 3 because I still like the old app better - I like having a portal just for my patient info. The newsfeed & general health info should go on a separate app. It’s too cluttered for me. JMO.",Shabema,2018-04-24 12:05:55,"Sorry you had trouble sending feedback.  Feel free to send us some direct feedback via email at: mcmobileapps@mayo.edu.

Also - TouchID should be enabled after you sign into the app for the first time.",3178207.0,2018-04-24T12:05:55Z
Mayo App evaluation,5,False,"I have used the Mayo App for 7-8 years.  Your questionnaires provide little to no feedback by patients.  I have a plethora of health issues, most caused by my genetic predisposition to develop neuroendocrine tumors.  Since my last dermatology consult, I have developed two more squamous cell skin cancers.  I have a cancer in my right kidney, albeit 2.3 cm.  As an MEN 1 patient, Mayo has probably kept me alive.",daddy4_you69,2021-01-21 18:09:40,,,
David F Howe,4,False,"I had a in-house full sleep study. Everyone was great, extremely thorough compared to other sleep study’s i have had in past. The only complaint is the bed itself. I felt like i was back in 1980 in the freshmen College dorm. I believe if a more stable/comfortable bed was available i believe that it could result in a more accurate results. I tossed and turned durning to try and get comfortable. Woke with sore back and muscle spasms in my leg.",David F Howe,2018-06-13 20:52:13,"David F Howe, thanks for the kind words about our wonderful staff.  I’ve passed your comments about the dorm-room bed to our patient experience staff.  Thanks again!",3915739.0,2018-06-20T20:29:38Z
I miss the old version.,2,False,"Version 4 is much slower than version 3. The previous person was an absolutely excellent app from my perspective. It was very rapid and responsive. Especially with the thumbprint login. This new one does not allow me to login with my thumbprint and it takes longer to get to the information I need. I hope this improves with time but, since I recently had a transplant, I need this information now.

Attempting to send bug reports within the app and attempting to send an email with in the app fails.",Paul Kleeberg,2018-04-17 22:24:02,TouchID should be enabled after the first time you sign into the app (assuming you don't explicitly sign out of the app).  For help with the slowness issue - if you continue to experience slowness - please feel free to send a direct email to our team at mcmobileapps@mayo.edu,3178282.0,2018-04-18T20:44:40Z
Glitch,4,False,"There is a glitch when I try to access my lab results: the final step during which you click on the results causes the app to freeze and you cannot see your results. This occurs under the “individual results” page that shows you the different dates of testing; for example, under pathology services.",emily24987,2018-11-26 23:58:45,,,
Great App!,5,False,"You don’t have to be a patient to use this app. It has so many useful features that are added everyday yet it’s not overwhelming. They have a quote of the day, healthy eating articles, short medicine articles that are written in an easy way to understand without any medical jargon. I spent about 15 min each day browsing through it.",ChileanMan,2018-05-21 20:07:18,ChileanMan - 😎 - thanks!  We’re happy that you’re able to take advantage of the awesome content and useful features.  If you ever have and issue or a suggestion for improvement - drop us a note.  Our email is mcmobileapps@mayo.edu.  Thanks so much.,3931100.0,2018-06-21T20:21:45Z
Unstable sign in,3,False,Sign in often non existent or difficult. App may sing in then close quickly closing requiring yet another sign in. This phone is apple 6s with plenty of memory remains updated and clear of clutter running always reliably. As a patient I expect a reliable smooth completely secure app ranking at least 41/2 stars. Do your best service for all of us that spend a great amount of money with Mayo Jax,James Deshazo,2020-04-15 13:51:01,,,
Must have app,5,False,If you are a patient at Mayo this app is great at managing appointments. After every appointment your doctor will put everything in writing and you can read it all again when you get home. Very helpful because I never remember everything said in the exam room.,1928 Timmy,2018-12-29 01:45:55,,,
New changes not great,2,False,"I have been using the app portal to communicate with my doctors and nurses post organ transplant. It was much better before the latest changes. The app just seems to give the patient far less medical information specifically their labs results.  Now I just get a lab result figure with no frame of reference as to whether it’s good or bad. Used to get result with the expected range from low to high under it, which allowed me to figure out if The number was good or bad",fitguy2012,2018-09-24 17:59:43,,,
Help,2,False,I have special needs child. This app works perfectly and is a blessing to be able to switch back and forth from her account to mine! I LOVE everything at my fingertips! I rated 2 only because 90 percent of our records have disappeared. Please I need to look back to 2016 sometime to see what doctor said about next test. Was it 3 years ? 5 years ? It would be amazing to place those reminders in TO DO,Annettsings,2020-09-23 13:48:28,,,
Great Tool!,5,False,"I love this app and was so glad when Mayo Clinic added this to all the other amazing things they do. Over time, I have utilized the e-check in, appointment portal, messaging, pre-appointment questionnaires, lab results, imaging, etc. It has been a fantastic resource for me and like the Mayo Clinic itself, I’m thankful to have had it!",Mishi2,2020-03-25 03:35:33,,,
New version is inferior for medical communication,1,False,"I loved the previous app and used it to communicate with my physicians.  I also used it to retrieve the notes of my exams. 

I cannot print any notes of my meetings with my physicians. I used to be able to.

I tried sending a message through messages.  No record of my message exists .  Terrible.

 I do not use this app for recipes or any of the pretty magazine junk you are filling it with.  I used it to communicate with my physicians and for the invaluable record of my exams and procedures.  I could have an exam and not worry about taking notes during it.

This new nightmare app does not allow me to print notes of my exams or keep a record of messages to and from my physicians.

Is this a patient app or a magazine?   I hate this new mess. Make it a medical app again.",JDBMSP,2018-05-10 19:33:04,,,
Very user friendly,5,False,A very user friendly app even for someone with limited tech skills like me!  I really appreciate having all my health information in one place and receiving test results so quickly.,Tucsonnative,2021-03-10 19:09:10,,,
